"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","1,660","1,660","1,660","1,660","6.09K","0.00%"
"06/04/2025","1,660","1,600","1,660","1,600","10.21K","3.75%"
"06/03/2025","1,600","1,600","1,600","1,600","8.14K","0.00%"
"06/02/2025","1,600","1,600","1,600","1,600","0.36K","0.00%"
"05/30/2025","1,600","1,600","1,600","1,600","2.46K","0.00%"
"05/28/2025","1,600","1,580","1,600","1,580","1.47K","1.27%"
"05/27/2025","1,580","1,580","1,580","1,580","4.67K","0.00%"
"05/26/2025","1,580","1,595","1,595","1,580","0.63K","-0.94%"
"05/23/2025","1,595","1,600","1,600","1,595","4.93K","-0.31%"
"05/22/2025","1,600","1,525","1,600","1,525","0.69K","4.92%"
"05/21/2025","1,525","1,590","1,590","1,525","1.31K","-4.09%"
"05/20/2025","1,590","1,600","1,600","1,590","1.34K","-0.63%"
"05/19/2025","1,600","1,605","1,605","1,600","4.77K","-0.31%"
"05/16/2025","1,605","1,605","1,605","1,605","0.46K","0.00%"
"05/15/2025","1,605","1,610","1,610","1,605","2.89K","-0.31%"
"05/14/2025","1,610","1,610","1,610","1,610","0.72K","0.00%"
"05/13/2025","1,610","1,610","1,610","1,610","7.54K","0.00%"
"05/12/2025","1,610","1,605","1,610","1,605","2.28K","0.31%"
"05/09/2025","1,605","1,610","1,610","1,605","1.05K","-0.31%"
"05/08/2025","1,610","1,630","1,630","1,610","0.68K","-1.23%"
"05/07/2025","1,630","1,635","1,635","1,630","1.60K","-0.31%"
"05/06/2025","1,635","1,635","1,635","1,635","0.97K","0.00%"
"05/05/2025","1,635","1,700","1,700","1,635","0.92K","-3.82%"
"05/02/2025","1,700","1,750","1,750","1,700","4.72K","-2.86%"
"04/30/2025","1,750","1,800","1,800","1,750","0.92K","-2.78%"
"04/29/2025","1,800","1,800","1,800","1,800","0.62K","0.00%"
"04/28/2025","1,800","1,780","1,800","1,780","0.66K","1.12%"
"04/25/2025","1,780","1,800","1,800","1,780","1.01K","-1.11%"
"04/24/2025","1,800","1,770","1,800","1,770","0.30K","1.69%"
"04/23/2025","1,770","1,715","1,770","1,715","0.07K","3.21%"
"04/22/2025","1,715","1,780","1,780","1,715","0.84K","-3.65%"
"04/18/2025","1,780","1,780","1,780","1,780","0.26K","0.00%"
"04/17/2025","1,780","1,715","1,780","1,715","0.07K","3.79%"
"04/16/2025","1,715","1,780","1,780","1,715","0.47K","-3.65%"
"04/15/2025","1,780","1,800","1,800","1,780","0.48K","-1.11%"
"04/14/2025","1,800","1,800","1,800","1,800","0.30K","0.00%"
"04/11/2025","1,800","1,780","1,800","1,780","4.33K","1.12%"
"04/10/2025","1,780","1,780","1,780","1,780","0.36K","0.00%"
"04/09/2025","1,780","1,785","1,785","1,780","0.94K","-0.28%"
"04/08/2025","1,785","1,785","1,785","1,785","0.44K","0.00%"
"04/07/2025","1,785","1,780","1,785","1,780","2.04K","0.28%"
"04/04/2025","1,780","1,780","1,780","1,780","0.90K","0.00%"
"04/03/2025","1,780","1,780","1,780","1,780","0.50K","0.00%"
"04/02/2025","1,780","1,780","1,780","1,780","2.11K","0.00%"
"04/01/2025","1,780","1,795","1,795","1,780","4.20K","-0.84%"
"03/28/2025","1,795","1,795","1,795","1,795","1.21K","0.00%"
"03/26/2025","1,795","1,790","1,795","1,790","0.99K","0.28%"
"03/25/2025","1,790","1,800","1,800","1,790","1.71K","-0.56%"
"03/24/2025","1,800","1,795","1,800","1,795","2.12K","0.28%"
"03/21/2025","1,795","1,795","1,795","1,795","0.56K","0.00%"
"03/20/2025","1,795","1,840","1,840","1,795","3.25K","-2.45%"
"03/19/2025","1,840","1,840","1,840","1,840","9.41K","0.00%"
"03/18/2025","1,840","1,810","1,840","1,810","1.63K","1.66%"
"03/17/2025","1,810","1,800","1,810","1,800","0.43K","0.56%"
"03/14/2025","1,800","1,800","1,800","1,800","7.80K","0.00%"
"03/13/2025","1,800","1,850","1,850","1,800","4.89K","-2.70%"
"03/12/2025","1,850","1,800","1,850","1,800","0.98K","2.78%"
"03/11/2025","1,800","1,795","1,800","1,795","0.92K","0.28%"
"03/10/2025","1,795","1,870","1,870","1,795","0.30K","-4.01%"
"03/07/2025","1,870","1,870","1,870","1,870","1.20K","0.00%"
"03/06/2025","1,870","1,825","1,870","1,825","0.20K","2.47%"
"03/05/2025","1,825","1,825","1,825","1,825","0.23K","0.00%"
"03/04/2025","1,825","1,875","1,875","1,825","1.26K","-2.67%"
"03/03/2025","1,875","1,880","1,880","1,875","1.18K","-0.27%"
"02/28/2025","1,880","1,800","1,880","1,800","0.03K","4.44%"
"02/27/2025","1,800","1,880","1,880","1,800","2.89K","-4.26%"
"02/26/2025","1,880","1,880","1,880","1,880","1.71K","0.00%"
"02/25/2025","1,880","1,880","1,880","1,880","4.32K","0.00%"
"02/24/2025","1,880","1,880","1,880","1,880","0.20K","0.00%"
"02/21/2025","1,880","1,750","1,880","1,750","9.78K","7.43%"
"02/20/2025","1,750","1,885","1,885","1,750","0.66K","-7.16%"
"02/19/2025","1,885","1,880","1,885","1,880","0.31K","0.27%"
"02/18/2025","1,880","1,850","1,880","1,850","3.07K","1.62%"
"02/17/2025","1,850","1,815","1,850","1,815","1.65K","1.93%"
"02/14/2025","1,815","1,820","1,820","1,815","0.21K","-0.27%"
"02/13/2025","1,820","1,835","1,835","1,820","0.04K","-0.82%"
"02/12/2025","1,835","1,835","1,835","1,835","0.02K","0.00%"
"02/11/2025","1,835","1,835","1,835","1,835","0.92K","0.00%"
"02/10/2025","1,835","1,835","1,835","1,835","2.57K","0.00%"
"02/07/2025","1,835","1,835","1,835","1,835","0.76K","0.00%"
"02/06/2025","1,835","1,835","1,835","1,835","0.10K","0.00%"
"02/05/2025","1,835","1,835","1,835","1,835","0.11K","0.00%"
"02/04/2025","1,835","1,835","1,835","1,835","1.00K","0.00%"
"02/03/2025","1,835","1,835","1,835","1,835","0.10K","0.00%"
"01/30/2025","1,835","1,830","1,835","1,830","0.38K","0.27%"
"01/29/2025","1,830","1,840","1,840","1,830","1.12K","-0.54%"
"01/28/2025","1,840","1,845","1,845","1,840","0.09K","-0.27%"
"01/27/2025","1,845","1,835","1,845","1,835","0.33K","0.54%"
"01/24/2025","1,835","1,800","1,835","1,800","1.11K","1.94%"
"01/23/2025","1,800","1,795","1,800","1,795","0.34K","0.28%"
"01/22/2025","1,795","1,715","1,795","1,715","5.07K","4.66%"
"01/21/2025","1,715","1,850","1,850","1,715","1.13K","-7.30%"
"01/20/2025","1,850","1,755","1,850","1,755","0.45K","5.41%"
"01/17/2025","1,755","1,855","1,855","1,755","0.01K","-5.39%"
"01/16/2025","1,855","1,855","1,855","1,855","0.04K","0.00%"
"01/15/2025","1,855","1,855","1,855","1,855","0.17K","0.00%"
"01/14/2025","1,855","1,855","1,855","1,855","0.22K","0.00%"
"01/13/2025","1,855","1,855","1,855","1,855","0.00K","0.00%"
"01/10/2025","1,855","1,765","1,855","1,765","0.32K","5.10%"
"01/09/2025","1,765","1,860","1,860","1,765","0.31K","-5.11%"
"01/08/2025","1,860","1,865","1,865","1,860","0.07K","-0.27%"
"01/07/2025","1,865","1,900","1,900","1,865","0.19K","-1.84%"
"01/06/2025","1,900","1,900","1,900","1,900","0.31K","0.00%"
"01/03/2025","1,900","1,905","1,905","1,900","3.10K","-0.26%"
"01/02/2025","1,905","1,900","1,905","1,900","0.26K","0.26%"
"12/31/2024","1,900","1,900","1,900","1,900","0.06K","0.00%"
"12/30/2024","1,900","1,920","1,920","1,900","0.07K","-1.04%"
"12/27/2024","1,920","1,800","1,920","1,800","0.39K","6.67%"
"12/26/2024","1,800","1,800","1,800","1,800","1.24K","0.00%"
"12/24/2024","1,800","1,800","1,800","1,800","0.93K","0.00%"
"12/23/2024","1,800","1,800","1,800","1,800","0.16K","0.00%"
"12/20/2024","1,800","1,775","1,800","1,775","0.76K","1.41%"
"12/19/2024","1,775","1,850","1,850","1,775","7.69K","-4.05%"
"12/18/2024","1,850","1,850","1,850","1,850","0.42K","0.00%"
"12/17/2024","1,850","1,895","1,895","1,850","0.48K","-2.37%"
"12/16/2024","1,895","1,860","1,895","1,860","0.48K","1.88%"
"12/13/2024","1,860","1,900","1,900","1,860","0.13K","-2.11%"
"12/12/2024","1,900","1,900","1,900","1,900","2.96K","0.00%"
"12/11/2024","1,900","1,830","1,900","1,830","0.24K","3.83%"
"12/10/2024","1,830","1,950","1,950","1,830","1.09K","-6.15%"
"12/09/2024","1,950","1,950","1,950","1,950","0.28K","0.00%"
"12/06/2024","1,950","1,840","1,950","1,840","0.58K","5.98%"
"12/05/2024","1,840","1,980","1,980","1,840","0.86K","-7.07%"
"12/04/2024","1,980","1,950","1,980","1,950","0.90K","1.54%"
"12/03/2024","1,950","1,980","1,980","1,950","7.23K","-1.52%"
"12/02/2024","1,980","1,990","1,990","1,980","0.27K","-0.50%"
"11/29/2024","1,990","1,900","1,990","1,900","0.28K","4.74%"
"11/28/2024","1,900","1,900","1,900","1,900","0.65K","0.00%"
"11/27/2024","1,900","1,900","1,900","1,900","0.88K","0.00%"
"11/26/2024","1,900","1,875","1,900","1,875","0.25K","1.33%"
"11/25/2024","1,875","1,980","1,980","1,875","0.60K","-5.30%"
"11/22/2024","1,980","1,900","1,980","1,900","0.98K","4.21%"
"11/21/2024","1,900","1,895","1,900","1,895","0.68K","0.26%"
"11/20/2024","1,895","1,895","1,895","1,895","0.93K","0.00%"
"11/19/2024","1,895","1,780","1,895","1,780","0.12K","6.46%"
"11/18/2024","1,780","1,870","1,870","1,780","1.34K","-4.81%"
"11/14/2024","1,870","1,985","1,985","1,870","0.45K","-5.79%"
"11/13/2024","1,985","1,850","1,985","1,850","5.66K","7.30%"
"11/12/2024","1,850","2,000","2,000","1,850","1.14K","-7.50%"
"11/11/2024","2,000","2,000","2,000","2,000","0.72K","0.00%"
"11/08/2024","2,000","2,000","2,000","2,000","1.25K","0.00%"
"11/07/2024","2,000","2,020","2,020","2,000","0.85K","-0.99%"
"11/06/2024","2,020","2,020","2,020","2,020","0.25K","0.00%"
"11/05/2024","2,020","2,035","2,035","2,020","1.03K","-0.74%"
"11/04/2024","2,035","2,200","2,200","2,035","5.31K","-7.50%"
"10/31/2024","2,200","2,240","2,240","2,200","0.14K","-1.79%"
"10/30/2024","2,240","2,180","2,240","2,180","0.01K","2.75%"
"10/29/2024","2,180","2,150","2,180","2,150","0.18K","1.40%"
"10/28/2024","2,150","2,140","2,150","2,140","0.03K","0.47%"
"10/25/2024","2,140","2,240","2,240","2,140","1.20K","-4.46%"
"10/24/2024","2,240","2,245","2,245","2,240","0.64K","-0.22%"
"10/23/2024","2,245","2,125","2,245","2,125","0.04K","5.65%"
"10/22/2024","2,125","2,295","2,295","2,125","4.65K","-7.41%"
"10/21/2024","2,295","2,145","2,295","2,145","2.10K","6.99%"
"10/18/2024","2,145","2,145","2,145","2,145","0.45K","0.00%"
"10/17/2024","2,145","2,130","2,145","2,130","2.06K","0.70%"
"10/16/2024","2,130","2,100","2,130","2,100","0.34K","1.43%"
"10/15/2024","2,100","2,000","2,100","2,000","0.60K","5.00%"
"10/14/2024","2,000","2,090","2,090","2,000","0.68K","-4.31%"
"10/11/2024","2,090","1,945","2,090","1,945","0.71K","7.46%"
"10/10/2024","1,945","2,100","2,100","1,945","9.09K","-7.38%"
"10/09/2024","2,100","2,040","2,100","2,040","3.86K","2.94%"
"10/08/2024","2,040","2,195","2,195","2,040","3.31K","-7.06%"
"10/07/2024","2,195","2,200","2,200","2,195","1.43K","-0.23%"
"10/04/2024","2,200","2,300","2,300","2,200","0.72K","-4.35%"
"10/03/2024","2,300","2,300","2,300","2,300","2.82K","0.00%"
"10/02/2024","2,300","2,300","2,300","2,300","0.20K","0.00%"
"10/01/2024","2,300","2,300","2,300","2,300","1.47K","0.00%"
"09/30/2024","2,300","2,335","2,335","2,300","1.48K","-1.50%"
"09/27/2024","2,335","2,365","2,365","2,335","1.17K","-1.27%"
"09/26/2024","2,365","2,405","2,405","2,365","0.60K","-1.66%"
"09/25/2024","2,405","2,500","2,500","2,405","0.90K","-3.80%"
"09/24/2024","2,500","2,545","2,545","2,500","1.26K","-1.77%"
"09/23/2024","2,545","2,505","2,545","2,505","3.74K","1.60%"
"09/20/2024","2,505","2,390","2,505","2,390","2.28K","4.81%"
"09/19/2024","2,390","2,390","2,390","2,390","2.48K","0.00%"
"09/18/2024","2,390","2,580","2,580","2,390","4.56K","-7.36%"
"09/17/2024","2,580","2,585","2,585","2,580","0.04K","-0.19%"
"09/16/2024","2,585","2,590","2,590","2,585","0.39K","-0.19%"
"09/13/2024","2,590","2,600","2,600","2,590","0.14K","-0.38%"
"09/12/2024","2,600","2,450","2,600","2,450","0.08K","6.12%"
"09/11/2024","2,450","2,645","2,645","2,450","1.77K","-7.37%"
"09/10/2024","2,645","2,700","2,700","2,645","0.49K","-2.04%"
"09/09/2024","2,700","2,750","2,750","2,700","1.39K","-1.82%"
"09/06/2024","2,750","2,750","2,750","2,750","0.35K","0.00%"
"09/05/2024","2,750","2,750","2,750","2,750","0.48K","-1.79%"
"09/04/2024","2,800","2,800","2,800","2,800","0.25K","-3.45%"
"09/03/2024","2,900","2,900","2,900","2,900","1.67K","3.94%"
"09/02/2024","2,790","2,790","2,790","2,790","0.68K","-0.18%"
"08/30/2024","2,795","2,795","2,795","2,795","0.36K","7.50%"
"08/29/2024","2,600","2,600","2,600","2,600","0.68K","1.17%"
"08/28/2024","2,570","2,570","2,570","2,570","3.95K","4.90%"
"08/27/2024","2,450","2,450","2,450","2,450","1.38K","0.82%"
"08/26/2024","2,430","2,430","2,430","2,430","1.91K","1.25%"
"08/23/2024","2,400","2,400","2,400","2,400","2.87K","1.05%"
"08/22/2024","2,375","2,375","2,375","2,375","7.17K","1.06%"
"08/21/2024","2,350","2,350","2,350","2,350","10.22K","0.21%"
"08/20/2024","2,345","2,345","2,345","2,345","0.58K","1.30%"
"08/19/2024","2,315","2,315","2,315","2,315","11.88K","1.31%"
"08/16/2024","2,285","2,285","2,285","2,285","1.25K","3.86%"
"08/14/2024","2,200","2,200","2,200","2,200","0.83K","-1.79%"
"08/13/2024","2,240","2,240","2,240","2,240","0.95K","0.00%"
"08/12/2024","2,240","2,240","2,240","2,240","9.19K","0.00%"
"08/09/2024","2,240","2,240","2,240","2,240","0.30K","0.67%"
"08/08/2024","2,225","2,225","2,225","2,225","3.98K","2.53%"
"08/06/2024","2,170","2,170","2,170","2,170","3.36K","0.00%"
"08/05/2024","2,170","2,170","2,170","2,170","8.56K","0.00%"
"08/02/2024","2,170","2,170","2,170","2,170","0.63K","-2.69%"
"08/01/2024","2,230","2,230","2,230","2,230","0.66K","-0.89%"
"07/31/2024","2,250","2,250","2,250","2,250","1.72K","-1.96%"
"07/30/2024","2,295","2,295","2,295","2,295","1.70K","-0.22%"
"07/29/2024","2,300","2,300","2,300","2,300","1.55K","1.10%"
"07/26/2024","2,275","2,275","2,275","2,275","0.97K","-5.01%"
"07/25/2024","2,395","2,395","2,395","2,395","0.08K","-0.21%"
"07/24/2024","2,400","2,400","2,400","2,400","19.16K","-0.41%"
"07/23/2024","2,410","2,410","2,410","2,410","0.95K","0.42%"
"07/22/2024","2,400","2,400","2,400","2,400","0.78K","-0.83%"
"07/19/2024","2,420","2,420","2,420","2,420","2.33K","7.32%"
"07/18/2024","2,255","2,255","2,255","2,255","0.77K","2.50%"
"07/17/2024","2,200","2,200","2,200","2,200","3.11K","2.33%"
"07/16/2024","2,150","2,150","2,150","2,150","6.66K","-1.38%"
"07/15/2024","2,180","2,180","2,180","2,180","2.62K","-2.24%"
"07/12/2024","2,230","2,230","2,230","2,230","0.88K","3.48%"
"07/11/2024","2,155","2,155","2,155","2,155","0.82K","-1.15%"
"07/10/2024","2,180","2,180","2,180","2,180","3.00K","1.16%"
"07/09/2024","2,155","2,155","2,155","2,155","1.72K","0.00%"
"07/08/2024","2,155","2,155","2,155","2,155","4.15K","3.61%"
"07/05/2024","2,080","2,080","2,080","2,080","1.22K","0.00%"
"07/04/2024","2,080","2,080","2,080","2,080","6.03K","0.24%"
"07/03/2024","2,075","2,075","2,075","2,075","0.96K","2.72%"
"07/02/2024","2,020","2,020","2,020","2,020","1.94K","0.00%"
"07/01/2024","2,020","2,020","2,020","2,020","1.99K","1.00%"
"06/28/2024","2,000","2,000","2,000","2,000","3.04K","0.00%"
"06/27/2024","2,000","2,000","2,000","2,000","2.81K","-5.44%"
"06/26/2024","2,115","2,115","2,115","2,115","0.09K","-0.94%"
"06/25/2024","2,135","2,135","2,135","2,135","0.87K","1.91%"
"06/24/2024","2,095","2,095","2,095","2,095","9.61K","4.75%"
"06/21/2024","2,000","2,000","2,000","2,000","7.74K","0.25%"
"06/20/2024","1,995","1,995","1,995","1,995","0.58K","0.00%"
"06/19/2024","1,995","1,995","1,995","1,995","5.87K","-0.25%"
"06/18/2024","2,000","2,000","2,000","2,000","2.07K","0.25%"
"06/14/2024","1,995","1,995","1,995","1,995","3.38K","-0.25%"
"06/13/2024","2,000","2,000","2,000","2,000","7.59K","2.56%"
"06/12/2024","1,950","1,950","1,950","1,950","0.55K","-1.52%"
"06/11/2024","1,980","1,980","1,980","1,980","1.83K","4.21%"
"06/10/2024","1,900","1,900","1,900","1,900","0.33K","0.53%"
"06/07/2024","1,890","1,890","1,890","1,890","0.90K","-0.26%"
"06/06/2024","1,895","1,895","1,895","1,895","0.12K","1.07%"
"06/05/2024","1,875","1,875","1,875","1,875","1.54K","-1.06%"
"06/04/2024","1,895","1,895","1,895","1,895","0.81K","3.27%"
"06/03/2024","1,835","1,835","1,835","1,835","2.58K","0.00%"
"05/31/2024","1,835","1,835","1,835","1,835","0.07K","-0.54%"
"05/30/2024","1,845","1,845","1,845","1,845","6.23K","2.50%"
"05/29/2024","1,800","1,800","1,800","1,800","2.59K","1.12%"
"05/28/2024","1,780","1,780","1,780","1,780","0.74K","0.00%"
"05/27/2024","1,780","1,780","1,780","1,780","0.07K","0.00%"
"05/24/2024","1,780","1,780","1,780","1,780","2.03K","2.01%"
"05/23/2024","1,745","1,745","1,745","1,745","2.16K","1.16%"
"05/22/2024","1,725","1,725","1,725","1,725","4.49K","-0.29%"
"05/21/2024","1,730","1,730","1,730","1,730","2.54K","-0.86%"
"05/17/2024","1,745","1,745","1,745","1,745","2.96K","-2.24%"
"05/16/2024","1,785","1,785","1,785","1,785","1.59K","0.00%"
"05/15/2024","1,785","1,785","1,785","1,785","8.49K","2.00%"
