"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","16,895","16,900","16,900","16,895","0.21K","-0.03%"
"06/04/2025","16,900","16,000","16,900","16,000","0.13K","5.63%"
"06/03/2025","16,000","16,050","16,050","16,000","0.29K","-0.31%"
"06/02/2025","16,050","17,000","17,000","16,050","0.06K","-5.59%"
"05/30/2025","17,000","17,000","17,000","17,000","0.71K","0.00%"
"05/28/2025","17,000","17,000","17,000","17,000","0.09K","0.00%"
"05/27/2025","17,000","17,000","17,000","17,000","0.31K","0.00%"
"05/26/2025","17,000","17,500","17,500","17,000","0.83K","-2.86%"
"05/23/2025","17,500","16,950","17,500","16,950","0.51K","3.24%"
"05/22/2025","16,950","15,770","16,950","15,770","0.20K","7.48%"
"05/21/2025","15,770","15,500","15,770","15,500","0.15K","1.74%"
"05/20/2025","15,500","15,500","15,500","15,500","0.04K","0.00%"
"05/19/2025","15,500","15,500","15,500","15,500","0.23K","0.00%"
"05/16/2025","15,500","15,850","15,850","15,500","0.04K","-2.21%"
"05/15/2025","15,850","14,755","15,850","14,755","0.02K","7.42%"
"05/14/2025","14,755","15,900","15,900","14,755","0.11K","-7.20%"
"05/13/2025","15,900","15,945","15,945","15,900","0.18K","-0.28%"
"05/09/2025","15,945","15,850","15,945","15,850","0.12K","0.60%"
"05/08/2025","15,850","15,900","15,900","15,850","0.54K","-0.31%"
"05/07/2025","15,900","15,400","15,900","15,400","0.02K","3.25%"
"05/06/2025","15,400","15,400","15,400","15,400","0.05K","0.00%"
"05/05/2025","15,400","15,400","15,400","15,400","0.11K","0.00%"
"05/02/2025","15,400","15,400","15,400","15,400","0.11K","0.00%"
"04/30/2025","15,400","15,500","15,500","15,400","0.03K","-0.65%"
"04/29/2025","15,500","15,435","15,500","15,435","0.56K","0.42%"
"04/28/2025","15,435","15,440","15,440","15,435","0.01K","-0.03%"
"04/25/2025","15,440","15,450","15,450","15,440","0.30K","-0.06%"
"04/24/2025","15,450","15,440","15,450","15,440","0.10K","0.06%"
"04/23/2025","15,440","15,450","15,450","15,440","0.09K","-0.06%"
"04/22/2025","15,450","15,500","15,500","15,450","0.03K","-0.32%"
"04/17/2025","15,500","15,500","15,500","15,500","0.07K","0.00%"
"04/16/2025","15,500","15,500","15,500","15,500","0.07K","0.00%"
"04/15/2025","15,500","15,500","15,500","15,500","0.44K","0.00%"
"04/14/2025","15,500","14,915","15,500","14,915","2.07K","3.92%"
"04/11/2025","14,915","15,900","15,900","14,915","1.15K","-6.19%"
"04/10/2025","15,900","15,900","15,900","15,900","0.02K","0.00%"
"04/09/2025","15,900","15,800","15,900","15,800","0.06K","0.63%"
"04/08/2025","15,800","15,700","15,800","15,700","0.30K","0.64%"
"04/07/2025","15,700","15,700","15,700","15,700","0.11K","0.00%"
"04/04/2025","15,700","15,800","15,800","15,700","0.12K","-0.63%"
"04/03/2025","15,800","15,700","15,800","15,700","0.06K","0.64%"
"04/02/2025","15,700","15,900","15,900","15,700","0.34K","-1.26%"
"04/01/2025","15,900","15,990","15,990","15,900","0.18K","-0.56%"
"03/28/2025","15,990","16,000","16,000","15,990","0.15K","-0.06%"
"03/26/2025","16,000","16,000","16,000","16,000","0.01K","0.00%"
"03/25/2025","16,000","16,200","16,200","16,000","0.27K","-1.23%"
"03/24/2025","16,200","16,200","16,200","16,200","2.37K","0.00%"
"03/21/2025","16,200","16,000","16,200","16,000","0.62K","1.25%"
"03/20/2025","16,000","16,000","16,000","16,000","0.05K","0.00%"
"03/19/2025","16,000","15,900","16,000","15,900","2.19K","0.63%"
"03/18/2025","15,900","15,900","15,900","15,900","0.03K","0.00%"
"03/17/2025","15,900","15,950","15,950","15,900","0.32K","-0.31%"
"03/14/2025","15,950","15,900","15,950","15,900","0.23K","0.31%"
"03/13/2025","15,900","15,950","15,950","15,900","0.23K","-0.31%"
"03/12/2025","15,950","15,995","15,995","15,950","0.21K","-0.28%"
"03/11/2025","15,995","15,995","15,995","15,995","0.13K","0.00%"
"03/10/2025","15,995","15,990","15,995","15,990","0.07K","0.03%"
"03/07/2025","15,990","15,995","15,995","15,990","0.62K","-0.03%"
"03/06/2025","15,995","15,800","15,995","15,800","0.71K","1.23%"
"03/05/2025","15,800","15,995","15,995","15,800","0.03K","-1.22%"
"03/04/2025","15,995","16,000","16,000","15,995","0.40K","-0.03%"
"03/03/2025","16,000","16,000","16,000","16,000","0.06K","0.00%"
"02/28/2025","16,000","15,800","16,000","15,800","0.12K","1.27%"
"02/27/2025","15,800","15,800","15,800","15,800","0.27K","0.00%"
"02/26/2025","15,800","16,000","16,000","15,800","0.12K","-1.25%"
"02/25/2025","16,000","16,000","16,000","16,000","1.08K","0.00%"
"02/24/2025","16,000","15,250","16,000","15,250","0.30K","4.92%"
"02/21/2025","15,250","15,295","15,295","15,250","3.16K","-0.29%"
"02/20/2025","15,295","15,295","15,295","15,295","0.03K","0.00%"
"02/19/2025","15,295","15,300","15,300","15,295","1.29K","-0.03%"
"02/18/2025","15,300","15,500","15,500","15,300","0.29K","-1.29%"
"02/17/2025","15,500","15,500","15,500","15,500","0.18K","0.00%"
"02/14/2025","15,500","15,500","15,500","15,500","0.25K","0.00%"
"02/13/2025","15,500","15,500","15,500","15,500","0.09K","0.00%"
"02/12/2025","15,500","15,500","15,500","15,500","0.00K","0.00%"
"02/11/2025","15,500","16,000","16,000","15,500","0.40K","-3.13%"
"02/10/2025","16,000","16,000","16,000","16,000","0.08K","0.00%"
"02/07/2025","16,000","16,000","16,000","16,000","0.00K","0.00%"
"02/06/2025","16,000","16,000","16,000","16,000","0.48K","0.00%"
"02/05/2025","16,000","15,995","16,000","15,995","0.03K","0.03%"
"02/04/2025","15,995","16,000","16,000","15,995","0.69K","-0.03%"
"02/03/2025","16,000","16,000","16,000","16,000","0.01K","0.00%"
"01/31/2025","16,000","16,000","16,000","16,000","0.13K","0.00%"
"01/30/2025","16,000","15,990","16,000","15,990","0.13K","0.06%"
"01/29/2025","15,990","15,990","15,990","15,990","0.34K","0.00%"
"01/28/2025","15,990","15,000","15,990","15,000","0.49K","6.60%"
"01/27/2025","15,000","14,470","15,000","14,470","0.06K","3.66%"
"01/24/2025","14,470","14,000","14,470","14,000","0.06K","3.36%"
"01/23/2025","14,000","14,000","14,000","14,000","0.11K","0.00%"
"01/22/2025","14,000","13,750","14,000","13,750","0.25K","1.82%"
"01/20/2025","13,750","13,750","13,750","13,750","0.19K","0.00%"
"01/17/2025","13,750","14,000","14,000","13,750","0.01K","-1.79%"
"01/16/2025","14,000","13,655","14,000","13,655","0.11K","2.53%"
"01/15/2025","13,655","14,000","14,000","13,655","0.06K","-2.46%"
"01/14/2025","14,000","14,220","14,220","14,000","0.22K","-1.55%"
"01/13/2025","14,220","14,115","14,220","14,115","1.28K","0.74%"
"01/10/2025","14,115","14,115","14,115","14,115","0.35K","0.00%"
"01/09/2025","14,115","14,200","14,200","14,115","0.26K","-0.60%"
"01/08/2025","14,200","14,220","14,220","14,200","0.02K","-0.14%"
"01/07/2025","14,220","14,000","14,220","14,000","0.08K","1.57%"
"01/06/2025","14,000","14,000","14,000","14,000","0.11K","0.00%"
"01/03/2025","14,000","14,000","14,000","14,000","0.52K","0.00%"
"12/31/2024","14,000","14,225","14,225","14,000","0.00K","-1.58%"
"12/30/2024","14,225","14,225","14,225","14,225","19.41K","0.00%"
"12/27/2024","14,225","14,005","14,225","14,005","0.01K","1.57%"
"12/26/2024","14,005","14,220","14,220","14,005","0.75K","-1.51%"
"12/24/2024","14,220","14,220","14,220","14,220","0.03K","0.00%"
"12/23/2024","14,220","14,225","14,225","14,220","0.02K","-0.04%"
"12/20/2024","14,225","14,000","14,225","14,000","0.96K","1.61%"
"12/19/2024","14,000","14,000","14,000","14,000","0.28K","0.00%"
"12/18/2024","14,000","13,800","14,000","13,800","1.36K","1.45%"
