"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","1,135","1,060","1,135","1,060","1.00K","7.08%"
"06/04/2025","1,060","1,100","1,100","1,060","0.17K","-3.64%"
"06/03/2025","1,100","1,060","1,100","1,060","0.33K","3.77%"
"06/02/2025","1,060","1,090","1,090","1,060","2.08K","-2.75%"
"05/30/2025","1,090","1,145","1,145","1,090","0.15K","-4.80%"
"05/28/2025","1,145","1,145","1,145","1,145","0.08K","0.00%"
"05/27/2025","1,145","1,140","1,145","1,140","0.03K","0.44%"
"05/26/2025","1,140","1,145","1,145","1,140","0.27K","-0.44%"
"05/23/2025","1,145","1,090","1,145","1,090","13.15K","5.05%"
"05/22/2025","1,090","1,175","1,175","1,090","0.12K","-7.23%"
"05/21/2025","1,175","1,145","1,175","1,145","0.26K","2.62%"
"05/20/2025","1,145","1,145","1,145","1,145","0.51K","0.00%"
"05/19/2025","1,145","1,070","1,145","1,070","0.29K","7.01%"
"05/16/2025","1,070","1,155","1,155","1,070","3.88K","-7.36%"
"05/15/2025","1,155","1,200","1,200","1,155","0.15K","-3.75%"
"05/14/2025","1,200","1,150","1,200","1,150","0.76K","4.35%"
"05/13/2025","1,150","1,075","1,150","1,075","1.47K","6.98%"
"05/12/2025","1,075","1,000","1,075","1,000","2.15K","7.50%"
"05/09/2025","1,000","970","1,000","970","9.43K","3.09%"
"05/08/2025","970","1,000","1,000","970","2.35K","-3.00%"
"05/07/2025","1,000","1,025","1,025","1,000","0.16K","-2.44%"
"05/06/2025","1,025","1,000","1,025","1,000","0.11K","2.50%"
"05/05/2025","1,000","1,020","1,020","1,000","0.62K","-1.96%"
"05/02/2025","1,020","1,020","1,020","1,020","2.33K","0.00%"
"04/30/2025","1,020","995","1,020","995","0.02K","2.51%"
"04/29/2025","995","950","995","950","1.13K","4.74%"
"04/28/2025","950","995","995","950","1.03K","-4.52%"
"04/25/2025","995","995","995","995","0.36K","0.00%"
"04/24/2025","995","990","995","990","15.44K","0.51%"
"04/23/2025","990","995","995","990","1.39K","-0.50%"
"04/22/2025","995","1,000","1,000","995","1.45K","-0.50%"
"04/18/2025","1,000","990","1,000","990","0.15K","1.01%"
"04/17/2025","990","990","990","990","0.49K","0.00%"
"04/16/2025","990","925","990","925","0.51K","7.03%"
"04/15/2025","925","865","925","865","10.14K","6.94%"
"04/14/2025","865","930","930","865","0.45K","-6.99%"
"04/11/2025","930","925","930","925","0.27K","0.54%"
"04/10/2025","925","925","925","925","0.01K","0.00%"
"04/09/2025","925","1,000","1,000","925","3.01K","-7.50%"
"04/08/2025","1,000","1,040","1,040","1,000","0.21K","-3.85%"
"04/07/2025","1,040","1,040","1,040","1,040","0.01K","0.00%"
"04/04/2025","1,040","1,060","1,060","1,040","1.02K","-1.89%"
"04/02/2025","1,060","1,000","1,060","1,000","0.07K","6.00%"
"04/01/2025","1,000","1,060","1,060","1,000","1.00K","-5.66%"
"03/28/2025","1,060","1,065","1,065","1,060","0.06K","-0.47%"
"03/26/2025","1,065","1,025","1,065","1,025","1.88K","3.90%"
"03/25/2025","1,025","1,025","1,025","1,025","0.01K","0.00%"
"03/24/2025","1,025","1,020","1,025","1,020","0.20K","0.49%"
"03/21/2025","1,020","1,025","1,025","1,020","0.20K","-0.49%"
"03/20/2025","1,025","1,025","1,025","1,025","2.96K","0.00%"
"03/19/2025","1,025","1,045","1,045","1,025","3.88K","-1.91%"
"03/18/2025","1,045","1,025","1,045","1,025","0.18K","1.95%"
"03/17/2025","1,025","1,065","1,065","1,025","0.05K","-3.76%"
"03/14/2025","1,065","1,065","1,065","1,065","1.59K","0.00%"
"03/13/2025","1,065","1,010","1,065","1,010","0.31K","5.45%"
"03/12/2025","1,010","1,075","1,075","1,010","0.10K","-6.05%"
"03/11/2025","1,075","1,055","1,075","1,055","0.08K","1.90%"
"03/10/2025","1,055","1,075","1,075","1,055","8.12K","-1.86%"
"03/07/2025","1,075","1,100","1,100","1,075","1.16K","-2.27%"
"03/06/2025","1,100","1,110","1,110","1,100","0.32K","-0.90%"
"03/05/2025","1,110","1,100","1,110","1,100","0.12K","0.91%"
"03/04/2025","1,100","1,110","1,110","1,100","0.16K","-0.90%"
"03/03/2025","1,110","1,110","1,110","1,110","1.49K","0.00%"
"02/28/2025","1,110","1,115","1,115","1,110","0.07K","-0.45%"
"02/27/2025","1,115","1,110","1,115","1,110","0.00K","0.45%"
"02/26/2025","1,110","1,050","1,110","1,050","0.01K","5.71%"
"02/25/2025","1,050","1,050","1,050","1,050","0.05K","0.00%"
"02/24/2025","1,050","1,045","1,050","1,045","0.09K","0.48%"
"02/21/2025","1,045","1,050","1,050","1,045","0.23K","-0.48%"
"02/20/2025","1,050","1,050","1,050","1,050","0.19K","0.00%"
"02/19/2025","1,050","1,040","1,050","1,040","0.12K","0.96%"
"02/18/2025","1,040","1,050","1,050","1,040","0.10K","-0.95%"
"02/17/2025","1,050","1,050","1,050","1,050","0.23K","0.00%"
"02/14/2025","1,050","990","1,050","990","0.08K","6.06%"
"02/13/2025","990","1,045","1,045","990","0.67K","-5.26%"
"02/12/2025","1,045","1,000","1,045","1,000","3.23K","4.50%"
"02/11/2025","1,000","985","1,000","985","1.51K","1.52%"
"02/10/2025","985","1,060","1,060","985","0.04K","-7.08%"
"02/07/2025","1,060","1,020","1,060","1,020","1.54K","3.92%"
"02/06/2025","1,020","1,020","1,020","1,020","0.24K","0.00%"
"02/05/2025","1,020","1,020","1,020","1,020","0.09K","0.00%"
"02/04/2025","1,020","1,025","1,025","1,020","0.10K","-0.49%"
"02/03/2025","1,025","1,035","1,035","1,025","0.03K","-0.97%"
"01/31/2025","1,035","1,040","1,040","1,035","0.11K","-0.48%"
"01/30/2025","1,040","1,050","1,050","1,040","0.16K","-0.95%"
"01/29/2025","1,050","1,000","1,050","1,000","0.11K","5.00%"
"01/28/2025","1,000","1,000","1,000","1,000","0.02K","0.00%"
"01/27/2025","1,000","1,000","1,000","1,000","0.23K","0.00%"
"01/24/2025","1,000","1,000","1,000","1,000","0.96K","0.00%"
"01/23/2025","1,000","995","1,000","995","0.44K","0.50%"
"01/22/2025","995","960","995","960","0.23K","3.65%"
"01/21/2025","960","960","960","960","0.27K","0.00%"
"01/20/2025","960","1,000","1,000","960","0.04K","-4.00%"
"01/17/2025","1,000","1,000","1,000","1,000","0.02K","0.00%"
"01/16/2025","1,000","1,025","1,025","1,000","0.02K","-2.44%"
"01/15/2025","1,025","955","1,025","955","0.08K","7.33%"
"01/14/2025","955","1,030","1,030","955","0.79K","-7.28%"
"01/13/2025","1,030","1,060","1,060","1,030","0.23K","-2.83%"
"01/10/2025","1,060","1,060","1,060","1,060","0.02K","0.00%"
"01/09/2025","1,060","995","1,060","995","0.47K","6.53%"
"01/08/2025","995","1,075","1,075","995","0.09K","-7.44%"
"01/07/2025","1,075","1,090","1,090","1,075","0.03K","-1.38%"
"01/06/2025","1,090","1,065","1,090","1,065","0.04K","2.35%"
"01/03/2025","1,065","1,065","1,065","1,065","0.11K","0.00%"
"12/31/2024","1,065","995","1,065","995","0.00K","7.04%"
"12/30/2024","995","1,075","1,075","995","0.78K","-7.44%"
"12/27/2024","1,075","1,000","1,075","1,000","0.05K","7.50%"
"12/26/2024","1,000","1,000","1,000","1,000","0.41K","0.00%"
"12/23/2024","1,000","945","1,000","945","0.08K","5.82%"
"12/20/2024","945","940","945","940","0.02K","0.53%"
"12/19/2024","940","1,000","1,000","940","1.21K","-6.00%"
"12/18/2024","1,000","1,040","1,040","1,000","0.27K","-3.85%"
"12/17/2024","1,040","1,120","1,120","1,040","0.59K","-7.14%"
"12/16/2024","1,120","1,125","1,125","1,120","0.05K","-0.44%"
"12/13/2024","1,125","1,125","1,125","1,125","0.05K","0.00%"
"12/12/2024","1,125","1,125","1,125","1,125","0.04K","0.00%"
"12/11/2024","1,125","1,160","1,160","1,125","0.86K","-3.02%"
"12/10/2024","1,160","1,150","1,160","1,150","0.11K","0.87%"
"12/09/2024","1,150","1,150","1,150","1,150","0.03K","0.00%"
"12/06/2024","1,150","1,160","1,160","1,150","0.00K","-0.86%"
"12/05/2024","1,160","1,110","1,160","1,110","1.17K","4.50%"
"12/04/2024","1,110","1,200","1,200","1,110","0.22K","-7.50%"
"12/03/2024","1,200","1,200","1,200","1,200","0.07K","0.00%"
"12/02/2024","1,200","1,200","1,200","1,200","0.18K","0.00%"
"11/29/2024","1,200","1,120","1,200","1,120","0.16K","7.14%"
"11/28/2024","1,120","1,110","1,120","1,110","0.76K","0.90%"
"11/27/2024","1,110","1,120","1,120","1,110","0.02K","-0.89%"
"11/26/2024","1,120","1,115","1,120","1,115","0.15K","0.45%"
"11/25/2024","1,115","1,120","1,120","1,115","0.01K","-0.45%"
"11/22/2024","1,120","1,045","1,120","1,045","0.47K","7.18%"
"11/21/2024","1,045","1,125","1,125","1,045","1.03K","-7.11%"
"11/20/2024","1,125","1,125","1,125","1,125","0.00K","0.00%"
"11/19/2024","1,125","1,150","1,150","1,125","0.02K","-2.17%"
