"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","4,480","4,495","4,495","4,480","0.79K","-0.33%"
"06/04/2025","4,495","4,300","4,495","4,300","3.85K","4.53%"
"06/03/2025","4,300","4,270","4,300","4,270","6.32K","0.70%"
"06/02/2025","4,270","4,600","4,600","4,270","3.41K","-7.17%"
"05/30/2025","4,600","4,895","4,895","4,600","1.70K","-6.03%"
"05/28/2025","4,895","4,850","4,895","4,850","13.21K","0.93%"
"05/27/2025","4,850","4,810","4,850","4,810","12.54K","0.83%"
"05/26/2025","4,810","4,845","4,845","4,810","8.86K","-0.72%"
"05/23/2025","4,845","4,790","4,845","4,790","1.92K","1.15%"
"05/22/2025","4,790","4,800","4,800","4,790","2.32K","-0.21%"
"05/21/2025","4,800","4,795","4,800","4,795","5.71K","0.10%"
"05/20/2025","4,795","4,655","4,795","4,655","6.23K","3.01%"
"05/19/2025","4,655","4,745","4,745","4,655","5.68K","-1.90%"
"05/16/2025","4,745","4,665","4,745","4,665","3.68K","1.71%"
"05/15/2025","4,665","4,675","4,675","4,665","144.39K","-0.21%"
"05/14/2025","4,675","4,725","4,725","4,675","3.03K","-1.06%"
"05/13/2025","4,725","4,720","4,725","4,720","4.83K","0.11%"
"05/12/2025","4,720","4,750","4,750","4,720","4.30K","-0.63%"
"05/09/2025","4,750","4,760","4,760","4,750","5.44K","-0.21%"
"05/08/2025","4,760","4,775","4,775","4,760","4.29K","-0.31%"
"05/07/2025","4,775","4,750","4,775","4,750","5.75K","0.53%"
"05/06/2025","4,750","4,740","4,750","4,740","11.17K","0.21%"
"05/05/2025","4,740","4,750","4,750","4,740","5.33K","-0.21%"
"05/02/2025","4,750","4,730","4,750","4,730","5.18K","0.42%"
"04/30/2025","4,730","4,730","4,730","4,730","2.98K","0.00%"
"04/29/2025","4,730","4,720","4,730","4,720","5.22K","0.21%"
"04/28/2025","4,720","4,715","4,720","4,715","6.39K","0.11%"
"04/25/2025","4,715","4,720","4,720","4,715","4.20K","-0.11%"
"04/24/2025","4,720","4,715","4,720","4,715","4.77K","0.11%"
"04/23/2025","4,715","4,725","4,725","4,715","2.55K","-0.21%"
"04/22/2025","4,725","4,690","4,725","4,690","12.96K","0.75%"
"04/18/2025","4,690","4,690","4,690","4,690","0.92K","0.00%"
"04/17/2025","4,690","4,660","4,690","4,660","6.45K","0.64%"
"04/16/2025","4,660","4,690","4,690","4,660","3.56K","-0.64%"
"04/15/2025","4,690","4,695","4,695","4,690","1.61K","-0.11%"
"04/14/2025","4,695","4,695","4,695","4,695","4.36K","0.00%"
"04/11/2025","4,695","4,700","4,700","4,695","2.84K","-0.11%"
"04/10/2025","4,700","4,720","4,720","4,700","1.50K","-0.42%"
"04/09/2025","4,720","4,700","4,720","4,700","6.39K","0.43%"
"04/08/2025","4,700","4,705","4,705","4,700","3.30K","-0.11%"
"04/07/2025","4,705","4,655","4,705","4,655","3.95K","1.07%"
"04/04/2025","4,655","4,705","4,705","4,655","2.27K","-1.06%"
"04/03/2025","4,705","4,710","4,710","4,705","1.38K","-0.11%"
"04/02/2025","4,710","4,705","4,710","4,705","3.26K","0.11%"
"04/01/2025","4,705","4,700","4,705","4,700","1.85K","0.11%"
"03/28/2025","4,700","4,650","4,700","4,650","2.52K","1.08%"
"03/26/2025","4,650","4,650","4,650","4,650","4.49K","0.00%"
"03/25/2025","4,650","4,650","4,650","4,650","2.64K","0.00%"
"03/24/2025","4,650","4,650","4,650","4,650","13.83K","0.00%"
"03/21/2025","4,650","4,330","4,650","4,330","11.43K","7.39%"
"03/20/2025","4,330","4,030","4,330","4,030","0.62K","7.44%"
"03/19/2025","4,030","4,350","4,350","4,030","4.58K","-7.36%"
"03/18/2025","4,350","4,145","4,350","4,145","5.08K","4.95%"
"03/17/2025","4,145","4,200","4,200","4,145","0.57K","-1.31%"
"03/14/2025","4,200","4,150","4,200","4,150","46.20K","1.20%"
"03/13/2025","4,150","4,250","4,250","4,150","10.76K","-2.35%"
"03/12/2025","4,250","4,200","4,250","4,200","3.65K","1.19%"
"03/11/2025","4,200","4,190","4,200","4,190","4.96K","0.24%"
"03/10/2025","4,190","4,180","4,190","4,180","7.79K","0.24%"
"03/07/2025","4,180","4,185","4,185","4,180","4.28K","-0.12%"
"03/06/2025","4,185","4,100","4,185","4,100","1.14K","2.07%"
"03/05/2025","4,100","4,040","4,100","4,040","0.62K","1.49%"
"03/04/2025","4,040","4,200","4,200","4,040","6.44K","-3.81%"
"03/03/2025","4,200","4,200","4,200","4,200","3.20K","0.00%"
"02/28/2025","4,200","4,150","4,200","4,150","0.85K","1.20%"
"02/27/2025","4,150","4,120","4,150","4,120","1.04K","0.73%"
"02/26/2025","4,120","4,050","4,120","4,050","0.55K","1.73%"
"02/25/2025","4,050","4,040","4,050","4,040","1.85K","0.25%"
"02/24/2025","4,040","4,040","4,040","4,040","1.07K","0.00%"
"02/21/2025","4,040","3,950","4,040","3,950","6.28K","2.28%"
"02/20/2025","3,950","3,950","3,950","3,950","1.04K","0.00%"
"02/19/2025","3,950","3,905","3,950","3,905","9.72K","1.15%"
"02/18/2025","3,905","3,900","3,905","3,900","0.57K","0.13%"
"02/17/2025","3,900","3,800","3,900","3,800","4.05K","2.63%"
"02/14/2025","3,800","3,800","3,800","3,800","6.30K","0.00%"
"02/13/2025","3,800","3,625","3,800","3,625","0.66K","4.83%"
"02/12/2025","3,625","3,610","3,625","3,610","4.02K","0.42%"
"02/11/2025","3,610","3,600","3,610","3,600","2.98K","0.28%"
"02/10/2025","3,600","3,585","3,600","3,585","2.66K","0.42%"
"02/07/2025","3,585","3,560","3,585","3,560","2.48K","0.70%"
"02/06/2025","3,560","3,550","3,560","3,550","2.76K","0.28%"
"02/05/2025","3,550","3,550","3,550","3,550","2.25K","0.00%"
"02/04/2025","3,550","3,590","3,590","3,550","2.74K","-1.11%"
"02/03/2025","3,590","3,545","3,590","3,545","0.69K","1.27%"
"01/31/2025","3,545","3,400","3,545","3,400","2.23K","4.26%"
"01/30/2025","3,400","3,400","3,400","3,400","4.10K","0.00%"
"01/29/2025","3,400","3,300","3,400","3,300","0.98K","3.03%"
"01/28/2025","3,300","3,400","3,400","3,300","7.20K","-2.94%"
"01/27/2025","3,400","3,300","3,400","3,300","0.20K","3.03%"
"01/24/2025","3,300","3,255","3,300","3,255","0.86K","1.38%"
"01/23/2025","3,255","3,250","3,255","3,250","1.49K","0.15%"
"01/22/2025","3,250","3,250","3,250","3,250","2.34K","0.00%"
"01/21/2025","3,250","3,250","3,250","3,250","1.82K","0.00%"
"01/20/2025","3,250","3,250","3,250","3,250","5.46K","0.00%"
