"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","3,735","3,735","3,735","3,735","0.30K","0.00%"
"06/04/2025","3,735","3,630","3,735","3,630","6.21K","2.89%"
"06/03/2025","3,630","3,550","3,630","3,550","0.85K","2.25%"
"06/02/2025","3,550","3,620","3,620","3,550","2.96K","-1.93%"
"05/30/2025","3,620","3,600","3,620","3,600","1.26K","0.56%"
"05/28/2025","3,600","3,545","3,600","3,545","2.80K","1.55%"
"05/27/2025","3,545","3,500","3,545","3,500","3.34K","1.29%"
"05/26/2025","3,500","3,605","3,605","3,500","3.52K","-2.91%"
"05/23/2025","3,605","3,645","3,645","3,605","0.56K","-1.10%"
"05/22/2025","3,645","3,595","3,645","3,595","1.69K","1.39%"
"05/21/2025","3,595","3,600","3,600","3,595","1.75K","-0.14%"
"05/20/2025","3,600","3,590","3,600","3,590","1.12K","0.28%"
"05/19/2025","3,590","3,490","3,590","3,490","6.27K","2.87%"
"05/16/2025","3,490","3,490","3,490","3,490","0.69K","0.00%"
"05/15/2025","3,490","3,380","3,490","3,380","1.60K","3.25%"
"05/14/2025","3,380","3,495","3,495","3,380","5.78K","-3.29%"
"05/13/2025","3,495","3,365","3,495","3,365","11.23K","3.86%"
"05/12/2025","3,365","3,230","3,365","3,230","4.60K","4.18%"
"05/09/2025","3,230","3,225","3,230","3,225","5.42K","0.16%"
"05/08/2025","3,225","3,250","3,250","3,225","5.90K","-0.77%"
"05/07/2025","3,250","3,375","3,375","3,250","3.30K","-3.70%"
"05/06/2025","3,375","3,250","3,375","3,250","3.16K","3.85%"
"05/05/2025","3,250","3,210","3,250","3,210","12.80K","1.25%"
"05/02/2025","3,210","3,250","3,250","3,210","7.14K","-1.23%"
"04/30/2025","3,250","3,505","3,505","3,250","7.04K","-7.28%"
"04/29/2025","3,505","3,600","3,600","3,505","3.94K","-2.64%"
"04/28/2025","3,600","3,640","3,640","3,600","2.20K","-1.10%"
"04/25/2025","3,640","3,700","3,700","3,640","2.46K","-1.62%"
"04/24/2025","3,700","3,825","3,825","3,700","3.33K","-3.27%"
"04/23/2025","3,825","3,895","3,895","3,825","1.37K","-1.80%"
"04/22/2025","3,895","3,995","3,995","3,895","0.86K","-2.50%"
"04/18/2025","3,995","4,020","4,020","3,995","0.44K","-0.62%"
"04/17/2025","4,020","4,310","4,310","4,020","1.37K","-6.73%"
"04/16/2025","4,310","4,285","4,310","4,285","16.67K","0.58%"
"04/15/2025","4,285","4,295","4,295","4,285","5.30K","-0.23%"
"04/14/2025","4,295","4,300","4,300","4,295","6.81K","-0.12%"
"04/11/2025","4,300","4,310","4,310","4,300","1.51K","-0.23%"
"04/10/2025","4,310","4,310","4,310","4,310","34.49K","0.00%"
"04/09/2025","4,310","4,295","4,310","4,295","22.88K","0.35%"
"04/08/2025","4,295","4,205","4,295","4,205","2.71K","2.14%"
"04/07/2025","4,205","4,190","4,205","4,190","11.16K","0.36%"
"04/04/2025","4,190","4,200","4,200","4,190","8.50K","-0.24%"
"04/03/2025","4,200","4,235","4,235","4,200","2.56K","-0.83%"
"04/02/2025","4,235","4,200","4,235","4,200","2.45K","0.83%"
"04/01/2025","4,200","4,245","4,245","4,200","11.29K","-1.06%"
"03/28/2025","4,245","4,250","4,250","4,245","24.42K","-0.12%"
"03/26/2025","4,250","4,250","4,250","4,250","8.04K","0.00%"
"03/25/2025","4,250","4,290","4,290","4,250","12.30K","-0.93%"
"03/24/2025","4,290","4,300","4,300","4,290","4.94K","-0.23%"
"03/21/2025","4,300","4,320","4,320","4,300","3.80K","-0.46%"
"03/20/2025","4,320","4,300","4,320","4,300","7.69K","0.47%"
"03/19/2025","4,300","4,325","4,325","4,300","5.78K","-0.58%"
"03/18/2025","4,325","4,310","4,325","4,310","1.93K","0.35%"
"03/17/2025","4,310","4,350","4,350","4,310","4.38K","-0.92%"
"03/14/2025","4,350","4,310","4,350","4,310","19.41K","0.93%"
"03/13/2025","4,310","4,315","4,315","4,310","5.43K","-0.12%"
"03/12/2025","4,315","4,315","4,315","4,315","2.87K","0.00%"
"03/11/2025","4,315","4,250","4,315","4,250","15.67K","1.53%"
"03/10/2025","4,250","4,210","4,250","4,210","6.89K","0.95%"
"03/07/2025","4,210","4,200","4,210","4,200","4.39K","0.24%"
"03/06/2025","4,200","4,060","4,200","4,060","41.93K","3.45%"
"03/05/2025","4,060","3,780","4,060","3,780","10.73K","7.41%"
"03/04/2025","3,780","3,520","3,780","3,520","6.97K","7.39%"
"03/03/2025","3,520","3,450","3,520","3,450","15.68K","2.03%"
"02/28/2025","3,450","3,430","3,450","3,430","0.49K","0.58%"
"02/27/2025","3,430","3,455","3,455","3,430","0.77K","-0.72%"
"02/26/2025","3,455","3,445","3,455","3,445","0.56K","0.29%"
"02/25/2025","3,445","3,525","3,525","3,445","12.66K","-2.27%"
"02/24/2025","3,525","3,495","3,525","3,495","5.34K","0.86%"
"02/21/2025","3,495","3,495","3,495","3,495","2.76K","0.00%"
"02/20/2025","3,495","3,470","3,495","3,470","9.95K","0.72%"
"02/19/2025","3,470","3,490","3,490","3,470","2.11K","-0.57%"
