"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","5,800","5,805","5,805","5,800","2.98K","-0.09%"
"06/04/2025","5,805","5,750","5,805","5,750","4.11K","0.96%"
"06/03/2025","5,750","5,950","5,950","5,750","7.97K","-3.36%"
"06/02/2025","5,950","5,950","5,950","5,950","2.85K","0.00%"
"05/30/2025","5,950","5,940","5,950","5,940","8.00K","0.17%"
"05/28/2025","5,940","5,990","5,990","5,940","4.09K","-0.83%"
"05/27/2025","5,990","5,950","5,990","5,950","2.45K","0.67%"
"05/26/2025","5,950","5,950","5,950","5,950","9.51K","0.00%"
"05/23/2025","5,950","5,800","5,950","5,800","2.01K","2.59%"
"05/22/2025","5,800","5,900","5,900","5,800","11.00K","-1.69%"
"05/21/2025","5,900","5,990","5,990","5,900","4.16K","-1.50%"
"05/20/2025","5,990","6,105","6,105","5,990","2.89K","-1.88%"
"05/19/2025","6,105","5,990","6,105","5,990","10.65K","1.92%"
"05/16/2025","5,990","6,125","6,125","5,990","2.11K","-2.20%"
"05/15/2025","6,125","6,200","6,200","6,125","3.24K","-1.21%"
"05/14/2025","6,200","6,250","6,250","6,200","4.01K","-0.80%"
"05/13/2025","6,250","6,255","6,255","6,250","3.79K","-0.08%"
"05/12/2025","6,255","6,245","6,255","6,245","23.07K","0.16%"
"05/09/2025","6,245","6,200","6,245","6,200","4.35K","0.73%"
"05/08/2025","6,200","6,095","6,200","6,095","2.74K","1.72%"
"05/07/2025","6,095","6,050","6,095","6,050","3.63K","0.74%"
"05/06/2025","6,050","6,050","6,050","6,050","4.29K","0.00%"
"05/05/2025","6,050","6,100","6,100","6,050","1.65K","-0.82%"
"05/02/2025","6,100","6,100","6,100","6,100","5.23K","0.00%"
"04/30/2025","6,100","6,090","6,100","6,090","2.63K","0.16%"
"04/29/2025","6,090","6,060","6,090","6,060","7.68K","0.50%"
"04/28/2025","6,060","6,095","6,095","6,060","10.13K","-0.57%"
"04/25/2025","6,095","6,100","6,100","6,095","4.19K","-0.08%"
"04/24/2025","6,100","6,100","6,100","6,100","4.31K","0.00%"
"04/23/2025","6,100","6,000","6,100","6,000","25.69K","1.67%"
"04/22/2025","6,000","5,990","6,000","5,990","2.90K","0.17%"
"04/18/2025","5,990","5,995","5,995","5,990","0.92K","-0.08%"
"04/17/2025","5,995","6,000","6,000","5,995","1.97K","-0.08%"
"04/16/2025","6,000","5,995","6,000","5,995","3.29K","0.08%"
"04/15/2025","5,995","6,000","6,000","5,995","1.17K","-0.08%"
"04/14/2025","6,000","5,950","6,000","5,950","1.35K","0.84%"
"04/11/2025","5,950","5,800","5,950","5,800","2.76K","2.59%"
"04/10/2025","5,800","5,605","5,800","5,605","2.03K","3.48%"
"04/09/2025","5,605","5,985","5,985","5,605","2.64K","-6.35%"
"04/08/2025","5,985","6,000","6,000","5,985","2.84K","-0.25%"
"04/07/2025","6,000","6,000","6,000","6,000","11.71K","0.00%"
"04/04/2025","6,000","6,090","6,090","6,000","6.08K","-1.48%"
"04/03/2025","6,090","6,090","6,090","6,090","8.69K","0.00%"
"04/02/2025","6,090","6,010","6,090","6,010","5.28K","1.33%"
"04/01/2025","6,010","6,110","6,110","6,010","2.88K","-1.64%"
"03/28/2025","6,110","6,110","6,110","6,110","15.37K","0.00%"
"03/26/2025","6,110","6,100","6,110","6,100","1.30K","0.16%"
"03/25/2025","6,100","6,100","6,100","6,100","5.84K","0.00%"
"03/24/2025","6,100","6,125","6,125","6,100","6.65K","-0.41%"
"03/21/2025","6,125","6,095","6,125","6,095","4.96K","0.49%"
"03/20/2025","6,095","6,105","6,105","6,095","4.33K","-0.16%"
"03/19/2025","6,105","6,125","6,125","6,105","15.14K","-0.33%"
"03/18/2025","6,125","5,775","6,125","5,775","8.07K","6.06%"
"03/17/2025","5,775","5,700","5,775","5,700","0.43K","1.32%"
"03/14/2025","5,700","5,680","5,700","5,680","5.49K","0.35%"
"03/13/2025","5,680","5,700","5,700","5,680","3.46K","-0.35%"
"03/12/2025","5,700","5,700","5,700","5,700","14.55K","0.00%"
"03/11/2025","5,700","5,685","5,700","5,685","3.66K","0.26%"
"03/10/2025","5,685","5,685","5,685","5,685","1.98K","0.00%"
"03/07/2025","5,685","5,670","5,685","5,670","3.93K","0.26%"
"03/06/2025","5,670","5,690","5,690","5,670","4.68K","-0.35%"
"03/05/2025","5,690","5,700","5,700","5,690","1.48K","-0.18%"
"03/04/2025","5,700","5,700","5,700","5,700","7.38K","0.00%"
"03/03/2025","5,700","5,780","5,780","5,700","5.83K","-1.38%"
"02/28/2025","5,780","5,790","5,790","5,780","8.03K","-0.17%"
"02/27/2025","5,790","5,800","5,800","5,790","3.75K","-0.17%"
"02/26/2025","5,800","5,895","5,895","5,800","4.97K","-1.61%"
"02/25/2025","5,895","5,950","5,950","5,895","6.18K","-0.92%"
"02/24/2025","5,950","5,690","5,950","5,690","6.12K","4.57%"
"02/21/2025","5,690","5,375","5,690","5,375","4.44K","5.86%"
"02/20/2025","5,375","5,100","5,375","5,100","3.72K","5.39%"
"02/19/2025","5,100","4,985","5,100","4,985","10.23K","2.31%"
"02/18/2025","4,985","4,900","4,985","4,900","0.70K","1.73%"
"02/17/2025","4,900","4,845","4,900","4,845","5.62K","1.14%"
"02/14/2025","4,845","4,845","4,845","4,845","5.94K","0.00%"
"02/13/2025","4,845","4,800","4,845","4,800","2.25K","0.94%"
"02/12/2025","4,800","4,610","4,800","4,610","1.19K","4.12%"
"02/11/2025","4,610","4,755","4,755","4,610","6.50K","-3.05%"
"02/10/2025","4,755","4,795","4,795","4,755","2.60K","-0.83%"
"02/07/2025","4,795","4,710","4,795","4,710","6.07K","1.80%"
"02/06/2025","4,710","4,695","4,710","4,695","5.50K","0.32%"
"02/05/2025","4,695","4,600","4,695","4,600","0.88K","2.07%"
"02/04/2025","4,600","4,695","4,695","4,600","4.64K","-2.02%"
"02/03/2025","4,695","4,650","4,695","4,650","1.04K","0.97%"
"01/31/2025","4,650","4,600","4,650","4,600","1.83K","1.09%"
"01/30/2025","4,600","4,715","4,715","4,600","5.75K","-2.44%"
"01/29/2025","4,715","4,705","4,715","4,705","5.38K","0.21%"
"01/28/2025","4,705","4,705","4,705","4,705","2.74K","0.00%"
"01/27/2025","4,705","4,725","4,725","4,705","0.72K","-0.42%"
"01/24/2025","4,725","4,730","4,730","4,725","7.63K","-0.11%"
"01/23/2025","4,730","4,860","4,860","4,730","8.99K","-2.67%"
"01/22/2025","4,860","4,860","4,860","4,860","0.82K","0.00%"
"01/21/2025","4,860","4,855","4,860","4,855","0.55K","0.10%"
"01/20/2025","4,855","4,855","4,855","4,855","1.46K","0.00%"
"01/17/2025","4,855","4,885","4,885","4,855","1.28K","-0.61%"
"01/16/2025","4,885","4,885","4,885","4,885","1.17K","0.00%"
"01/15/2025","4,885","4,850","4,885","4,850","3.91K","0.72%"
"01/14/2025","4,850","4,960","4,960","4,850","1.47K","-2.22%"
"01/13/2025","4,960","4,985","4,985","4,960","0.41K","-0.50%"
"01/10/2025","4,985","4,985","4,985","4,985","2.13K","0.00%"
"01/09/2025","4,985","4,990","4,990","4,985","3.12K","-0.10%"
"01/08/2025","4,990","4,990","4,990","4,990","0.52K","0.00%"
"01/07/2025","4,990","4,990","4,990","4,990","1.76K","0.00%"
"01/06/2025","4,990","4,995","4,995","4,990","1.15K","-0.10%"
"01/03/2025","4,995","4,995","4,995","4,995","0.57K","0.00%"
"01/02/2025","4,995","4,995","4,995","4,995","2.55K","0.00%"
"12/31/2024","4,995","5,000","5,000","4,995","3.96K","-0.10%"
"12/30/2024","5,000","5,000","5,000","5,000","2.92K","0.00%"
"12/27/2024","5,000","5,000","5,000","5,000","2.39K","0.00%"
"12/26/2024","5,000","5,000","5,000","5,000","2.53K","0.00%"
"12/24/2024","5,000","4,995","5,000","4,995","1.19K","0.10%"
"12/23/2024","4,995","4,995","4,995","4,995","0.42K","0.00%"
"12/20/2024","4,995","4,990","4,995","4,990","1.62K","0.10%"
"12/19/2024","4,990","4,995","4,995","4,990","1.20K","-0.10%"
"12/18/2024","4,995","4,750","4,995","4,750","4.02K","5.16%"
"12/17/2024","4,750","4,995","4,995","4,750","1.89K","-4.90%"
"12/16/2024","4,995","4,970","4,995","4,970","1.26K","0.50%"
"12/13/2024","4,970","4,900","4,970","4,900","0.56K","1.43%"
"12/12/2024","4,900","4,795","4,900","4,795","2.44K","2.19%"
"12/11/2024","4,795","4,640","4,795","4,640","0.59K","3.34%"
"12/10/2024","4,640","4,640","4,640","4,640","1.82K","0.00%"
"12/09/2024","4,640","4,600","4,640","4,600","15.29K","0.87%"
"12/06/2024","4,600","4,600","4,600","4,600","1.83K","0.00%"
"12/05/2024","4,600","4,695","4,695","4,600","1.87K","-2.02%"
"12/04/2024","4,695","4,800","4,800","4,695","3.09K","-2.19%"
"12/03/2024","4,800","4,800","4,800","4,800","1.38K","0.00%"
"12/02/2024","4,800","5,000","5,000","4,800","3.28K","-4.00%"
"11/29/2024","5,000","5,010","5,010","5,000","2.53K","-0.20%"
"11/28/2024","5,010","5,000","5,010","5,000","0.97K","0.20%"
"11/27/2024","5,000","5,080","5,080","5,000","0.82K","-1.57%"
"11/26/2024","5,080","5,000","5,080","5,000","0.82K","1.60%"
"11/25/2024","5,000","5,120","5,120","5,000","6.38K","-2.34%"
"11/22/2024","5,120","5,000","5,120","5,000","2.77K","2.40%"
"11/21/2024","5,000","5,240","5,240","5,000","8.29K","-4.58%"
"11/20/2024","5,240","5,080","5,240","5,080","0.96K","3.15%"
"11/19/2024","5,080","5,050","5,080","5,050","2.93K","0.59%"
"11/18/2024","5,050","5,050","5,050","5,050","4.20K","0.00%"
"11/14/2024","5,050","4,800","5,050","4,800","2.93K","5.21%"
"11/13/2024","4,800","4,785","4,800","4,785","1.53K","0.31%"
"11/12/2024","4,785","5,000","5,000","4,785","2.91K","-4.30%"
"11/11/2024","5,000","5,200","5,200","5,000","2.92K","-3.85%"
"11/08/2024","5,200","5,095","5,200","5,095","4.87K","2.06%"
"11/07/2024","5,095","5,100","5,100","5,095","3.62K","-0.10%"
"11/06/2024","5,100","5,245","5,245","5,100","2.04K","-2.76%"
"11/05/2024","5,245","5,530","5,530","5,245","12.61K","-5.15%"
"11/04/2024","5,530","5,700","5,700","5,530","3.19K","-2.98%"
"10/31/2024","5,700","5,695","5,700","5,695","6.87K","0.09%"
