"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","3,000.00","2,795.00","3,000.00","2,795.00","15.23K","7.33%"
"06/04/2025","2,795.00","2,600.00","2,795.00","2,600.00","18.79K","7.50%"
"06/03/2025","2,600.00","2,550.00","2,600.00","2,550.00","4.12K","1.96%"
"06/02/2025","2,550.00","2,635.00","2,635.00","2,550.00","5.79K","-3.23%"
"05/30/2025","2,635.00","2,895.00","2,895.00","2,635.00","20.79K","-8.98%"
"05/28/2025","2,895.00","2,900.00","2,900.00","2,895.00","8.84K","-0.17%"
"05/27/2025","2,900.00","2,800.00","2,900.00","2,800.00","11.26K","3.57%"
"05/26/2025","2,800.00","2,825.00","2,825.00","2,800.00","6.88K","-0.88%"
"05/23/2025","2,825.00","2,825.00","2,825.00","2,825.00","8.91K","0.00%"
"05/22/2025","2,825.00","2,800.00","2,825.00","2,800.00","6.41K","0.89%"
"05/21/2025","2,800.00","2,800.00","2,800.00","2,800.00","6.99K","0.00%"
"05/20/2025","2,800.00","2,780.00","2,800.00","2,780.00","8.45K","0.72%"
"05/19/2025","2,780.00","2,760.00","2,780.00","2,760.00","3.05K","0.72%"
"05/16/2025","2,760.00","2,650.00","2,760.00","2,650.00","12.68K","4.15%"
"05/15/2025","2,650.00","2,675.00","2,675.00","2,650.00","1.78K","-0.93%"
"05/14/2025","2,675.00","2,625.00","2,675.00","2,625.00","1.04K","1.90%"
"05/13/2025","2,625.00","2,575.00","2,625.00","2,575.00","6.78K","1.94%"
"05/12/2025","2,575.00","2,565.00","2,575.00","2,565.00","1.05K","0.39%"
"05/09/2025","2,565.00","2,595.00","2,595.00","2,565.00","1.15K","-1.16%"
"05/08/2025","2,595.00","2,550.00","2,595.00","2,550.00","7.24K","1.76%"
"05/07/2025","2,550.00","2,600.00","2,600.00","2,550.00","4.65K","-1.92%"
"05/06/2025","2,600.00","2,600.00","2,600.00","2,600.00","4.14K","0.00%"
"05/05/2025","2,600.00","2,580.00","2,600.00","2,580.00","2.38K","0.78%"
"05/02/2025","2,580.00","2,500.00","2,580.00","2,500.00","0.90K","3.20%"
"04/30/2025","2,500.00","2,660.00","2,660.00","2,500.00","6.08K","-6.02%"
"04/29/2025","2,660.00","2,650.00","2,660.00","2,650.00","1.61K","0.38%"
"04/28/2025","2,650.00","2,645.00","2,650.00","2,645.00","9.60K","0.19%"
"04/25/2025","2,645.00","2,660.00","2,660.00","2,645.00","2.79K","-0.56%"
"04/24/2025","2,660.00","2,640.00","2,660.00","2,640.00","6.54K","0.76%"
"04/23/2025","2,640.00","2,640.00","2,640.00","2,640.00","2.66K","0.00%"
"04/22/2025","2,640.00","2,685.00","2,685.00","2,640.00","2.22K","-1.68%"
"04/18/2025","2,685.00","2,750.00","2,750.00","2,685.00","1.61K","-2.36%"
"04/17/2025","2,750.00","2,685.00","2,750.00","2,685.00","6.14K","2.42%"
