"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","2,595","2,595","2,595","2,595","1.38K","0.00%"
"06/04/2025","2,595","2,590","2,595","2,590","0.65K","0.19%"
"06/03/2025","2,590","2,600","2,600","2,590","2.62K","-0.38%"
"06/02/2025","2,600","2,600","2,600","2,600","0.24K","0.00%"
"05/30/2025","2,600","2,850","2,850","2,600","1.33K","-8.77%"
"05/28/2025","2,850","2,800","2,850","2,800","8.89K","1.79%"
"05/27/2025","2,800","2,800","2,800","2,800","0.81K","0.00%"
"05/26/2025","2,800","2,705","2,800","2,705","10.32K","3.51%"
"05/23/2025","2,705","2,800","2,800","2,705","0.75K","-3.39%"
"05/22/2025","2,800","2,820","2,820","2,800","0.61K","-0.71%"
"05/21/2025","2,820","2,795","2,820","2,795","0.49K","0.89%"
"05/20/2025","2,795","2,750","2,795","2,750","0.30K","1.64%"
"05/19/2025","2,750","2,640","2,750","2,640","5.87K","4.17%"
"05/16/2025","2,640","2,600","2,640","2,600","0.01K","1.54%"
"05/15/2025","2,600","2,680","2,680","2,600","0.69K","-2.99%"
"05/14/2025","2,680","2,595","2,680","2,595","3.24K","3.28%"
"05/13/2025","2,595","2,595","2,595","2,595","9.15K","0.00%"
"05/12/2025","2,595","2,575","2,595","2,575","0.24K","0.78%"
"05/09/2025","2,575","2,575","2,575","2,575","5.13K","0.00%"
"05/08/2025","2,575","2,575","2,575","2,575","0.28K","0.00%"
"05/07/2025","2,575","2,600","2,600","2,575","1.47K","-0.96%"
"05/06/2025","2,600","2,650","2,650","2,600","2.58K","-1.89%"
"05/05/2025","2,650","2,550","2,650","2,550","0.85K","3.92%"
"05/02/2025","2,550","2,590","2,590","2,550","7.47K","-1.54%"
"04/30/2025","2,590","2,795","2,795","2,590","9.04K","-7.33%"
"04/29/2025","2,795","2,775","2,795","2,775","1.77K","0.72%"
"04/28/2025","2,775","2,790","2,790","2,775","0.33K","-0.54%"
"04/25/2025","2,790","2,775","2,790","2,775","1.52K","0.54%"
"04/24/2025","2,775","2,775","2,775","2,775","0.43K","0.00%"
"04/23/2025","2,775","2,775","2,775","2,775","5.05K","0.00%"
"04/22/2025","2,775","2,775","2,775","2,775","0.30K","0.00%"
"04/18/2025","2,775","2,790","2,790","2,775","0.34K","-0.54%"
"04/17/2025","2,790","2,790","2,790","2,790","0.31K","0.00%"
"04/16/2025","2,790","2,790","2,790","2,790","1.88K","0.00%"
"04/15/2025","2,790","2,785","2,790","2,785","1.90K","0.18%"
"04/14/2025","2,785","2,790","2,790","2,785","0.12K","-0.18%"
"04/11/2025","2,790","2,765","2,790","2,765","2.45K","0.90%"
"04/10/2025","2,765","2,760","2,765","2,760","42.24K","0.18%"
"04/09/2025","2,760","2,780","2,780","2,760","0.81K","-0.72%"
"04/08/2025","2,780","2,780","2,780","2,780","0.44K","0.00%"
"04/07/2025","2,780","2,710","2,780","2,710","0.96K","2.58%"
"04/04/2025","2,710","2,770","2,770","2,710","0.59K","-2.17%"
"04/03/2025","2,770","2,770","2,770","2,770","1.87K","0.00%"
"04/02/2025","2,770","2,770","2,770","2,770","0.13K","0.00%"
"04/01/2025","2,770","2,795","2,795","2,770","1.03K","-0.89%"
"03/28/2025","2,795","2,795","2,795","2,795","4.41K","0.00%"
"03/26/2025","2,795","2,675","2,795","2,675","2.40K","4.49%"
"03/25/2025","2,675","2,675","2,675","2,675","1.25K","0.00%"
"03/24/2025","2,675","2,675","2,675","2,675","2.11K","0.00%"
"03/21/2025","2,675","2,685","2,685","2,675","45.52K","-0.37%"
"03/20/2025","2,685","2,900","2,900","2,685","1.86K","-7.41%"
"03/19/2025","2,900","2,915","2,915","2,900","11.17K","-0.51%"
"03/18/2025","2,915","2,910","2,915","2,910","1.95K","0.17%"
"03/17/2025","2,910","2,910","2,910","2,910","56.71K","0.00%"
"03/14/2025","2,910","3,040","3,040","2,910","15.38K","-4.28%"
"03/13/2025","3,040","3,000","3,040","3,000","1.17K","1.33%"
"03/12/2025","3,000","2,995","3,000","2,995","0.75K","0.17%"
"03/11/2025","2,995","2,995","2,995","2,995","6.79K","0.00%"
"03/10/2025","2,995","2,900","2,995","2,900","0.99K","3.28%"
"03/07/2025","2,900","3,045","3,045","2,900","3.99K","-4.76%"
"03/06/2025","3,045","3,100","3,100","3,045","1.24K","-1.77%"
"03/05/2025","3,100","3,050","3,100","3,050","2.71K","1.64%"
"03/04/2025","3,050","2,840","3,050","2,840","6.06K","7.39%"
"03/03/2025","2,840","2,800","2,840","2,800","0.73K","1.43%"
"02/28/2025","2,800","2,800","2,800","2,800","1.24K","0.00%"
"02/27/2025","2,800","2,750","2,800","2,750","4.40K","1.82%"
"02/26/2025","2,750","2,720","2,750","2,720","1.50K","1.10%"
"02/25/2025","2,720","2,610","2,720","2,610","2.03K","4.21%"
"02/24/2025","2,610","2,570","2,610","2,570","0.64K","1.56%"
"02/21/2025","2,570","2,500","2,570","2,500","4.29K","2.80%"
"02/20/2025","2,500","2,425","2,500","2,425","4.06K","3.09%"
"02/19/2025","2,425","2,475","2,475","2,425","12.38K","-2.02%"
"02/18/2025","2,475","2,440","2,475","2,440","1.03K","1.43%"
"02/17/2025","2,440","2,385","2,440","2,385","2.07K","2.31%"
"02/14/2025","2,385","2,400","2,400","2,385","2.53K","-0.63%"
"02/13/2025","2,400","2,365","2,400","2,365","6.33K","1.48%"
"02/12/2025","2,365","2,350","2,365","2,350","2.76K","0.64%"
"02/11/2025","2,350","2,350","2,350","2,350","0.84K","0.00%"
"02/10/2025","2,350","2,295","2,350","2,295","1.57K","2.40%"
"02/07/2025","2,295","2,300","2,300","2,295","2.47K","-0.22%"
"02/06/2025","2,300","2,200","2,300","2,200","3.98K","4.55%"
"02/05/2025","2,200","2,190","2,200","2,190","2.77K","0.46%"
"02/04/2025","2,190","2,200","2,200","2,190","1.41K","-0.45%"
"02/03/2025","2,200","2,295","2,295","2,200","4.40K","-4.14%"
"01/31/2025","2,295","2,150","2,295","2,150","4.68K","6.74%"
"01/30/2025","2,150","2,195","2,195","2,150","2.81K","-2.05%"
"01/29/2025","2,195","2,200","2,200","2,195","4.11K","-0.23%"
"01/28/2025","2,200","2,300","2,300","2,200","1.68K","-4.35%"
"01/27/2025","2,300","2,360","2,360","2,300","0.64K","-2.54%"
"01/24/2025","2,360","2,360","2,360","2,360","0.23K","0.00%"
"01/23/2025","2,360","2,385","2,385","2,360","1.11K","-1.05%"
"01/22/2025","2,385","2,390","2,390","2,385","1.67K","-0.21%"
"01/21/2025","2,390","2,435","2,435","2,390","0.73K","-1.85%"
"01/20/2025","2,435","2,450","2,450","2,435","0.28K","-0.61%"
"01/17/2025","2,450","2,410","2,450","2,410","5.01K","1.66%"
"01/16/2025","2,410","2,450","2,450","2,410","0.43K","-1.63%"
"01/15/2025","2,450","2,475","2,475","2,450","2.67K","-1.01%"
"01/14/2025","2,475","2,400","2,475","2,400","0.29K","3.13%"
"01/13/2025","2,400","2,500","2,500","2,400","4.11K","-4.00%"
"01/10/2025","2,500","2,500","2,500","2,500","0.16K","0.00%"
"01/09/2025","2,500","2,490","2,500","2,490","0.70K","0.40%"
"01/08/2025","2,490","2,500","2,500","2,490","1.57K","-0.40%"
"01/07/2025","2,500","2,590","2,590","2,500","1.62K","-3.47%"
"01/06/2025","2,590","2,590","2,590","2,590","0.51K","0.00%"
"01/03/2025","2,590","2,590","2,590","2,590","0.18K","0.00%"
"01/02/2025","2,590","2,575","2,590","2,575","0.08K","0.58%"
"12/31/2024","2,575","2,595","2,595","2,575","0.55K","-0.77%"
"12/30/2024","2,595","2,595","2,595","2,595","1.43K","0.00%"
"12/27/2024","2,595","2,600","2,600","2,595","2.62K","-0.19%"
"12/26/2024","2,600","2,600","2,600","2,600","1.87K","0.00%"
"12/24/2024","2,600","2,590","2,600","2,590","0.98K","0.39%"
"12/23/2024","2,590","2,570","2,590","2,570","1.45K","0.78%"
"12/20/2024","2,570","2,565","2,570","2,565","0.57K","0.19%"
"12/19/2024","2,565","2,605","2,605","2,565","6.66K","-1.54%"
"12/18/2024","2,605","2,595","2,605","2,595","3.55K","0.39%"
"12/17/2024","2,595","2,600","2,600","2,595","5.71K","-0.19%"
"12/16/2024","2,600","2,520","2,600","2,520","5.85K","3.17%"
"12/13/2024","2,520","2,650","2,650","2,520","0.68K","-4.91%"
"12/12/2024","2,650","2,600","2,650","2,600","14.01K","1.92%"
"12/11/2024","2,600","2,600","2,600","2,600","3.47K","0.00%"
"12/10/2024","2,600","2,650","2,650","2,600","2.12K","-1.89%"
"12/09/2024","2,650","2,690","2,690","2,650","0.77K","-1.49%"
"12/06/2024","2,690","2,690","2,690","2,690","1.28K","0.00%"
"12/05/2024","2,690","2,710","2,710","2,690","0.81K","-0.74%"
"12/04/2024","2,710","2,710","2,710","2,710","1.85K","0.00%"
"12/03/2024","2,710","2,720","2,720","2,710","0.95K","-0.37%"
"12/02/2024","2,720","2,745","2,745","2,720","0.99K","-0.91%"
"11/29/2024","2,745","2,720","2,745","2,720","1.42K","0.92%"
"11/28/2024","2,720","2,745","2,745","2,720","0.80K","-0.91%"
"11/27/2024","2,745","2,745","2,745","2,745","0.38K","0.00%"
"11/26/2024","2,745","2,800","2,800","2,745","1.70K","-1.96%"
"11/25/2024","2,800","2,800","2,800","2,800","0.91K","0.00%"
"11/22/2024","2,800","2,885","2,885","2,800","1.68K","-2.95%"
"11/21/2024","2,885","2,900","2,900","2,885","0.66K","-0.52%"
"11/20/2024","2,900","2,940","2,940","2,900","4.38K","-1.36%"
"11/19/2024","2,940","2,940","2,940","2,940","1.02K","0.00%"
"11/18/2024","2,940","2,950","2,950","2,940","0.62K","-0.34%"
"11/14/2024","2,950","2,990","2,990","2,950","0.06K","-1.34%"
"11/13/2024","2,990","2,990","2,990","2,990","1.05K","0.00%"
"11/12/2024","2,990","2,990","2,990","2,990","0.62K","0.00%"
"11/11/2024","2,990","2,995","2,995","2,990","0.96K","-0.17%"
"11/08/2024","2,995","2,995","2,995","2,995","1.03K","0.00%"
"11/07/2024","2,995","3,000","3,000","2,995","0.51K","-0.17%"
"11/06/2024","3,000","3,180","3,180","3,000","2.03K","-5.66%"
"11/05/2024","3,180","3,185","3,185","3,180","0.37K","-0.16%"
"11/04/2024","3,185","3,200","3,200","3,185","1.10K","-0.47%"
"10/31/2024","3,200","3,200","3,200","3,200","0.09K","0.00%"
"10/30/2024","3,200","3,115","3,200","3,115","0.45K","2.73%"
"10/29/2024","3,115","3,100","3,115","3,100","0.42K","0.48%"
"10/28/2024","3,100","3,015","3,100","3,015","0.71K","2.82%"
"10/25/2024","3,015","3,250","3,250","3,015","11.95K","-7.23%"
"10/24/2024","3,250","3,250","3,250","3,250","2.01K","0.00%"
"10/23/2024","3,250","3,300","3,300","3,250","1.51K","-1.52%"
"10/22/2024","3,300","3,495","3,495","3,300","5.77K","-5.58%"
"10/21/2024","3,495","3,300","3,495","3,300","3.30K","5.91%"
"10/18/2024","3,300","3,300","3,300","3,300","0.49K","0.00%"
"10/17/2024","3,300","3,300","3,300","3,300","0.66K","0.00%"
"10/16/2024","3,300","3,250","3,300","3,250","2.49K","1.54%"
"10/15/2024","3,250","3,250","3,250","3,250","2.88K","0.00%"
"10/14/2024","3,250","3,300","3,300","3,250","2.49K","-1.52%"
"10/11/2024","3,300","3,350","3,350","3,300","1.81K","-1.49%"
"10/10/2024","3,350","3,250","3,350","3,250","1.09K","3.08%"
"10/09/2024","3,250","3,290","3,290","3,250","1.58K","-1.22%"
"10/08/2024","3,290","3,350","3,350","3,290","0.54K","-1.79%"
"10/07/2024","3,350","3,350","3,350","3,350","0.72K","0.00%"
"10/04/2024","3,350","3,350","3,350","3,350","0.83K","0.00%"
"10/03/2024","3,350","3,300","3,350","3,300","2.24K","1.52%"
"10/02/2024","3,300","3,350","3,350","3,300","1.42K","-1.49%"
"10/01/2024","3,350","3,285","3,350","3,285","0.95K","1.98%"
"09/30/2024","3,285","3,140","3,285","3,140","4.97K","4.62%"
"09/27/2024","3,140","3,105","3,140","3,105","0.74K","1.13%"
"09/26/2024","3,105","3,120","3,120","3,105","4.90K","-0.48%"
"09/25/2024","3,120","3,120","3,120","3,120","5.51K","0.00%"
"09/24/2024","3,120","3,110","3,120","3,110","1.66K","0.32%"
"09/23/2024","3,110","3,140","3,140","3,110","1.81K","-0.96%"
"09/20/2024","3,140","3,140","3,140","3,140","0.43K","0.00%"
"09/19/2024","3,140","3,255","3,255","3,140","1.87K","-3.53%"
"09/18/2024","3,255","3,160","3,255","3,160","1.12K","3.01%"
"09/17/2024","3,160","3,145","3,160","3,145","0.75K","0.48%"
"09/16/2024","3,145","3,400","3,400","3,145","1.91K","-7.50%"
"09/13/2024","3,400","3,585","3,585","3,400","2.45K","-5.16%"
"09/12/2024","3,585","3,670","3,670","3,585","1.27K","-2.32%"
"09/11/2024","3,670","3,700","3,700","3,670","1.71K","-0.81%"
"09/10/2024","3,700","3,800","3,800","3,700","3.79K","-2.63%"
"09/09/2024","3,800","3,850","3,850","3,800","1.63K","-1.30%"
"09/06/2024","3,850","3,995","3,995","3,750","6.14K","2.39%"
"09/05/2024","3,760","3,645","3,760","3,500","16.74K","7.43%"
"09/04/2024","3,500","3,500","3,500","3,500","8.10K","7.28%"
"09/03/2024","3,263","3,266","3,300","3,256","31.43K","-0.19%"
"09/02/2024","3,269","3,250","3,272","3,250","5.57K","0.58%"
"08/30/2024","3,250","3,250","3,262","3,244","7.09K","0.00%"
"08/29/2024","3,250","3,262","3,269","3,247","2.56K","-0.38%"
