"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","4,045","4,050","4,050","4,045","1.47K","-0.12%"
"06/04/2025","4,050","4,020","4,050","4,020","3.08K","0.75%"
"06/03/2025","4,020","3,990","4,020","3,990","3.58K","0.75%"
"06/02/2025","3,990","3,950","3,990","3,950","3.01K","1.01%"
"05/30/2025","3,950","4,090","4,090","3,950","4.92K","-3.42%"
"05/28/2025","4,090","4,200","4,200","4,090","11.97K","-2.62%"
"05/27/2025","4,200","4,200","4,200","4,200","10.70K","0.00%"
"05/26/2025","4,200","4,250","4,250","4,200","4.41K","-1.18%"
"05/23/2025","4,250","4,200","4,250","4,200","6.81K","1.19%"
"05/22/2025","4,200","4,200","4,200","4,200","14.48K","0.00%"
"05/21/2025","4,200","4,200","4,200","4,200","4.20K","0.00%"
"05/20/2025","4,200","4,200","4,200","4,200","16.58K","0.00%"
"05/19/2025","4,200","4,245","4,245","4,200","24.70K","-1.06%"
"05/16/2025","4,245","4,200","4,245","4,200","5.25K","1.07%"
"05/15/2025","4,200","4,200","4,200","4,200","16.52K","0.00%"
"05/14/2025","4,200","4,200","4,200","4,200","3.00K","0.00%"
"05/13/2025","4,200","4,210","4,210","4,200","10.51K","-0.24%"
"05/12/2025","4,210","4,200","4,210","4,200","6.99K","0.24%"
"05/09/2025","4,200","4,195","4,200","4,195","12.76K","0.12%"
"05/08/2025","4,195","4,200","4,200","4,195","9.40K","-0.12%"
"05/07/2025","4,200","4,170","4,200","4,170","2.24K","0.72%"
"05/06/2025","4,170","4,200","4,200","4,170","3.26K","-0.71%"
"05/05/2025","4,200","4,200","4,200","4,200","6.05K","0.00%"
"05/02/2025","4,200","4,150","4,200","4,150","21.51K","1.20%"
"04/30/2025","4,150","4,150","4,150","4,150","1.54K","0.00%"
"04/29/2025","4,150","4,200","4,200","4,150","5.15K","-1.19%"
"04/28/2025","4,200","4,260","4,260","4,200","21.96K","-1.41%"
"04/25/2025","4,260","4,250","4,260","4,250","2.84K","0.24%"
"04/24/2025","4,250","4,300","4,300","4,250","3.27K","-1.16%"
"04/23/2025","4,300","4,265","4,300","4,265","13.48K","0.82%"
"04/22/2025","4,265","4,210","4,265","4,210","157.98K","1.31%"
"04/18/2025","4,210","4,265","4,265","4,210","5.23K","-1.29%"
"04/17/2025","4,265","4,255","4,265","4,255","2.91K","0.24%"
"04/16/2025","4,255","4,200","4,255","4,200","3.47K","1.31%"
"04/15/2025","4,200","4,100","4,200","4,100","12.01K","2.44%"
"04/14/2025","4,100","4,100","4,100","4,100","5.11K","0.00%"
"04/11/2025","4,100","4,270","4,270","4,100","7.28K","-3.98%"
"04/10/2025","4,270","4,280","4,280","4,270","5.43K","-0.23%"
"04/09/2025","4,280","4,280","4,280","4,280","2.99K","0.00%"
"04/08/2025","4,280","4,245","4,280","4,245","4.73K","0.82%"
"04/07/2025","4,245","4,105","4,245","4,105","7.61K","3.41%"
"04/04/2025","4,105","3,950","4,105","3,950","9.62K","3.92%"
"04/03/2025","3,950","3,930","3,950","3,930","1.07K","0.51%"
"04/02/2025","3,930","3,935","3,935","3,930","3.66K","-0.13%"
"04/01/2025","3,935","3,950","3,950","3,935","3.60K","-0.38%"
"03/28/2025","3,950","3,995","3,995","3,950","4.04K","-1.13%"
"03/26/2025","3,995","3,950","3,995","3,950","3.33K","1.14%"
"03/25/2025","3,950","4,025","4,025","3,950","3.19K","-1.86%"
"03/24/2025","4,025","3,995","4,025","3,995","7.82K","0.75%"
"03/21/2025","3,995","3,720","3,995","3,720","9.92K","7.39%"
"03/20/2025","3,720","3,465","3,720","3,465","13.62K","7.36%"
"03/19/2025","3,465","3,465","3,465","3,465","7.72K","0.00%"
"03/18/2025","3,465","3,400","3,465","3,400","2.61K","1.91%"
"03/17/2025","3,400","3,405","3,405","3,400","1.38K","-0.15%"
"03/14/2025","3,405","3,405","3,405","3,405","1.43K","0.00%"
"03/13/2025","3,405","3,300","3,405","3,300","15.68K","3.18%"
"03/12/2025","3,300","3,300","3,300","3,300","1.44K","0.00%"
"03/11/2025","3,300","3,350","3,350","3,300","6.45K","-1.49%"
"03/10/2025","3,350","3,400","3,400","3,350","1.97K","-1.47%"
"03/07/2025","3,400","3,290","3,400","3,290","4.00K","3.34%"
"03/06/2025","3,290","3,260","3,290","3,260","1.31K","0.92%"
"03/05/2025","3,260","3,045","3,260","3,045","1.43K","7.06%"
"03/04/2025","3,045","2,930","3,045","2,930","9.92K","3.92%"
"03/03/2025","2,930","2,945","2,945","2,930","3.42K","-0.51%"
"02/28/2025","2,945","2,920","2,945","2,920","1.55K","0.86%"
"02/27/2025","2,920","2,885","2,920","2,885","2.54K","1.21%"
"02/26/2025","2,885","2,805","2,885","2,805","1.79K","2.85%"
"02/25/2025","2,805","2,780","2,805","2,780","2.02K","0.90%"
"02/24/2025","2,780","2,780","2,780","2,780","1.46K","0.00%"
"02/21/2025","2,780","2,780","2,780","2,780","4.33K","0.00%"
"02/20/2025","2,780","2,705","2,780","2,705","1.69K","2.77%"
"02/19/2025","2,705","2,750","2,750","2,705","0.59K","-1.64%"
"02/18/2025","2,750","2,800","2,800","2,750","3.78K","-1.79%"
"02/17/2025","2,800","2,800","2,800","2,800","0.42K","0.00%"
"02/14/2025","2,800","2,800","2,800","2,800","8.24K","0.00%"
"02/13/2025","2,800","2,700","2,800","2,700","4.05K","3.70%"
"02/12/2025","2,700","2,550","2,700","2,550","5.37K","5.88%"
"02/11/2025","2,550","2,700","2,700","2,550","12.90K","-5.56%"
"02/10/2025","2,700","2,700","2,700","2,700","7.98K","0.00%"
"02/07/2025","2,700","2,700","2,700","2,700","3.22K","0.00%"
"02/06/2025","2,700","2,700","2,700","2,700","9.16K","0.00%"
"02/05/2025","2,700","2,700","2,700","2,700","0.71K","0.00%"
"02/04/2025","2,700","2,740","2,740","2,700","1.19K","-1.46%"
"02/03/2025","2,740","2,725","2,740","2,725","0.69K","0.55%"
"01/31/2025","2,725","2,730","2,730","2,725","0.28K","-0.18%"
"01/30/2025","2,730","2,740","2,740","2,730","3.19K","-0.36%"
"01/29/2025","2,740","2,750","2,750","2,740","3.37K","-0.36%"
"01/28/2025","2,750","2,800","2,800","2,750","2.12K","-1.79%"
"01/27/2025","2,800","2,850","2,850","2,800","0.22K","-1.75%"
"01/24/2025","2,850","2,675","2,850","2,675","0.36K","6.54%"
"01/23/2025","2,675","2,890","2,890","2,675","4.22K","-7.44%"
"01/22/2025","2,890","2,900","2,900","2,890","2.41K","-0.34%"
"01/21/2025","2,900","2,900","2,900","2,900","5.28K","0.00%"
"01/20/2025","2,900","3,000","3,000","2,900","2.35K","-3.33%"
"01/17/2025","3,000","2,900","3,000","2,900","5.66K","3.45%"
"01/16/2025","2,900","2,900","2,900","2,900","1.96K","0.00%"
"01/15/2025","2,900","2,900","2,900","2,900","1.72K","0.00%"
"01/14/2025","2,900","2,925","2,925","2,900","1.32K","-0.85%"
"01/13/2025","2,925","2,940","2,940","2,925","0.37K","-0.51%"
"01/10/2025","2,940","2,905","2,940","2,905","1.06K","1.20%"
"01/09/2025","2,905","2,940","2,940","2,905","1.23K","-1.19%"
"01/08/2025","2,940","2,950","2,950","2,940","1.28K","-0.34%"
"01/07/2025","2,950","3,100","3,100","2,950","8.19K","-4.84%"
"01/06/2025","3,100","3,150","3,150","3,100","0.43K","-1.59%"
"01/03/2025","3,150","3,100","3,150","3,100","0.06K","0.00%"
"01/02/2025","3,150","3,150","3,150","3,100","0.06K","0.00%"
"12/31/2024","3,150","3,150","3,150","3,150","0.89K","0.00%"
"12/30/2024","3,150","3,170","3,170","3,150","1.01K","-0.63%"
"12/27/2024","3,170","3,200","3,200","3,170","1.48K","-0.94%"
"12/26/2024","3,200","3,300","3,300","3,200","1.09K","-3.03%"
"12/24/2024","3,300","3,290","3,300","3,290","2.55K","0.30%"
"12/23/2024","3,290","3,190","3,290","3,190","16.21K","3.13%"
"12/20/2024","3,190","3,205","3,205","3,190","8.32K","-0.47%"
"12/19/2024","3,205","3,300","3,300","3,205","6.51K","-2.88%"
"12/18/2024","3,300","3,300","3,300","3,300","1.00K","0.00%"
"12/17/2024","3,300","3,300","3,300","3,300","1.08K","0.00%"
"12/16/2024","3,300","3,395","3,395","3,300","17.21K","-2.80%"
"12/13/2024","3,395","3,200","3,395","3,200","2.58K","6.09%"
"12/12/2024","3,200","3,200","3,200","3,200","1.83K","0.00%"
"12/11/2024","3,200","3,200","3,200","3,200","0.98K","0.00%"
"12/10/2024","3,200","3,180","3,200","3,180","3.37K","0.63%"
"12/09/2024","3,180","3,400","3,400","3,180","5.34K","-6.47%"
