"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","1,200","1,285","1,285","1,200","1.25K","-6.61%"
"06/04/2025","1,285","1,210","1,285","1,210","0.49K","6.20%"
"06/03/2025","1,210","1,190","1,210","1,190","0.27K","1.68%"
"06/02/2025","1,190","1,200","1,200","1,190","2.52K","-0.83%"
"05/30/2025","1,200","1,200","1,200","1,200","0.70K","0.00%"
"05/28/2025","1,200","1,295","1,295","1,200","3.89K","-7.34%"
"05/27/2025","1,295","1,400","1,400","1,295","10.45K","-7.50%"
"05/26/2025","1,400","1,350","1,400","1,350","2.82K","3.70%"
"05/23/2025","1,350","1,300","1,350","1,300","5.72K","3.85%"
"05/22/2025","1,300","1,360","1,360","1,300","34.71K","-4.41%"
"05/21/2025","1,360","1,320","1,360","1,320","2.85K","3.03%"
"05/20/2025","1,320","1,310","1,320","1,310","1.84K","0.76%"
"05/19/2025","1,310","1,225","1,310","1,225","0.10K","6.94%"
"05/16/2025","1,225","1,320","1,320","1,225","3.98K","-7.20%"
"05/15/2025","1,320","1,350","1,350","1,320","0.27K","-2.22%"
"05/14/2025","1,350","1,330","1,350","1,330","1.00K","1.50%"
"05/13/2025","1,330","1,330","1,330","1,330","0.14K","0.00%"
"05/12/2025","1,330","1,300","1,330","1,300","0.19K","2.31%"
"05/09/2025","1,300","1,300","1,300","1,300","3.37K","0.00%"
"05/08/2025","1,300","1,330","1,330","1,300","0.85K","-2.26%"
"05/07/2025","1,330","1,330","1,330","1,330","1.03K","0.00%"
"05/06/2025","1,330","1,350","1,350","1,330","1.18K","-1.48%"
"05/05/2025","1,350","1,375","1,375","1,350","1.91K","-1.82%"
"05/02/2025","1,375","1,380","1,380","1,375","1.08K","-0.36%"
"04/30/2025","1,380","1,325","1,380","1,325","13.49K","4.15%"
"04/29/2025","1,325","1,270","1,325","1,270","0.03K","4.33%"
"04/28/2025","1,270","1,350","1,350","1,270","1.32K","-5.93%"
"04/25/2025","1,350","1,385","1,385","1,350","2.21K","-2.53%"
"04/24/2025","1,385","1,380","1,385","1,380","0.32K","0.36%"
"04/23/2025","1,380","1,350","1,380","1,350","1.02K","2.22%"
"04/22/2025","1,350","1,350","1,350","1,350","0.08K","0.00%"
"04/18/2025","1,350","1,350","1,350","1,350","0.76K","0.00%"
"04/17/2025","1,350","1,375","1,375","1,350","0.04K","-1.82%"
"04/16/2025","1,375","1,340","1,375","1,340","4.14K","2.61%"
"04/15/2025","1,340","1,375","1,375","1,340","0.47K","-2.55%"
"04/14/2025","1,375","1,310","1,375","1,310","25.18K","4.96%"
"04/11/2025","1,310","1,300","1,310","1,300","0.63K","0.77%"
"04/10/2025","1,300","1,240","1,300","1,240","13.67K","4.84%"
"04/09/2025","1,240","1,300","1,300","1,240","14.49K","-4.62%"
"04/08/2025","1,300","1,300","1,300","1,300","0.39K","0.00%"
"04/07/2025","1,300","1,245","1,300","1,245","3.51K","4.42%"
"04/04/2025","1,245","1,235","1,245","1,235","0.09K","0.81%"
"04/03/2025","1,235","1,240","1,240","1,235","0.95K","-0.40%"
"04/02/2025","1,240","1,340","1,340","1,240","23.34K","-7.46%"
"04/01/2025","1,340","1,340","1,340","1,340","0.48K","0.00%"
"03/28/2025","1,340","1,255","1,340","1,255","11.82K","6.77%"
"03/26/2025","1,255","1,355","1,355","1,255","1.18K","-7.38%"
"03/25/2025","1,355","1,365","1,365","1,355","0.62K","-0.73%"
"03/24/2025","1,365","1,395","1,395","1,365","0.56K","-2.15%"
"03/21/2025","1,395","1,375","1,395","1,375","0.57K","1.45%"
"03/20/2025","1,375","1,395","1,395","1,375","2.56K","-1.43%"
"03/19/2025","1,395","1,395","1,395","1,395","6.72K","0.00%"
"03/18/2025","1,395","1,325","1,395","1,325","15.18K","5.28%"
"03/17/2025","1,325","1,235","1,325","1,235","8.39K","7.29%"
"03/14/2025","1,235","1,150","1,235","1,150","16.69K","7.39%"
"03/13/2025","1,150","1,185","1,185","1,150","2.07K","-2.95%"
"03/12/2025","1,185","1,200","1,200","1,185","0.17K","-1.25%"
"03/11/2025","1,200","1,200","1,200","1,200","0.06K","0.00%"
"03/10/2025","1,200","1,170","1,200","1,170","0.06K","2.56%"
"03/07/2025","1,170","1,170","1,170","1,170","4.45K","0.00%"
"03/06/2025","1,170","1,200","1,200","1,170","1.16K","-2.50%"
"03/05/2025","1,200","1,195","1,200","1,195","8.40K","0.42%"
"03/04/2025","1,195","1,200","1,200","1,195","0.79K","-0.42%"
"03/03/2025","1,200","1,170","1,200","1,170","0.05K","2.56%"
"02/28/2025","1,170","1,170","1,170","1,170","1.01K","0.00%"
"02/27/2025","1,170","1,150","1,170","1,150","0.05K","1.74%"
"02/26/2025","1,150","1,115","1,150","1,115","0.06K","3.14%"
"02/25/2025","1,115","1,120","1,120","1,115","0.35K","-0.45%"
"02/24/2025","1,120","1,120","1,120","1,120","0.36K","0.00%"
"02/21/2025","1,120","1,080","1,120","1,080","0.81K","3.70%"
"02/20/2025","1,080","1,080","1,080","1,080","0.18K","0.00%"
"02/19/2025","1,080","1,095","1,095","1,080","3.57K","-1.37%"
"02/18/2025","1,095","1,110","1,110","1,095","0.20K","-1.35%"
"02/17/2025","1,110","1,120","1,120","1,110","0.70K","-0.89%"
"02/14/2025","1,120","1,120","1,120","1,120","0.51K","0.00%"
"02/13/2025","1,120","1,120","1,120","1,120","0.13K","0.00%"
"02/12/2025","1,120","1,120","1,120","1,120","0.63K","0.00%"
"02/11/2025","1,120","1,120","1,120","1,120","0.51K","0.00%"
"02/10/2025","1,120","1,120","1,120","1,120","0.53K","0.00%"
"02/07/2025","1,120","1,110","1,120","1,110","0.72K","0.90%"
"02/06/2025","1,110","1,100","1,110","1,100","0.04K","0.91%"
"02/05/2025","1,100","1,100","1,100","1,100","0.05K","0.00%"
"02/03/2025","1,100","1,100","1,100","1,100","0.03K","0.00%"
"01/31/2025","1,100","1,050","1,100","1,050","0.02K","4.76%"
"01/30/2025","1,050","1,100","1,100","1,050","0.01K","-4.55%"
"01/29/2025","1,100","1,110","1,110","1,100","0.55K","-0.90%"
"01/28/2025","1,110","1,110","1,110","1,110","0.03K","0.00%"
"01/27/2025","1,110","1,050","1,110","1,050","0.05K","5.71%"
"01/24/2025","1,050","1,050","1,050","1,050","0.01K","0.00%"
"01/23/2025","1,050","1,050","1,050","1,050","0.31K","0.00%"
"01/22/2025","1,050","1,115","1,115","1,050","0.04K","-5.83%"
"01/21/2025","1,115","1,115","1,115","1,115","0.00K","0.00%"
"01/20/2025","1,115","1,040","1,115","1,040","2.65K","7.21%"
"01/17/2025","1,040","1,030","1,040","1,030","2.03K","0.97%"
"01/16/2025","1,030","1,040","1,040","1,030","0.24K","-0.96%"
"01/15/2025","1,040","1,035","1,040","1,035","0.90K","0.48%"
"01/14/2025","1,035","1,030","1,035","1,030","0.32K","0.49%"
"01/13/2025","1,030","1,040","1,040","1,030","1.96K","-0.96%"
"01/10/2025","1,040","1,040","1,040","1,040","0.15K","0.00%"
"01/09/2025","1,040","1,080","1,080","1,040","0.51K","-3.70%"
"01/08/2025","1,080","1,080","1,080","1,080","0.96K","0.00%"
"01/07/2025","1,080","1,095","1,095","1,080","0.19K","-1.37%"
"01/06/2025","1,095","1,040","1,095","1,040","0.31K","5.29%"
"01/03/2025","1,040","1,040","1,040","1,040","0.74K","0.00%"
"01/02/2025","1,040","1,040","1,040","1,040","0.07K","0.00%"
"12/31/2024","1,040","1,060","1,060","1,040","1.46K","-1.89%"
"12/30/2024","1,060","1,140","1,140","1,060","0.52K","-7.02%"
"12/27/2024","1,140","1,145","1,145","1,140","0.00K","-0.44%"
"12/26/2024","1,145","1,145","1,145","1,145","0.70K","0.00%"
"12/24/2024","1,145","1,155","1,155","1,145","0.89K","-0.87%"
"12/23/2024","1,155","1,155","1,155","1,155","1.70K","0.00%"
"12/20/2024","1,155","1,160","1,160","1,155","0.23K","-0.43%"
"12/19/2024","1,160","1,145","1,160","1,145","4.44K","1.31%"
"12/18/2024","1,145","1,095","1,145","1,095","0.21K","4.57%"
"12/17/2024","1,095","1,095","1,095","1,095","0.12K","0.00%"
"12/16/2024","1,095","1,020","1,095","1,020","0.10K","7.35%"
"12/13/2024","1,020","1,095","1,095","1,020","1.14K","-6.85%"
"12/12/2024","1,095","1,050","1,095","1,050","0.27K","4.29%"
"12/11/2024","1,050","1,050","1,050","1,050","0.11K","0.00%"
"12/10/2024","1,050","1,100","1,100","1,050","0.17K","-4.55%"
"12/09/2024","1,100","1,150","1,150","1,100","2.84K","-4.35%"
"12/06/2024","1,150","1,150","1,150","1,150","0.02K","0.00%"
"12/05/2024","1,150","1,155","1,155","1,150","5.44K","-0.43%"
"12/04/2024","1,155","1,160","1,160","1,155","0.10K","-0.43%"
"12/03/2024","1,160","1,170","1,170","1,160","0.29K","-0.85%"
"12/02/2024","1,170","1,100","1,170","1,100","0.97K","6.36%"
"11/29/2024","1,100","1,100","1,100","1,100","0.87K","0.00%"
"11/28/2024","1,100","1,060","1,100","1,060","1.03K","3.77%"
"11/27/2024","1,060","1,000","1,060","1,000","0.08K","6.00%"
"11/26/2024","1,000","1,070","1,070","1,000","0.11K","-6.54%"
"11/25/2024","1,070","1,080","1,080","1,070","0.01K","-0.93%"
"11/22/2024","1,080","1,080","1,080","1,080","0.05K","0.00%"
"11/21/2024","1,080","1,080","1,080","1,080","0.02K","0.00%"
"11/20/2024","1,080","1,050","1,080","1,050","2.52K","2.86%"
"11/19/2024","1,050","1,020","1,050","1,020","5.07K","2.94%"
"11/18/2024","1,020","1,090","1,090","1,020","1.76K","-6.42%"
"11/14/2024","1,090","1,095","1,095","1,090","0.01K","-0.46%"
"11/13/2024","1,095","1,025","1,095","1,025","0.25K","6.83%"
"11/12/2024","1,025","1,095","1,095","1,025","0.10K","-6.39%"
"11/11/2024","1,095","1,095","1,095","1,095","0.10K","0.00%"
"11/08/2024","1,095","1,095","1,095","1,095","0.47K","0.00%"
"11/07/2024","1,095","1,095","1,095","1,095","0.16K","0.00%"
"11/06/2024","1,095","1,020","1,095","1,020","0.11K","7.35%"
"11/05/2024","1,020","1,100","1,100","1,020","0.08K","-7.27%"
"11/04/2024","1,100","1,100","1,100","1,100","0.29K","0.00%"
"10/31/2024","1,100","1,100","1,100","1,100","0.76K","0.00%"
"10/30/2024","1,100","1,100","1,100","1,100","0.25K","0.00%"
"10/29/2024","1,100","1,095","1,100","1,095","0.29K","0.46%"
"10/28/2024","1,095","1,020","1,095","1,020","0.63K","7.35%"
"10/25/2024","1,020","1,015","1,020","1,015","3.93K","0.49%"
"10/24/2024","1,015","1,040","1,040","1,015","35.09K","-2.40%"
"10/23/2024","1,040","1,015","1,040","1,015","0.03K","2.46%"
"10/22/2024","1,015","1,015","1,015","1,015","0.04K","0.00%"
"10/21/2024","1,015","1,015","1,015","1,015","0.19K","0.00%"
"10/18/2024","1,015","1,040","1,040","1,015","0.63K","-2.40%"
"10/17/2024","1,040","990","1,040","990","0.93K","5.05%"
"10/16/2024","990","1,050","1,050","990","0.15K","-5.71%"
"10/15/2024","1,050","990","1,050","990","0.74K","6.06%"
"10/14/2024","990","980","990","980","0.32K","1.02%"
"10/11/2024","980","1,000","1,000","980","0.09K","-2.00%"
"10/10/2024","1,000","1,050","1,050","1,000","5.42K","-4.76%"
"10/09/2024","1,050","1,050","1,050","1,050","0.17K","0.00%"
"10/08/2024","1,050","1,030","1,050","1,030","1.21K","1.94%"
"10/07/2024","1,030","1,030","1,030","1,030","0.42K","0.00%"
"10/04/2024","1,030","1,025","1,030","1,025","0.37K","0.49%"
"10/03/2024","1,025","1,025","1,025","1,025","2.09K","0.00%"
"10/02/2024","1,025","955","1,025","955","0.14K","7.33%"
"10/01/2024","955","1,020","1,020","955","0.41K","-6.37%"
"09/30/2024","1,020","1,020","1,020","1,020","0.02K","0.00%"
"09/27/2024","1,020","1,025","1,025","1,020","0.22K","-0.49%"
"09/26/2024","1,025","1,020","1,025","1,020","0.30K","0.49%"
"09/25/2024","1,020","1,010","1,020","1,010","0.93K","0.99%"
"09/24/2024","1,010","950","1,010","950","0.50K","6.32%"
"09/23/2024","950","995","995","950","6.19K","-4.52%"
"09/20/2024","995","990","995","990","0.09K","0.51%"
"09/19/2024","990","975","990","975","0.85K","1.54%"
"09/18/2024","975","985","985","975","5.28K","-1.02%"
"09/17/2024","985","980","985","980","0.19K","0.51%"
"09/16/2024","980","980","980","980","11.88K","0.00%"
"09/13/2024","980","1,030","1,030","980","0.92K","-4.85%"
"09/12/2024","1,030","1,035","1,035","1,030","0.01K","-0.48%"
"09/11/2024","1,035","975","1,035","975","1.26K","6.15%"
"09/10/2024","975","1,050","1,050","975","3.79K","-7.14%"
"09/09/2024","1,050","995","1,050","995","0.31K","5.53%"
"09/06/2024","995","995","995","995","0.43K","0.00%"
"09/05/2024","995","995","995","995","4.12K","1.53%"
"09/04/2024","980","980","980","980","0.35K","3.16%"
"09/03/2024","950","950","950","950","13.67K","-3.06%"
"09/02/2024","980","980","980","980","1.33K","0.00%"
"08/30/2024","980","980","980","980","1.70K","-1.01%"
"08/29/2024","990","990","990","990","0.02K","0.00%"
"08/28/2024","990","990","990","990","13.88K","0.51%"
"08/27/2024","985","985","985","985","0.48K","-1.01%"
"08/26/2024","995","995","995","995","0.25K","0.00%"
"08/23/2024","995","995","995","995","1.12K","0.00%"
"08/22/2024","995","995","995","995","0.24K","-0.50%"
"08/21/2024","1,000","1,000","1,000","1,000","1.01K","0.00%"
"08/20/2024","1,000","1,000","1,000","1,000","0.08K","0.00%"
"08/19/2024","1,000","1,000","1,000","1,000","0.35K","2.04%"
"08/16/2024","980","980","980","980","0.24K","0.00%"
"08/14/2024","980","980","980","980","0.50K","0.00%"
"08/13/2024","980","980","980","980","0.38K","0.00%"
"08/12/2024","980","980","980","980","0.77K","0.00%"
"08/09/2024","980","980","980","980","0.44K","-2.00%"
"08/08/2024","1,000","1,000","1,000","1,000","1.17K","0.00%"
"08/06/2024","1,000","1,000","1,000","1,000","0.21K","2.04%"
"08/05/2024","980","980","980","980","0.29K","0.00%"
"08/02/2024","980","980","980","980","0.70K","2.62%"
"08/01/2024","955","955","955","955","1.01K","-6.83%"
"07/31/2024","1,025","1,025","1,025","1,025","5.24K","7.33%"
"07/30/2024","955","955","955","955","2.48K","0.53%"
"07/29/2024","950","950","950","950","0.83K","-1.04%"
"07/26/2024","960","960","960","960","0.44K","0.00%"
"07/25/2024","960","960","960","960","2.74K","0.00%"
"07/24/2024","960","960","960","960","2.32K","0.00%"
"07/23/2024","960","960","960","960","1.21K","1.59%"
"07/22/2024","945","945","945","945","1.52K","-0.53%"
"07/19/2024","950","950","950","950","1.04K","-1.04%"
"07/18/2024","960","960","960","960","0.62K","-1.03%"
"07/17/2024","970","970","970","970","0.59K","-1.02%"
"07/16/2024","980","980","980","980","0.39K","0.00%"
"07/15/2024","980","980","980","980","16.15K","0.00%"
"07/12/2024","980","980","980","980","0.26K","0.00%"
"07/11/2024","980","980","980","980","2.49K","-1.01%"
"07/10/2024","990","990","990","990","0.57K","-4.81%"
"07/09/2024","1,040","1,040","1,040","1,040","6.17K","4.00%"
"07/08/2024","1,000","1,000","1,000","1,000","0.05K","-4.76%"
"07/05/2024","1,050","1,050","1,050","1,050","0.80K","-0.94%"
"07/04/2024","1,060","1,060","1,060","1,060","0.80K","0.00%"
"07/03/2024","1,060","1,060","1,060","1,060","0.22K","0.00%"
"07/02/2024","1,060","1,060","1,060","1,060","0.37K","-1.40%"
"07/01/2024","1,075","1,075","1,075","1,075","2.27K","1.42%"
"06/28/2024","1,060","1,060","1,060","1,060","0.13K","7.07%"
"06/27/2024","990","990","990","990","0.28K","0.00%"
"06/26/2024","990","990","990","990","0.12K","-6.60%"
"06/25/2024","1,060","1,060","1,060","1,060","0.27K","0.00%"
"06/24/2024","1,060","1,060","1,060","1,060","0.21K","7.07%"
"06/21/2024","990","990","990","990","0.10K","-7.04%"
"06/20/2024","1,065","1,065","1,065","1,065","0.39K","0.00%"
"06/19/2024","1,065","1,065","1,065","1,065","0.33K","6.50%"
"06/18/2024","1,000","1,000","1,000","1,000","0.04K","1.01%"
"06/14/2024","990","990","990","990","0.00K","-5.71%"
"06/13/2024","1,050","1,050","1,050","1,050","20.10K","2.94%"
"06/12/2024","1,020","1,020","1,020","1,020","0.03K","0.00%"
"06/11/2024","1,020","1,020","1,020","1,020","0.35K","0.00%"
"06/10/2024","1,020","1,020","1,020","1,020","0.25K","0.00%"
"06/07/2024","1,020","1,020","1,020","1,020","0.01K","0.00%"
"06/06/2024","1,020","1,020","1,020","1,020","0.16K","0.00%"
"06/05/2024","1,020","1,020","1,020","1,020","0.02K","0.00%"
"06/04/2024","1,020","1,020","1,020","1,020","0.07K","4.08%"
"05/31/2024","980","980","980","980","0.21K","0.00%"
"05/30/2024","980","980","980","980","0.17K","0.00%"
"05/29/2024","980","980","980","980","0.76K","-2.00%"
"05/28/2024","1,000","1,000","1,000","1,000","0.01K","-5.21%"
"05/27/2024","1,055","1,055","1,055","1,055","0.16K","5.50%"
"05/24/2024","1,000","1,000","1,000","1,000","0.54K","-4.76%"
"05/23/2024","1,050","1,050","1,050","1,050","0.00K","5.00%"
"05/22/2024","1,000","1,000","1,000","1,000","0.49K","0.00%"
"05/21/2024","1,000","1,000","1,000","1,000","0.19K","-5.21%"
"05/17/2024","1,055","1,055","1,055","1,055","0.03K","0.00%"
"05/16/2024","1,055","1,055","1,055","1,055","0.21K","7.11%"
"05/15/2024","985","985","985","985","0.00K","-6.64%"
"05/14/2024","1,055","1,055","1,055","1,055","0.06K","7.11%"
"05/13/2024","985","985","985","985","3.42K","-7.08%"
"05/10/2024","1,060","1,060","1,060","1,060","3.27K","7.07%"
"05/08/2024","990","990","990","990","0.01K","7.03%"
"05/07/2024","925","925","925","925","0.51K","-7.50%"
"05/06/2024","1,000","1,000","1,000","1,000","0.18K","0.00%"
"05/02/2024","1,000","1,000","1,000","1,000","1.29K","0.50%"
"04/30/2024","995","995","995","995","1.55K","-1.49%"
"04/29/2024","1,010","1,010","1,010","1,010","0.34K","-7.34%"
"04/26/2024","1,090","1,090","1,090","1,090","0.13K","-4.39%"
"04/25/2024","1,140","1,140","1,140","1,140","0.06K","4.59%"
"04/24/2024","1,090","1,090","1,090","1,090","0.09K","-0.91%"
"04/23/2024","1,100","1,100","1,100","1,100","1.30K","-2.22%"
"04/22/2024","1,125","1,125","1,125","1,125","0.02K","0.00%"
"04/19/2024","1,125","1,125","1,125","1,125","0.18K","4.17%"
"04/18/2024","1,080","1,080","1,080","1,080","0.12K","-0.92%"
"04/17/2024","1,090","1,090","1,090","1,090","6.04K","0.00%"
"04/16/2024","1,090","1,090","1,090","1,090","0.16K","-0.46%"
"04/15/2024","1,095","1,095","1,095","1,095","0.01K","-2.23%"
"04/12/2024","1,120","1,120","1,120","1,120","0.56K","1.82%"
"04/11/2024","1,100","1,100","1,100","1,100","0.74K","-5.17%"
"04/09/2024","1,160","1,160","1,160","1,160","0.00K","5.45%"
"04/08/2024","1,100","1,100","1,100","1,100","1.55K","0.00%"
"04/05/2024","1,100","1,100","1,100","1,100","0.25K","-2.65%"
"04/04/2024","1,130","1,130","1,130","1,130","0.99K","0.00%"
"04/03/2024","1,130","1,130","1,130","1,130","0.44K","6.10%"
"04/02/2024","1,065","1,065","1,065","1,065","0.15K","-6.58%"
"03/29/2024","1,140","1,140","1,140","1,140","0.09K","1.79%"
"03/28/2024","1,120","1,120","1,120","1,120","1.06K","-1.75%"
"03/27/2024","1,140","1,140","1,140","1,140","0.03K","0.00%"
"03/26/2024","1,140","1,140","1,140","1,140","0.14K","-1.72%"
"03/25/2024","1,160","1,160","1,160","1,160","1.50K","7.41%"
"03/22/2024","1,080","1,080","1,080","1,080","0.56K","0.00%"
"03/21/2024","1,080","1,080","1,080","1,080","2.11K","5.37%"
"03/20/2024","1,025","1,025","1,025","1,025","0.42K","0.99%"
"03/18/2024","1,015","1,015","1,015","1,015","0.02K","0.00%"
"03/15/2024","1,015","1,015","1,015","1,015","4.80K","0.00%"
"03/13/2024","1,015","1,015","1,015","1,015","0.16K","0.50%"
"03/12/2024","1,010","1,010","1,010","1,010","1.08K","-5.16%"
"03/11/2024","1,065","1,065","1,065","1,065","0.40K","5.45%"
"03/08/2024","1,010","1,010","1,010","1,010","0.06K","-0.49%"
"03/07/2024","1,015","1,015","1,015","1,015","0.12K","0.00%"
"03/06/2024","1,015","1,015","1,015","1,015","0.78K","-4.25%"
"03/04/2024","1,060","1,060","1,060","1,060","0.17K","7.07%"
"02/29/2024","990","990","990","990","0.01K","0.00%"
"02/28/2024","990","990","990","990","0.45K","-2.94%"
"02/27/2024","1,020","1,020","1,020","1,020","0.34K","-7.27%"
"02/26/2024","1,100","1,100","1,100","1,100","0.14K","0.00%"
"02/23/2024","1,100","1,100","1,100","1,100","0.01K","0.00%"
"02/22/2024","1,100","1,100","1,100","1,100","0.35K","0.00%"
"02/21/2024","1,100","1,100","1,100","1,100","0.37K","6.28%"
"02/20/2024","1,035","1,035","1,035","1,035","0.56K","-7.17%"
"02/19/2024","1,115","1,115","1,115","1,115","0.80K","1.36%"
"02/16/2024","1,100","1,100","1,100","1,100","0.02K","0.00%"
"02/15/2024","1,100","1,100","1,100","1,100","0.00K","0.46%"
"02/14/2024","1,095","1,095","1,095","1,095","0.22K","7.35%"
"02/13/2024","1,020","1,020","1,020","1,020","1.16K","4.08%"
"02/08/2024","980","980","980","980","0.20K","-6.67%"
