"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","10,000.00","10,445.00","10,445.00","10,000.00","0.21K","-4.26%"
"06/04/2025","10,445.00","10,495.00","10,495.00","10,445.00","1.17K","-0.48%"
"06/03/2025","10,495.00","10,100.00","10,495.00","10,100.00","1.14K","3.91%"
"06/02/2025","10,100.00","10,100.00","10,100.00","10,100.00","0.23K","0.00%"
"05/30/2025","10,100.00","10,000.00","10,100.00","10,000.00","2.05K","1.00%"
"05/28/2025","10,000.00","10,185.00","10,185.00","10,000.00","0.73K","-1.82%"
"05/27/2025","10,185.00","10,185.00","10,185.00","10,185.00","0.24K","0.00%"
"05/26/2025","10,185.00","9,800.00","10,185.00","9,800.00","0.31K","3.93%"
"05/23/2025","9,800.00","10,420.00","10,420.00","9,800.00","1.92K","-5.95%"
"05/22/2025","10,420.00","10,445.00","10,445.00","10,420.00","1.14K","-0.24%"
"05/21/2025","10,445.00","10,465.00","10,465.00","10,445.00","0.04K","-0.19%"
"05/20/2025","10,465.00","10,000.00","10,465.00","10,000.00","4.09K","4.65%"
"05/19/2025","10,000.00","10,570.00","10,570.00","10,000.00","0.12K","-5.39%"
"05/16/2025","10,570.00","9,855.00","10,570.00","9,855.00","1.10K","7.26%"
"05/15/2025","9,855.00","9,800.00","9,855.00","9,800.00","0.61K","0.56%"
"05/14/2025","9,800.00","9,700.00","9,800.00","9,700.00","3.48K","1.03%"
"05/13/2025","9,700.00","9,595.00","9,700.00","9,595.00","3.13K","1.09%"
"05/12/2025","9,595.00","9,800.00","9,800.00","9,595.00","0.22K","-2.09%"
"05/09/2025","9,800.00","9,800.00","9,800.00","9,800.00","0.31K","0.00%"
"05/08/2025","9,800.00","9,800.00","9,800.00","9,800.00","0.29K","0.00%"
"05/07/2025","9,800.00","9,595.00","9,800.00","9,595.00","0.49K","2.14%"
"05/06/2025","9,595.00","9,400.00","9,595.00","9,400.00","0.85K","2.07%"
"05/05/2025","9,400.00","9,700.00","9,700.00","9,400.00","2.23K","-3.09%"
"05/02/2025","9,700.00","9,500.00","9,700.00","9,500.00","1.73K","2.11%"
"04/30/2025","9,500.00","9,800.00","9,800.00","9,500.00","0.31K","-3.06%"
"04/29/2025","9,800.00","9,855.00","9,855.00","9,800.00","3.37K","-0.56%"
"04/28/2025","9,855.00","10,650.00","10,650.00","9,855.00","1.62K","-7.46%"
"04/25/2025","10,650.00","10,650.00","10,650.00","10,650.00","0.46K","0.00%"
"04/24/2025","10,650.00","10,495.00","10,650.00","10,495.00","0.08K","1.48%"
"04/23/2025","10,495.00","10,500.00","10,500.00","10,495.00","0.31K","-0.05%"
"04/22/2025","10,500.00","10,400.00","10,500.00","10,400.00","2.36K","0.96%"
"04/18/2025","10,400.00","10,500.00","10,500.00","10,400.00","0.63K","-0.95%"
"04/17/2025","10,500.00","10,500.00","10,500.00","10,500.00","0.04K","0.00%"
"04/16/2025","10,500.00","10,360.00","10,500.00","10,360.00","0.36K","1.35%"
"04/15/2025","10,360.00","10,400.00","10,400.00","10,360.00","1.60K","-0.38%"
"04/14/2025","10,400.00","10,360.00","10,400.00","10,360.00","0.22K","0.39%"
"04/11/2025","10,360.00","10,400.00","10,400.00","10,360.00","0.15K","-0.38%"
"04/10/2025","10,400.00","10,595.00","10,595.00","10,400.00","0.77K","-1.84%"
"04/09/2025","10,595.00","10,350.00","10,595.00","10,350.00","5.07K","2.37%"
"04/08/2025","10,350.00","10,400.00","10,400.00","10,350.00","0.69K","-0.48%"
"04/07/2025","10,400.00","10,500.00","10,500.00","10,400.00","1.45K","-0.95%"
"04/04/2025","10,500.00","10,500.00","10,500.00","10,500.00","0.52K","0.00%"
"04/03/2025","10,500.00","10,800.00","10,800.00","10,500.00","0.62K","-2.78%"
"04/02/2025","10,800.00","10,500.00","10,800.00","10,500.00","5.08K","2.86%"
"04/01/2025","10,500.00","10,750.00","10,750.00","10,500.00","1.52K","-2.33%"
"03/28/2025","10,750.00","10,750.00","10,750.00","10,750.00","1.43K","0.00%"
"03/26/2025","10,750.00","11,390.00","11,390.00","10,750.00","2.07K","-5.62%"
"03/25/2025","11,390.00","11,480.00","11,480.00","11,390.00","0.51K","-0.78%"
"03/24/2025","11,480.00","11,495.00","11,495.00","11,480.00","0.93K","-0.13%"
"03/21/2025","11,495.00","11,500.00","11,500.00","11,495.00","0.27K","-0.04%"
