"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","650","655","655","650","2.55K","-0.76%"
"06/04/2025","655","655","655","655","2.31K","0.00%"
"06/03/2025","655","655","655","655","2.23K","0.00%"
"06/02/2025","655","660","660","655","1.07K","-0.76%"
"05/30/2025","660","665","665","660","0.73K","-0.75%"
"05/28/2025","665","655","665","655","0.99K","1.53%"
"05/27/2025","655","680","680","655","3.15K","-3.68%"
"05/26/2025","680","690","690","680","0.60K","-1.45%"
"05/23/2025","690","700","700","690","0.90K","-1.43%"
"05/22/2025","700","700","700","700","2.53K","0.00%"
"05/21/2025","700","690","700","690","9.29K","1.45%"
"05/20/2025","690","645","690","645","2.89K","6.98%"
"05/19/2025","645","600","645","600","2.85K","7.50%"
"05/16/2025","600","605","605","600","0.15K","-0.83%"
"05/15/2025","605","605","605","605","0.20K","0.00%"
"05/14/2025","605","605","605","605","4.09K","0.00%"
"05/13/2025","605","600","605","600","1.32K","0.83%"
"05/12/2025","600","605","605","600","10.69K","-0.83%"
"05/09/2025","605","600","605","600","4.01K","0.83%"
"05/08/2025","600","600","600","600","1.64K","0.00%"
"05/07/2025","600","565","600","565","1.33K","6.19%"
"05/06/2025","565","600","600","565","0.98K","-5.83%"
"05/05/2025","600","600","600","600","0.35K","0.00%"
"05/02/2025","600","600","600","600","7.16K","0.00%"
"04/30/2025","600","600","600","600","0.12K","0.00%"
"04/29/2025","600","600","600","600","10.42K","0.00%"
"04/28/2025","600","570","600","570","0.33K","5.26%"
"04/25/2025","570","610","610","570","0.36K","-6.56%"
"04/24/2025","610","600","610","600","0.99K","1.67%"
"04/23/2025","600","600","600","600","0.32K","0.00%"
"04/22/2025","600","610","610","600","0.03K","-1.64%"
"04/18/2025","610","610","610","610","0.01K","0.00%"
"04/17/2025","610","570","610","570","0.17K","7.02%"
"04/16/2025","570","610","610","570","4.03K","-6.56%"
"04/15/2025","610","610","610","610","0.13K","0.00%"
"04/14/2025","610","605","610","605","0.69K","0.83%"
"04/11/2025","605","605","605","605","10.29K","0.00%"
"04/10/2025","605","600","605","600","3.23K","0.83%"
"04/09/2025","600","605","605","600","0.64K","-0.83%"
"04/08/2025","605","610","610","605","0.63K","-0.82%"
"04/07/2025","610","575","610","575","0.13K","6.09%"
"04/04/2025","575","570","575","570","0.94K","0.88%"
"04/03/2025","570","610","610","570","0.39K","-6.56%"
"04/02/2025","610","615","615","610","0.12K","-0.81%"
"04/01/2025","615","615","615","615","0.17K","0.00%"
"03/28/2025","615","600","615","600","10.38K","2.50%"
"03/26/2025","600","605","605","600","0.24K","-0.83%"
"03/25/2025","605","605","605","605","0.16K","0.00%"
"03/24/2025","605","570","605","570","1.61K","6.14%"
"03/21/2025","570","610","610","570","0.31K","-6.56%"
"03/20/2025","610","610","610","610","0.09K","0.00%"
"03/19/2025","610","610","610","610","1.56K","0.00%"
"03/18/2025","610","600","610","600","3.97K","1.67%"
"03/17/2025","600","610","610","600","0.53K","-1.64%"
"03/14/2025","610","610","610","610","0.22K","0.00%"
"03/13/2025","610","610","610","610","0.22K","0.00%"
"03/12/2025","610","605","610","605","0.99K","0.83%"
"03/11/2025","605","605","605","605","0.06K","0.00%"
"03/10/2025","605","610","610","605","1.85K","-0.82%"
