"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","2,405","2,390","2,405","2,390","0.71K","0.63%"
"06/04/2025","2,390","2,440","2,440","2,390","1.93K","-2.05%"
"06/03/2025","2,440","2,395","2,440","2,395","3.84K","1.88%"
"06/02/2025","2,395","2,300","2,395","2,300","0.61K","4.13%"
"05/30/2025","2,300","2,220","2,300","2,220","1.80K","3.60%"
"05/28/2025","2,220","2,390","2,390","2,220","10.11K","-7.11%"
"05/27/2025","2,390","2,350","2,390","2,350","1.95K","1.70%"
"05/26/2025","2,350","2,390","2,390","2,350","0.83K","-1.67%"
"05/23/2025","2,390","2,260","2,390","2,260","1.79K","5.75%"
"05/22/2025","2,260","2,250","2,260","2,250","1.46K","0.44%"
"05/21/2025","2,250","2,290","2,290","2,250","1.34K","-1.75%"
"05/20/2025","2,290","2,285","2,290","2,285","1.04K","0.22%"
"05/19/2025","2,285","2,290","2,290","2,285","1.61K","-0.22%"
"05/16/2025","2,290","2,300","2,300","2,290","2.64K","-0.43%"
"05/15/2025","2,300","2,290","2,300","2,290","9.17K","0.44%"
"05/14/2025","2,290","2,290","2,290","2,290","1.87K","0.00%"
"05/13/2025","2,290","2,250","2,290","2,250","5.10K","1.78%"
"05/12/2025","2,250","2,255","2,255","2,250","2.27K","-0.22%"
"05/09/2025","2,255","2,230","2,255","2,230","2.40K","1.12%"
"05/08/2025","2,230","2,290","2,290","2,230","19.36K","-2.62%"
"05/07/2025","2,290","2,325","2,325","2,290","2.57K","-1.51%"
"05/06/2025","2,325","2,340","2,340","2,325","0.83K","-0.64%"
"05/05/2025","2,340","2,335","2,340","2,335","1.89K","0.21%"
"05/02/2025","2,335","2,390","2,390","2,335","6.41K","-2.30%"
"04/30/2025","2,390","2,355","2,390","2,355","0.15K","1.49%"
"04/29/2025","2,355","2,400","2,400","2,355","3.12K","-1.88%"
"04/28/2025","2,400","2,425","2,425","2,400","3.22K","-1.03%"
"04/25/2025","2,425","2,450","2,450","2,425","0.60K","-1.02%"
"04/24/2025","2,450","2,395","2,450","2,395","1.10K","2.30%"
"04/23/2025","2,395","2,475","2,475","2,395","4.00K","-3.23%"
"04/22/2025","2,475","2,400","2,475","2,400","7.52K","3.13%"
"04/18/2025","2,400","2,445","2,445","2,400","2.89K","-1.84%"
"04/17/2025","2,445","2,305","2,445","2,305","0.96K","6.07%"
"04/16/2025","2,305","2,490","2,490","2,305","1.74K","-7.43%"
"04/15/2025","2,490","2,400","2,490","2,400","1.09K","3.75%"
"04/14/2025","2,400","2,485","2,485","2,400","3.29K","-3.42%"
"04/11/2025","2,485","2,485","2,485","2,485","1.47K","0.00%"
"04/10/2025","2,485","2,490","2,490","2,485","1.30K","-0.20%"
"04/09/2025","2,490","2,620","2,620","2,490","1.18K","-4.96%"
"04/08/2025","2,620","2,625","2,625","2,620","3.38K","-0.19%"
"04/07/2025","2,625","2,625","2,625","2,625","1.03K","0.00%"
"04/04/2025","2,625","2,700","2,700","2,625","0.69K","-2.78%"
"04/03/2025","2,700","2,710","2,710","2,700","1.16K","-0.37%"
"04/02/2025","2,710","2,580","2,710","2,580","2.47K","5.04%"
"04/01/2025","2,580","2,600","2,600","2,580","1.59K","-0.77%"
"03/28/2025","2,600","2,590","2,600","2,590","26.69K","0.39%"
"03/26/2025","2,590","2,590","2,590","2,590","1.72K","0.00%"
"03/25/2025","2,590","2,590","2,590","2,590","0.83K","0.00%"
"03/24/2025","2,590","2,800","2,800","2,590","4.63K","-7.50%"
"03/21/2025","2,800","2,795","2,800","2,795","7.45K","0.18%"
"03/20/2025","2,795","2,800","2,800","2,795","5.82K","-0.18%"
"03/19/2025","2,800","2,800","2,800","2,800","7.38K","0.00%"
"03/18/2025","2,800","2,750","2,800","2,750","2.22K","1.82%"
"03/17/2025","2,750","2,750","2,750","2,750","1.71K","0.00%"
"03/14/2025","2,750","2,665","2,750","2,665","8.75K","3.19%"
"03/13/2025","2,665","2,610","2,665","2,610","2.00K","2.11%"
"03/12/2025","2,610","2,670","2,670","2,610","1.96K","-2.25%"
"03/11/2025","2,670","2,565","2,670","2,565","6.94K","4.09%"
"03/10/2025","2,565","2,500","2,565","2,500","1.55K","2.60%"
"03/07/2025","2,500","2,475","2,500","2,475","1.69K","1.01%"
"03/06/2025","2,475","2,450","2,475","2,450","2.33K","1.02%"
"03/05/2025","2,450","2,450","2,450","2,450","0.81K","0.00%"
"03/04/2025","2,450","2,450","2,450","2,450","1.28K","0.00%"
"03/03/2025","2,450","2,380","2,450","2,380","1.25K","2.94%"
"02/28/2025","2,380","2,380","2,380","2,380","0.79K","0.00%"
"02/27/2025","2,380","2,225","2,380","2,225","1.99K","6.97%"
"02/26/2025","2,225","2,230","2,230","2,225","3.20K","-0.22%"
"02/25/2025","2,230","2,225","2,230","2,225","2.85K","0.22%"
"02/24/2025","2,225","2,225","2,225","2,225","1.69K","0.00%"
"02/21/2025","2,225","2,230","2,230","2,225","2.68K","-0.22%"
"02/20/2025","2,230","2,235","2,235","2,230","1.34K","-0.22%"
"02/19/2025","2,235","2,235","2,235","2,235","1.89K","0.00%"
"02/18/2025","2,235","2,240","2,240","2,235","2.70K","-0.22%"
"02/17/2025","2,240","2,200","2,240","2,200","2.30K","1.82%"
"02/14/2025","2,200","2,300","2,300","2,200","1.61K","-4.35%"
"02/13/2025","2,300","2,300","2,300","2,300","1.26K","0.00%"
"02/12/2025","2,300","2,200","2,300","2,200","0.44K","4.55%"
"02/11/2025","2,200","2,200","2,200","2,200","15.55K","0.00%"
"02/10/2025","2,200","2,200","2,200","2,200","4.01K","0.00%"
"02/07/2025","2,200","2,200","2,200","2,200","5.56K","0.00%"
"02/06/2025","2,200","2,200","2,200","2,200","5.97K","0.00%"
"02/05/2025","2,200","2,180","2,200","2,180","2.07K","0.92%"
"02/04/2025","2,180","2,180","2,180","2,180","4.81K","0.00%"
"02/03/2025","2,180","2,180","2,180","2,180","2.23K","0.00%"
"01/31/2025","2,180","2,180","2,180","2,180","2.95K","0.00%"
"01/30/2025","2,180","2,180","2,180","2,180","2.73K","0.00%"
"01/29/2025","2,180","2,180","2,180","2,180","3.03K","0.00%"
"01/28/2025","2,180","2,185","2,185","2,180","4.50K","-0.23%"
"01/27/2025","2,185","2,105","2,185","2,105","1.89K","3.80%"
"01/24/2025","2,105","2,190","2,190","2,105","3.56K","-3.88%"
"01/23/2025","2,190","2,170","2,190","2,170","1.00K","0.92%"
"01/22/2025","2,170","2,185","2,185","2,170","2.23K","-0.69%"
"01/21/2025","2,185","2,180","2,185","2,180","2.44K","0.23%"
"01/20/2025","2,180","2,185","2,185","2,180","1.04K","-0.23%"
"01/17/2025","2,185","2,185","2,185","2,185","1.44K","0.00%"
"01/16/2025","2,185","2,185","2,185","2,185","1.22K","0.00%"
"01/15/2025","2,185","2,190","2,190","2,185","6.24K","-0.23%"
"01/14/2025","2,190","2,185","2,190","2,185","2.92K","0.23%"
"01/13/2025","2,185","2,175","2,185","2,175","0.60K","0.46%"
"01/10/2025","2,175","2,175","2,175","2,175","0.73K","0.00%"
"01/09/2025","2,175","2,180","2,180","2,175","1.69K","-0.23%"
"01/08/2025","2,180","2,190","2,190","2,180","2.00K","-0.46%"
"01/07/2025","2,190","2,190","2,190","2,190","5.16K","0.00%"
"01/06/2025","2,190","2,190","2,190","2,190","1.33K","0.00%"
"01/03/2025","2,190","2,195","2,195","2,190","1.00K","-0.45%"
"01/02/2025","2,200","2,195","2,195","2,195","0.16K","0.23%"
"12/31/2024","2,195","2,190","2,195","2,190","0.36K","0.23%"
"12/30/2024","2,190","2,195","2,195","2,190","0.58K","-0.23%"
"12/27/2024","2,195","2,180","2,195","2,180","2.38K","0.69%"
"12/26/2024","2,180","2,180","2,180","2,180","2.43K","0.00%"
"12/24/2024","2,180","2,195","2,195","2,180","0.54K","-0.68%"
"12/23/2024","2,195","2,210","2,210","2,195","0.81K","-0.68%"
"12/20/2024","2,210","2,250","2,250","2,210","2.74K","-1.78%"
"12/19/2024","2,250","2,200","2,250","2,200","4.69K","2.27%"
"12/18/2024","2,200","2,160","2,200","2,160","0.43K","1.85%"
"12/17/2024","2,160","2,145","2,160","2,145","1.88K","0.70%"
"12/16/2024","2,145","2,185","2,185","2,145","1.73K","-1.83%"
"12/13/2024","2,185","2,185","2,185","2,185","8.43K","0.00%"
"12/12/2024","2,185","2,185","2,185","2,185","2.21K","0.00%"
"12/11/2024","2,185","2,150","2,185","2,150","2.67K","1.63%"
"12/10/2024","2,150","2,230","2,230","2,150","1.98K","-3.59%"
"12/09/2024","2,230","2,145","2,230","2,145","2.16K","3.96%"
"12/06/2024","2,145","2,105","2,145","2,105","8.32K","1.90%"
"12/05/2024","2,105","2,140","2,140","2,105","5.36K","-1.64%"
"12/04/2024","2,140","2,130","2,140","2,130","2.05K","0.47%"
"12/03/2024","2,130","2,140","2,140","2,130","2.54K","-0.47%"
"12/02/2024","2,140","2,150","2,150","2,140","1.90K","-0.47%"
"11/29/2024","2,150","2,145","2,150","2,145","1.33K","0.23%"
"11/28/2024","2,145","2,150","2,150","2,145","1.99K","-0.23%"
"11/27/2024","2,150","2,100","2,150","2,100","0.94K","2.38%"
"11/26/2024","2,100","2,190","2,190","2,100","3.82K","-4.11%"
"11/25/2024","2,190","2,150","2,190","2,150","2.68K","1.86%"
"11/22/2024","2,150","2,110","2,150","2,110","0.83K","1.90%"
"11/21/2024","2,110","2,195","2,195","2,110","1.34K","-3.87%"
"11/20/2024","2,195","2,200","2,200","2,195","0.81K","-0.23%"
"11/19/2024","2,200","2,200","2,200","2,200","6.81K","0.00%"
"11/18/2024","2,200","2,250","2,250","2,200","3.03K","-2.22%"
"11/14/2024","2,250","2,250","2,250","2,250","0.48K","0.00%"
"11/13/2024","2,250","2,200","2,250","2,200","0.90K","2.27%"
"11/12/2024","2,200","2,155","2,200","2,155","4.62K","2.09%"
"11/11/2024","2,155","2,325","2,325","2,155","4.87K","-7.31%"
"11/08/2024","2,325","2,255","2,325","2,255","2.18K","3.10%"
"11/07/2024","2,255","2,100","2,255","2,100","9.99K","7.38%"
"11/06/2024","2,100","2,100","2,100","2,100","3.38K","0.00%"
"11/05/2024","2,100","2,180","2,180","2,100","10.61K","-3.67%"
"11/04/2024","2,180","2,355","2,355","2,180","6.16K","-7.43%"
"10/31/2024","2,355","2,545","2,545","2,355","3.66K","-7.47%"
"10/30/2024","2,545","2,375","2,545","2,375","9.21K","7.16%"
"10/29/2024","2,375","2,350","2,375","2,350","22.00K","1.06%"
"10/28/2024","2,350","2,330","2,350","2,330","7.77K","0.86%"
"10/25/2024","2,330","2,330","2,330","2,330","6.16K","0.00%"
"10/24/2024","2,330","2,315","2,330","2,315","301.68K","0.65%"
"10/23/2024","2,315","2,310","2,315","2,310","3.34K","0.22%"
