"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","10,200","10,175","10,200","10,175","1.56K","0.25%"
"06/04/2025","10,175","10,185","10,185","10,175","0.97K","-0.10%"
"06/03/2025","10,185","11,000","11,000","10,185","3.27K","-7.41%"
"06/02/2025","11,000","11,150","11,150","11,000","1.40K","-1.35%"
"05/30/2025","11,150","11,500","11,500","11,150","0.23K","-3.04%"
"05/28/2025","11,500","11,800","11,800","11,500","0.53K","-2.54%"
"05/27/2025","11,800","12,605","12,605","11,800","0.44K","-6.39%"
"05/26/2025","12,605","12,005","12,605","12,005","0.81K","5.00%"
"05/23/2025","12,005","11,800","12,005","11,800","1.76K","1.74%"
"05/22/2025","11,800","11,800","11,800","11,800","1.15K","0.00%"
"05/21/2025","11,800","11,900","11,900","11,800","1.26K","-0.84%"
"05/20/2025","11,900","11,245","11,900","11,245","1.40K","5.82%"
"05/19/2025","11,245","11,060","11,245","11,060","1.08K","1.67%"
"05/16/2025","11,060","11,060","11,060","11,060","0.51K","0.00%"
"05/15/2025","11,060","10,500","11,060","10,500","0.86K","5.33%"
"05/14/2025","10,500","9,905","10,500","9,905","0.82K","6.01%"
"05/13/2025","9,905","9,900","9,905","9,900","0.19K","0.05%"
"05/12/2025","9,900","9,900","9,900","9,900","0.61K","0.00%"
"05/09/2025","9,900","9,900","9,900","9,900","0.47K","0.00%"
"05/08/2025","9,900","9,900","9,900","9,900","0.89K","0.00%"
"05/07/2025","9,900","9,900","9,900","9,900","0.60K","0.00%"
"05/06/2025","9,900","9,895","9,900","9,895","0.84K","0.05%"
"05/05/2025","9,895","9,850","9,895","9,850","0.49K","0.46%"
"05/02/2025","9,850","9,800","9,850","9,800","0.96K","0.51%"
"04/30/2025","9,800","9,890","9,890","9,800","0.28K","-0.91%"
"04/29/2025","9,890","9,900","9,900","9,890","0.70K","-0.10%"
"04/28/2025","9,900","9,895","9,900","9,895","2.77K","0.05%"
"04/25/2025","9,895","9,895","9,895","9,895","0.62K","0.00%"
"04/24/2025","9,895","9,895","9,895","9,895","0.15K","0.00%"
"04/23/2025","9,895","9,895","9,895","9,895","0.43K","0.00%"
"04/22/2025","9,895","9,800","9,895","9,800","0.96K","0.97%"
"04/18/2025","9,800","9,915","9,915","9,800","0.23K","-1.16%"
"04/17/2025","9,915","9,920","9,920","9,915","0.05K","-0.05%"
"04/16/2025","9,920","9,925","9,925","9,920","1.69K","-0.05%"
"04/15/2025","9,925","9,925","9,925","9,925","0.76K","0.00%"
"04/14/2025","9,925","9,900","9,925","9,900","1.33K","0.25%"
"04/11/2025","9,900","9,900","9,900","9,900","0.59K","0.00%"
"04/10/2025","9,900","9,900","9,900","9,900","0.21K","0.00%"
"04/09/2025","9,900","9,900","9,900","9,900","0.40K","0.00%"
"04/08/2025","9,900","9,895","9,900","9,895","1.10K","0.05%"
