"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","18.00","18.00","18.00","18.00","28.29K","0.00%"
"06/04/2025","18.00","18.00","18.00","18.00","1.98M","0.00%"
"06/03/2025","18.00","18.00","18.00","18.00","456.62K","0.00%"
"06/02/2025","18.00","18.00","18.00","18.00","718.73K","0.00%"
"05/30/2025","18.00","17.00","18.00","17.00","4.51M","5.88%"
"05/28/2025","17.00","18.00","18.00","17.00","194.13K","-5.56%"
"05/27/2025","18.00","17.00","18.00","17.00","6.61M","5.88%"
"05/26/2025","17.00","17.00","17.00","17.00","6.08M","0.00%"
"05/23/2025","17.00","16.00","17.00","16.00","1.54M","6.25%"
"05/22/2025","16.00","15.00","16.00","15.00","2.45M","6.67%"
"05/21/2025","15.00","16.00","16.00","15.00","489.04K","-6.25%"
"05/20/2025","16.00","16.00","16.00","16.00","760.39K","0.00%"
"05/19/2025","16.00","16.00","16.00","16.00","130.65K","0.00%"
"05/16/2025","16.00","16.00","16.00","16.00","156.30K","0.00%"
"05/15/2025","16.00","16.00","16.00","16.00","175.99K","0.00%"
"05/14/2025","16.00","15.00","16.00","15.00","43.39K","6.67%"
"05/13/2025","15.00","16.00","16.00","15.00","176.75K","-6.25%"
"05/12/2025","16.00","16.00","16.00","16.00","41.54K","0.00%"
"05/09/2025","16.00","16.00","16.00","16.00","32.89K","0.00%"
"05/08/2025","16.00","16.00","16.00","16.00","431.43K","0.00%"
"05/07/2025","16.00","16.00","16.00","16.00","30.72K","0.00%"
"05/06/2025","16.00","15.00","16.00","15.00","91.89K","6.67%"
"05/05/2025","15.00","16.00","16.00","15.00","71.28K","-6.25%"
"05/02/2025","16.00","16.00","16.00","16.00","68.58K","0.00%"
"04/30/2025","16.00","15.00","16.00","15.00","14.04K","6.67%"
"04/29/2025","15.00","16.00","16.00","15.00","59.08K","-6.25%"
"04/28/2025","16.00","16.00","16.00","16.00","46.28K","0.00%"
"04/25/2025","16.00","16.00","16.00","16.00","44.67K","0.00%"
"04/24/2025","16.00","15.00","16.00","15.00","277.64K","6.67%"
"04/23/2025","15.00","15.00","15.00","15.00","272.89K","0.00%"
"04/22/2025","15.00","15.00","15.00","15.00","158.37K","0.00%"
"04/18/2025","15.00","15.00","15.00","15.00","32.94K","0.00%"
"04/17/2025","15.00","14.00","15.00","14.00","153.48K","7.14%"
"04/16/2025","14.00","15.00","15.00","14.00","49.78K","-6.67%"
"04/15/2025","15.00","15.00","15.00","15.00","79.08K","0.00%"
"04/14/2025","15.00","14.00","15.00","14.00","285.84K","7.14%"
"04/11/2025","14.00","15.00","15.00","14.00","179.72K","-6.67%"
"04/10/2025","15.00","15.00","15.00","15.00","111.42K","0.00%"
"04/09/2025","15.00","15.00","15.00","15.00","612.81K","0.00%"
"04/08/2025","15.00","15.00","15.00","15.00","156.41K","0.00%"
"04/07/2025","15.00","15.00","15.00","15.00","352.30K","0.00%"
"04/04/2025","15.00","15.00","15.00","15.00","115.60K","0.00%"
"04/03/2025","15.00","15.00","15.00","15.00","466.45K","0.00%"
"04/02/2025","15.00","15.00","15.00","15.00","3.42M","0.00%"
"04/01/2025","15.00","16.00","16.00","15.00","1.30M","-6.25%"
"03/28/2025","16.00","16.00","16.00","16.00","2.81M","0.00%"
"03/26/2025","16.00","16.00","16.00","16.00","320.75K","0.00%"
"03/25/2025","16.00","15.00","16.00","15.00","322.99K","6.67%"
"03/24/2025","15.00","16.00","16.00","15.00","1.07M","-6.25%"
"03/21/2025","16.00","15.00","16.00","15.00","823.61K","6.67%"
"03/20/2025","15.00","16.00","16.00","15.00","1.03M","-6.25%"
"03/19/2025","16.00","15.00","16.00","15.00","2.32M","6.67%"
"03/18/2025","15.00","16.00","16.00","15.00","27.48K","-6.25%"
"03/17/2025","16.00","16.00","16.00","16.00","12.41M","0.00%"
"03/14/2025","16.00","16.00","16.00","16.00","539.70K","0.00%"
"03/13/2025","16.00","16.00","16.00","16.00","1.04M","0.00%"
"03/12/2025","16.00","16.00","16.00","16.00","106.84K","0.00%"
"03/11/2025","16.00","16.00","16.00","16.00","1.12M","0.00%"
"03/10/2025","16.00","15.00","16.00","15.00","1.22M","6.67%"
"03/07/2025","15.00","16.00","16.00","15.00","43.44K","-6.25%"
"03/06/2025","16.00","16.00","16.00","16.00","363.72K","0.00%"
"03/05/2025","16.00","16.00","16.00","16.00","1.53M","0.00%"
"03/04/2025","16.00","15.00","16.00","15.00","66.06K","6.67%"
"03/03/2025","15.00","16.00","16.00","15.00","1.95M","-6.25%"
