"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","6,200","6,400","6,400","6,200","31.29K","-3.13%"
"06/04/2025","6,400","6,515","6,515","6,400","65.86K","-1.77%"
"06/03/2025","6,515","6,065","6,515","6,065","221.70K","7.42%"
"06/02/2025","6,065","5,645","6,065","5,645","16.95K","7.44%"
"05/30/2025","5,645","5,255","5,645","5,255","2.87K","7.42%"
"05/28/2025","5,255","4,890","5,255","4,890","1.95K","7.46%"
"05/27/2025","4,890","4,550","4,890","4,550","5.81K","7.47%"
"05/26/2025","4,550","4,235","4,550","4,235","11.21K","7.44%"
"05/23/2025","4,235","3,940","4,235","3,940","64.61K","7.49%"
"05/22/2025","3,940","3,985","3,985","3,940","36.37K","-1.13%"
"05/21/2025","3,985","3,990","3,990","3,985","16.87K","-0.13%"
"05/20/2025","3,990","3,990","3,990","3,990","25.16K","0.00%"
"05/19/2025","3,990","3,995","3,995","3,990","15.75K","-0.13%"
"05/16/2025","3,995","4,150","4,150","3,995","31.78K","-3.73%"
"05/15/2025","4,150","4,145","4,150","4,145","31.29K","0.12%"
"05/14/2025","4,145","3,950","4,145","3,950","28.88K","4.94%"
"05/13/2025","3,950","3,975","3,975","3,950","19.38K","-0.63%"
"05/12/2025","3,975","3,720","3,975","3,720","20.09K","6.85%"
"05/09/2025","3,720","3,465","3,720","3,465","29.94K","7.36%"
"05/08/2025","3,465","3,225","3,465","3,225","665.83K","7.44%"
"05/07/2025","3,225","3,000","3,225","3,000","56.29K","7.50%"
"05/06/2025","3,000","3,080","3,080","3,000","23.46K","-2.60%"
"05/05/2025","3,080","3,150","3,150","3,080","18.41K","-2.22%"
"05/02/2025","3,150","3,225","3,225","3,150","14.95K","-2.33%"
"04/30/2025","3,225","3,225","3,225","3,225","15.50K","0.00%"
"04/29/2025","3,225","3,225","3,225","3,225","31.27K","0.00%"
"04/28/2025","3,225","3,240","3,240","3,225","14.56K","-0.46%"
"04/25/2025","3,240","3,250","3,250","3,240","43.17K","-0.31%"
"04/24/2025","3,250","3,290","3,290","3,250","10.22K","-1.22%"
"04/23/2025","3,290","3,305","3,305","3,290","7.73K","-0.45%"
"04/22/2025","3,305","3,350","3,350","3,305","10.89K","-1.34%"
"04/18/2025","3,350","3,350","3,350","3,350","5.12K","0.00%"
"04/17/2025","3,350","3,390","3,390","3,350","12.19K","-1.18%"
"04/16/2025","3,390","3,400","3,400","3,390","16.19K","-0.29%"
"04/15/2025","3,400","3,400","3,400","3,400","21.80K","0.00%"
"04/14/2025","3,400","3,375","3,400","3,375","46.50K","0.74%"
"04/11/2025","3,375","3,300","3,375","3,300","50.36K","2.27%"
"04/10/2025","3,300","3,300","3,300","3,300","55.37K","0.00%"
"04/09/2025","3,300","3,095","3,300","3,095","52.10K","6.62%"
"04/08/2025","3,095","3,100","3,100","3,095","8.63K","-0.16%"
"04/07/2025","3,100","3,200","3,200","3,100","6.79K","-3.13%"
"04/04/2025","3,200","3,100","3,200","3,100","8.78K","3.23%"
"04/03/2025","3,100","3,100","3,100","3,100","14.79K","0.00%"
"04/02/2025","3,100","3,095","3,100","3,095","96.45K","0.16%"
"04/01/2025","3,095","3,280","3,280","3,095","1.71K","-5.64%"
"03/28/2025","3,280","3,200","3,280","3,200","6.51K","2.50%"
"03/26/2025","3,200","3,200","3,200","3,200","16.50K","0.00%"
"03/25/2025","3,200","3,300","3,300","3,200","7.42K","-3.03%"
"03/24/2025","3,300","3,295","3,300","3,295","4.89K","0.15%"
