"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","4,800.00","4,790.00","4,800.00","4,790.00","5.68K","0.21%"
"06/04/2025","4,790.00","4,790.00","4,790.00","4,790.00","0.79K","0.00%"
"06/03/2025","4,790.00","4,800.00","4,800.00","4,790.00","4.34K","-0.21%"
"06/02/2025","4,800.00","4,800.00","4,800.00","4,800.00","3.64K","0.00%"
"05/30/2025","4,800.00","4,695.00","4,800.00","4,695.00","5.08K","2.24%"
"05/28/2025","4,695.00","4,700.00","4,700.00","4,695.00","0.33K","-0.11%"
"05/27/2025","4,700.00","4,700.00","4,700.00","4,700.00","0.89K","0.00%"
"05/26/2025","4,700.00","4,740.00","4,740.00","4,700.00","0.70K","-0.84%"
"05/23/2025","4,740.00","4,740.00","4,740.00","4,740.00","0.21K","0.00%"
"05/22/2025","4,740.00","4,790.00","4,790.00","4,740.00","0.20K","-1.04%"
"05/21/2025","4,790.00","4,790.00","4,790.00","4,790.00","1.08K","0.00%"
"05/20/2025","4,790.00","4,800.00","4,800.00","4,790.00","0.35K","-0.21%"
"05/19/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.83K","0.00%"
"05/16/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.05K","0.00%"
"05/15/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.14K","0.00%"
"05/14/2025","4,800.00","4,790.00","4,800.00","4,790.00","0.18K","0.21%"
"05/13/2025","4,790.00","4,800.00","4,800.00","4,790.00","0.12K","-0.21%"
"05/12/2025","4,800.00","4,800.00","4,800.00","4,800.00","3.72K","0.00%"
"05/09/2025","4,800.00","4,790.00","4,800.00","4,790.00","0.53K","0.21%"
"05/08/2025","4,790.00","4,790.00","4,790.00","4,790.00","0.31K","0.00%"
"05/07/2025","4,790.00","4,800.00","4,800.00","4,790.00","0.19K","-0.21%"
"05/06/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.21K","0.00%"
"05/05/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.39K","0.00%"
"05/02/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.32K","0.00%"
"04/30/2025","4,800.00","4,810.00","4,810.00","4,800.00","0.10K","-0.21%"
"04/29/2025","4,810.00","4,820.00","4,820.00","4,810.00","0.20K","-0.21%"
"04/28/2025","4,820.00","4,800.00","4,820.00","4,800.00","5.08K","0.42%"
"04/25/2025","4,800.00","4,800.00","4,800.00","4,800.00","14.31K","0.00%"
"04/24/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.20K","0.00%"
"04/23/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.10K","0.00%"
"04/22/2025","4,800.00","4,700.00","4,800.00","4,700.00","0.17K","2.13%"
"04/18/2025","4,700.00","4,800.00","4,800.00","4,700.00","0.15K","-2.08%"
"04/17/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.05K","0.00%"
"04/16/2025","4,800.00","4,850.00","4,850.00","4,800.00","27.88K","-1.03%"
"04/15/2025","4,850.00","4,805.00","4,850.00","4,805.00","0.09K","0.94%"
"04/14/2025","4,805.00","4,805.00","4,805.00","4,805.00","2.64K","0.00%"
"04/11/2025","4,805.00","4,800.00","4,805.00","4,800.00","4.92K","0.10%"
"04/10/2025","4,800.00","4,750.00","4,800.00","4,750.00","8.44K","1.05%"
"04/09/2025","4,750.00","4,845.00","4,845.00","4,750.00","0.16K","-1.96%"
"04/08/2025","4,845.00","4,800.00","4,845.00","4,800.00","8.05K","0.94%"
"04/07/2025","4,800.00","4,800.00","4,800.00","4,800.00","0.10K","0.00%"
"04/04/2025","4,800.00","4,800.00","4,800.00","4,800.00","5.75K","0.00%"
