"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","555","545","555","545","2.52K","1.83%"
"06/04/2025","545","540","545","540","0.59K","0.93%"
"06/03/2025","540","550","550","540","0.25K","-1.82%"
"06/02/2025","550","555","555","550","0.25K","-0.90%"
"05/30/2025","555","540","555","540","0.61K","2.78%"
"05/28/2025","540","540","540","540","1.87K","0.00%"
"05/27/2025","540","545","545","540","0.20K","-0.92%"
"05/26/2025","545","545","545","545","12.84K","0.00%"
"05/23/2025","545","550","550","545","36.42K","-0.91%"
"05/22/2025","550","560","560","550","1.20K","-1.79%"
"05/21/2025","560","560","560","560","1.52K","0.00%"
"05/20/2025","560","570","570","560","1.22K","-1.75%"
"05/19/2025","570","575","575","570","1.36K","-0.87%"
"05/16/2025","575","580","580","575","0.52K","-0.86%"
"05/15/2025","580","600","600","580","2.59K","-3.33%"
"05/14/2025","600","560","600","560","2.64K","7.14%"
"05/13/2025","560","560","560","560","0.64K","0.00%"
"05/12/2025","560","540","560","540","1.45K","3.70%"
"05/09/2025","540","560","560","540","2.59K","-3.57%"
"05/08/2025","560","580","580","560","2.38K","-3.45%"
"05/07/2025","580","550","580","550","1.62K","5.45%"
"05/06/2025","550","585","585","550","13.85K","-5.98%"
"05/05/2025","585","595","595","585","0.85K","-1.68%"
"05/02/2025","595","595","595","595","6.97K","0.00%"
"04/30/2025","595","595","595","595","0.30K","0.00%"
"04/29/2025","595","600","600","595","0.78K","-0.83%"
"04/28/2025","600","600","600","600","0.09K","0.00%"
"04/25/2025","600","605","605","600","0.24K","-0.83%"
"04/24/2025","605","615","615","605","0.12K","0.00%"
"04/22/2025","605","615","615","605","1.60K","-1.63%"
"04/18/2025","615","615","615","615","0.10K","0.00%"
"04/17/2025","615","615","615","615","12.97K","0.00%"
"04/16/2025","615","575","615","575","2.21K","6.96%"
"04/15/2025","575","620","620","575","1.78K","-7.26%"
"04/14/2025","620","620","620","620","2.76K","0.00%"
"04/11/2025","620","670","670","620","0.82K","-7.46%"
"04/10/2025","670","720","720","670","1.21K","-6.94%"
"04/09/2025","720","720","720","720","2.66K","0.00%"
"04/08/2025","720","720","720","720","0.91K","0.00%"
"04/07/2025","720","720","720","720","0.28K","0.00%"
"04/04/2025","720","730","730","720","0.05K","-1.37%"
"04/03/2025","730","730","730","730","0.01K","0.00%"
"04/02/2025","730","730","730","730","0.00K","0.00%"
"04/01/2025","730","730","730","730","0.09K","0.00%"
"03/28/2025","730","730","730","730","0.79K","0.00%"
"03/25/2025","730","730","730","730","4.52K","0.00%"
"03/24/2025","730","730","730","730","0.78K","0.00%"
"03/21/2025","730","725","730","725","0.01K","0.69%"
"03/20/2025","725","725","725","725","0.01K","0.00%"
"03/19/2025","725","720","725","720","1.20K","0.69%"
"03/18/2025","720","720","720","720","0.32K","0.00%"
"03/17/2025","720","680","720","680","0.07K","5.88%"
"03/14/2025","680","680","680","680","1.26K","0.00%"
"03/13/2025","680","720","720","680","0.10K","-5.56%"
"03/12/2025","720","715","720","715","0.41K","0.70%"
"03/11/2025","715","685","715","685","0.43K","4.38%"
"03/10/2025","685","730","730","685","0.02K","-6.16%"
"03/07/2025","730","735","735","730","0.02K","-0.68%"
"03/06/2025","735","735","735","735","0.03K","0.00%"
"03/05/2025","735","740","740","735","1.46K","-0.68%"
"03/04/2025","740","740","740","740","0.45K","0.00%"
"03/03/2025","740","730","740","730","0.09K","1.37%"
"02/28/2025","730","730","730","730","0.00K","0.00%"
"02/27/2025","730","730","730","730","1.42K","0.00%"
"02/26/2025","730","730","730","730","0.11K","0.00%"
"02/25/2025","730","740","740","730","1.29K","-1.35%"
"02/24/2025","740","730","740","730","0.61K","1.37%"
"02/21/2025","730","730","730","730","1.74K","0.00%"
"02/20/2025","730","730","730","730","0.01K","0.00%"
"02/19/2025","730","730","730","730","0.31K","0.00%"
"02/18/2025","730","725","730","725","0.99K","0.69%"
"02/17/2025","725","730","730","725","0.03K","-0.68%"
"02/14/2025","730","730","730","730","0.25K","0.00%"
"02/13/2025","730","700","730","700","0.02K","4.29%"
"02/12/2025","700","725","725","700","0.22K","-3.45%"
"02/11/2025","725","735","735","725","0.39K","-1.36%"
"02/10/2025","735","740","740","735","0.26K","-0.68%"
"02/07/2025","740","710","740","710","0.49K","4.23%"
"02/06/2025","710","740","740","710","0.03K","-4.05%"
"02/05/2025","740","745","745","740","0.10K","-0.67%"
"02/03/2025","745","740","745","740","0.03K","0.68%"
"01/31/2025","740","745","745","740","0.00K","-0.67%"
"01/30/2025","745","745","745","745","0.06K","0.00%"
"01/29/2025","745","745","745","745","0.11K","0.00%"
"01/28/2025","745","745","745","745","0.06K","0.00%"
"01/27/2025","745","750","750","745","0.04K","-0.67%"
"01/24/2025","750","710","750","710","0.03K","5.63%"
"01/23/2025","710","710","710","710","0.18K","0.00%"
"01/22/2025","710","690","710","690","32.87K","2.90%"
"01/21/2025","690","690","690","690","0.25K","0.00%"
"01/20/2025","690","695","695","690","0.63K","-0.72%"
"01/17/2025","695","670","695","670","0.41K","3.73%"
"01/16/2025","670","710","710","670","0.01K","-5.63%"
"01/14/2025","710","710","710","710","0.01K","0.00%"
"01/13/2025","710","720","720","710","0.00K","-1.39%"
"01/10/2025","720","675","720","675","1.11K","6.67%"
"01/09/2025","675","700","700","675","0.19K","-3.57%"
"01/08/2025","700","720","720","700","0.05K","-2.78%"
"01/07/2025","720","720","720","720","0.39K","0.00%"
"01/06/2025","720","750","750","720","0.02K","-4.00%"
"01/03/2025","750","750","750","750","0.01K","0.00%"
"01/02/2025","750","750","750","750","0.01K","0.00%"
"12/31/2024","750","750","750","750","0.01K","0.00%"
"12/30/2024","750","750","750","750","0.22K","0.00%"
"12/27/2024","750","750","750","750","0.18K","0.00%"
"12/23/2024","750","750","750","750","0.01K","0.00%"
"12/20/2024","750","740","750","740","0.61K","1.35%"
"12/19/2024","740","740","740","740","0.45K","0.00%"
"12/18/2024","740","740","740","740","0.04K","0.00%"
"12/17/2024","740","740","740","740","0.00K","0.00%"
"12/16/2024","740","750","750","740","0.04K","-1.33%"
"12/13/2024","750","760","760","750","0.02K","-1.32%"
"12/12/2024","760","760","760","760","1.50K","0.00%"
"12/11/2024","760","760","760","760","1.75K","0.00%"
"12/10/2024","760","770","770","760","0.02K","-1.30%"
"12/09/2024","770","770","770","770","0.03K","0.00%"
"12/06/2024","770","770","770","770","0.03K","0.00%"
"12/05/2024","770","770","770","770","0.00K","0.00%"
"12/04/2024","770","775","775","770","0.02K","-0.65%"
"12/03/2024","775","780","780","775","0.41K","-0.64%"
"12/02/2024","780","780","780","780","0.01K","0.00%"
"11/29/2024","780","780","780","780","2.06K","0.00%"
"11/28/2024","780","760","780","760","0.85K","2.63%"
"11/27/2024","760","765","765","760","0.18K","-0.65%"
"11/26/2024","765","765","765","765","0.01K","0.00%"
"11/25/2024","765","765","765","765","0.49K","0.00%"
"11/22/2024","765","765","765","765","0.02K","0.00%"
"11/21/2024","765","765","765","765","0.15K","0.00%"
"11/20/2024","765","775","775","765","0.19K","-1.29%"
"11/19/2024","775","765","775","765","4.44K","1.31%"
"11/18/2024","765","780","780","765","0.81K","-1.92%"
"11/14/2024","780","780","780","780","0.32K","0.00%"
"11/13/2024","780","780","780","780","0.02K","0.00%"
"11/12/2024","780","780","780","780","0.69K","0.00%"
"11/11/2024","780","780","780","780","0.02K","0.00%"
"11/08/2024","780","780","780","780","0.01K","0.00%"
"11/07/2024","780","750","780","750","0.13K","4.00%"
"11/06/2024","750","790","790","750","0.13K","-5.06%"
"11/05/2024","790","815","815","790","0.05K","-3.07%"
"11/04/2024","815","790","815","790","1.00K","3.16%"
"10/31/2024","790","790","790","790","0.38K","0.00%"
"10/30/2024","790","740","790","740","5.30K","6.76%"
"10/29/2024","740","740","740","740","0.78K","0.00%"
"10/28/2024","740","740","740","740","0.44K","0.00%"
"10/25/2024","740","745","745","740","0.56K","-0.67%"
"10/24/2024","745","800","800","745","1.48K","-6.88%"
"10/23/2024","800","800","800","800","0.09K","0.00%"
"10/22/2024","800","800","800","800","0.03K","0.00%"
"10/21/2024","800","800","800","800","0.03K","0.00%"
"10/18/2024","800","815","815","800","3.69K","-1.84%"
