"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","8,985","9,000","9,000","8,985","0.49K","-0.17%"
"06/04/2025","9,000","9,000","9,000","9,000","1.24K","0.00%"
"06/03/2025","9,000","8,985","9,000","8,985","1.34K","0.17%"
"06/02/2025","8,985","8,650","8,985","8,650","0.91K","3.87%"
"05/30/2025","8,650","8,550","8,650","8,550","4.20K","1.17%"
"05/28/2025","8,550","8,600","8,600","8,550","11.19K","-0.58%"
"05/27/2025","8,600","8,585","8,600","8,585","4.97K","0.17%"
"05/26/2025","8,585","8,600","8,600","8,585","3.72K","-0.17%"
"05/23/2025","8,600","8,500","8,600","8,500","7.01K","1.18%"
"05/22/2025","8,500","8,600","8,600","8,500","2.62K","-1.16%"
"05/21/2025","8,600","8,500","8,600","8,500","2.22K","1.18%"
"05/20/2025","8,500","8,500","8,500","8,500","2.30K","0.00%"
"05/19/2025","8,500","8,610","8,610","8,500","2.80K","-1.28%"
"05/16/2025","8,610","8,590","8,610","8,590","4.67K","0.23%"
"05/15/2025","8,590","8,610","8,610","8,590","2.20K","-0.23%"
"05/14/2025","8,610","8,695","8,695","8,610","1.86K","-0.98%"
"05/13/2025","8,695","8,690","8,695","8,690","2.02K","0.06%"
"05/12/2025","8,690","8,655","8,690","8,655","0.67K","0.40%"
"05/09/2025","8,655","8,635","8,655","8,635","0.94K","0.23%"
"05/08/2025","8,635","8,450","8,635","8,450","0.56K","2.19%"
"05/07/2025","8,450","8,310","8,450","8,310","0.84K","1.68%"
"05/06/2025","8,310","8,200","8,310","8,200","0.73K","1.34%"
"05/05/2025","8,200","8,095","8,200","8,095","0.52K","1.30%"
"05/02/2025","8,095","7,950","8,095","7,950","0.39K","1.82%"
"04/30/2025","7,950","8,200","8,200","7,950","1.34K","-3.05%"
"04/29/2025","8,200","8,110","8,200","8,110","14.52K","1.11%"
"04/28/2025","8,110","8,195","8,195","8,110","0.75K","-1.04%"
"04/25/2025","8,195","8,190","8,195","8,190","0.54K","0.06%"
"04/24/2025","8,190","8,165","8,190","8,165","0.67K","0.31%"
"04/23/2025","8,165","8,200","8,200","8,165","1.20K","-0.43%"
"04/22/2025","8,200","8,190","8,200","8,190","1.38K","0.12%"
"04/18/2025","8,190","8,190","8,190","8,190","0.54K","0.00%"
"04/17/2025","8,190","8,190","8,190","8,190","0.31K","0.00%"
"04/16/2025","8,190","8,200","8,200","8,190","0.49K","-0.12%"
"04/15/2025","8,200","8,100","8,200","8,100","0.66K","1.23%"
"04/14/2025","8,100","8,000","8,100","8,000","0.89K","1.25%"
"04/11/2025","8,000","8,000","8,000","8,000","2.34K","0.00%"
"04/10/2025","8,000","7,800","8,000","7,800","0.58K","2.56%"
