"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","10,745","10,750","10,750","10,745","0.08K","-0.05%"
"06/04/2025","10,750","10,640","10,750","10,640","0.68K","1.03%"
"06/03/2025","10,640","10,700","10,700","10,640","1.18K","-0.56%"
"06/02/2025","10,700","10,700","10,700","10,700","0.31K","0.00%"
"05/30/2025","10,700","10,600","10,700","10,600","1.95K","0.94%"
"05/28/2025","10,600","10,500","10,600","10,500","0.64K","0.95%"
"05/27/2025","10,500","10,400","10,500","10,400","10.86K","0.96%"
"05/26/2025","10,400","10,400","10,400","10,400","2.34K","0.00%"
"05/23/2025","10,400","10,400","10,400","10,400","2.88K","0.00%"
"05/22/2025","10,400","10,400","10,400","10,400","0.48K","0.00%"
"05/21/2025","10,400","10,500","10,500","10,400","0.30K","-0.95%"
"05/20/2025","10,500","10,200","10,500","10,200","2.86K","2.94%"
"05/19/2025","10,200","10,100","10,200","10,100","8.00K","0.99%"
"05/16/2025","10,100","10,100","10,100","10,100","0.37K","0.00%"
"05/15/2025","10,100","9,990","10,100","9,990","0.66K","1.10%"
"05/14/2025","9,990","9,950","9,990","9,950","0.75K","0.40%"
"05/13/2025","9,950","9,900","9,950","9,900","0.58K","0.51%"
"05/12/2025","9,900","9,900","9,900","9,900","10.45K","0.00%"
"05/09/2025","9,900","9,500","9,900","9,500","30.93K","4.21%"
"05/08/2025","9,500","9,980","9,980","9,500","4.23K","-4.81%"
"05/07/2025","9,980","9,790","9,980","9,790","20.50K","1.94%"
"05/06/2025","9,790","9,800","9,800","9,790","0.29K","-0.10%"
"05/05/2025","9,800","9,940","9,940","9,800","1.69K","-1.41%"
"05/02/2025","9,940","9,990","9,990","9,940","3.58K","-0.50%"
"04/30/2025","9,990","9,995","9,995","9,990","0.03K","-0.05%"
"04/29/2025","9,995","9,800","9,995","9,800","2.49K","1.99%"
"04/28/2025","9,800","9,885","9,885","9,800","0.27K","-0.86%"
"04/25/2025","9,885","9,900","9,900","9,885","0.22K","-0.15%"
"04/24/2025","9,900","9,900","9,900","9,900","2.00K","0.00%"
"04/23/2025","9,900","9,900","9,900","9,900","0.67K","0.00%"
"04/22/2025","9,900","9,895","9,900","9,895","2.36K","0.05%"
"04/18/2025","9,895","9,930","9,930","9,895","0.38K","-0.35%"
"04/17/2025","9,930","9,930","9,930","9,930","0.10K","0.00%"
"04/16/2025","9,930","9,930","9,930","9,930","0.83K","0.00%"
"04/15/2025","9,930","9,900","9,930","9,900","0.31K","0.30%"
"04/14/2025","9,900","9,880","9,900","9,880","0.24K","0.20%"
"04/11/2025","9,880","9,800","9,880","9,800","2.13K","0.82%"
"04/10/2025","9,800","9,900","9,900","9,800","9.82K","-1.01%"
"04/09/2025","9,900","9,995","9,995","9,900","6.20K","-0.95%"
"04/08/2025","9,995","9,945","9,995","9,945","0.68K","0.50%"
"04/07/2025","9,945","9,980","9,980","9,945","1.68K","-0.35%"
"04/04/2025","9,980","9,950","9,980","9,950","0.37K","0.30%"
