"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","2,565","2,580","2,580","2,565","1.06K","-0.58%"
"06/04/2025","2,580","2,560","2,580","2,560","0.44K","0.78%"
"06/03/2025","2,560","2,575","2,575","2,560","2.30K","-0.58%"
"06/02/2025","2,575","2,585","2,585","2,575","2.47K","-0.39%"
"05/30/2025","2,585","2,555","2,585","2,555","0.52K","1.17%"
"05/28/2025","2,555","2,580","2,580","2,555","14.51K","-0.97%"
"05/27/2025","2,580","2,580","2,580","2,580","2.02K","0.00%"
"05/26/2025","2,580","2,500","2,580","2,500","0.86K","3.20%"
"05/23/2025","2,500","2,405","2,500","2,405","74.37K","3.95%"
"05/22/2025","2,405","2,450","2,450","2,405","2.26K","-1.84%"
"05/21/2025","2,450","2,390","2,450","2,390","2.98K","2.51%"
"05/20/2025","2,390","2,390","2,390","2,390","1.23K","0.00%"
"05/19/2025","2,390","2,390","2,390","2,390","3.66K","0.00%"
"05/16/2025","2,390","2,400","2,400","2,390","1.61K","-0.42%"
"05/15/2025","2,400","2,400","2,400","2,400","9.31K","0.00%"
"05/14/2025","2,400","2,405","2,405","2,400","8.62K","-0.21%"
"05/13/2025","2,405","2,400","2,405","2,400","4.57K","0.21%"
"05/12/2025","2,400","2,410","2,410","2,400","0.82K","-0.41%"
"05/09/2025","2,410","2,430","2,430","2,410","7.10K","-0.82%"
"05/08/2025","2,430","2,430","2,430","2,430","4.84K","0.00%"
"05/07/2025","2,430","2,450","2,450","2,430","2.03K","-0.82%"
"05/06/2025","2,450","2,400","2,450","2,400","1.53K","2.08%"
"05/05/2025","2,400","2,480","2,480","2,400","6.18K","-3.23%"
"05/02/2025","2,480","2,490","2,490","2,480","1.91K","-0.40%"
"04/30/2025","2,490","2,495","2,495","2,490","0.39K","-0.20%"
"04/29/2025","2,495","2,500","2,500","2,495","1.18K","-0.20%"
"04/28/2025","2,500","2,500","2,500","2,500","2.01K","0.00%"
"04/25/2025","2,500","2,560","2,560","2,500","7.32K","-2.34%"
"04/24/2025","2,560","2,550","2,560","2,550","2.07K","0.39%"
"04/23/2025","2,550","2,580","2,580","2,550","0.81K","-1.16%"
"04/22/2025","2,580","2,600","2,600","2,580","4.57K","-0.77%"
"04/18/2025","2,600","2,700","2,700","2,600","2.44K","-3.70%"
"04/17/2025","2,700","2,700","2,700","2,700","3.24K","0.00%"
"04/16/2025","2,700","2,735","2,735","2,700","2.18K","-1.28%"
"04/15/2025","2,735","2,650","2,735","2,650","1.42K","3.21%"
"04/14/2025","2,650","2,780","2,780","2,650","1.18K","-4.68%"
"04/11/2025","2,780","2,600","2,780","2,600","2.24K","6.92%"
"04/10/2025","2,600","2,535","2,600","2,535","6.03K","2.56%"
"04/09/2025","2,535","2,560","2,560","2,535","3.92K","-0.98%"
"04/08/2025","2,560","2,570","2,570","2,560","9.73K","-0.39%"
"04/07/2025","2,570","2,675","2,675","2,570","2.41K","-3.93%"
"04/04/2025","2,675","2,705","2,705","2,675","1.15K","-1.11%"
"04/03/2025","2,705","2,740","2,740","2,705","1.23K","-1.28%"
"04/02/2025","2,740","2,750","2,750","2,740","1.29K","-0.36%"
"04/01/2025","2,750","2,770","2,770","2,750","2.33K","-0.72%"
"03/28/2025","2,770","2,770","2,770","2,770","5.98K","0.00%"
"03/26/2025","2,770","2,715","2,770","2,715","0.39K","2.03%"
"03/25/2025","2,715","2,800","2,800","2,715","11.39K","-3.04%"
"03/24/2025","2,800","2,865","2,865","2,800","2.46K","-2.27%"
"03/21/2025","2,865","2,895","2,895","2,865","1.52K","-1.04%"
"03/20/2025","2,895","2,780","2,895","2,780","22.11K","4.14%"
"03/19/2025","2,780","2,750","2,780","2,750","4.29K","1.09%"
"03/18/2025","2,750","2,795","2,795","2,750","1.23K","-1.61%"
"03/17/2025","2,795","2,800","2,800","2,795","2.50K","-0.18%"
"03/14/2025","2,800","2,820","2,820","2,800","49.80K","-0.71%"
"03/13/2025","2,820","2,690","2,820","2,690","15.17K","4.83%"
"03/12/2025","2,690","2,670","2,690","2,670","2.85K","0.75%"
"03/11/2025","2,670","2,670","2,670","2,670","12.69K","0.00%"
"03/10/2025","2,670","2,625","2,670","2,625","2.13K","1.71%"
"03/07/2025","2,625","2,500","2,625","2,500","3.56K","5.00%"
"03/06/2025","2,500","2,480","2,500","2,480","2.62K","0.81%"
"03/05/2025","2,480","2,450","2,480","2,450","3.50K","1.22%"
"03/04/2025","2,450","2,420","2,450","2,420","3.89K","1.24%"
"03/03/2025","2,420","2,450","2,450","2,420","0.78K","-1.22%"
"02/28/2025","2,450","2,405","2,450","2,405","1.75K","1.87%"
"02/27/2025","2,405","2,485","2,485","2,405","1.58K","-3.22%"
"02/26/2025","2,485","2,410","2,485","2,410","1.58K","3.11%"
"02/25/2025","2,410","2,495","2,495","2,410","17.18K","-3.41%"
"02/24/2025","2,495","2,480","2,495","2,480","5.68K","0.60%"
"02/21/2025","2,480","2,495","2,495","2,480","1.30K","-0.60%"
"02/20/2025","2,495","2,500","2,500","2,495","1.75K","-0.20%"
"02/19/2025","2,500","2,490","2,500","2,490","0.38K","0.40%"
"02/18/2025","2,490","2,490","2,490","2,490","21.53K","0.00%"
"02/17/2025","2,490","2,495","2,495","2,490","2.27K","-0.20%"
"02/14/2025","2,495","2,445","2,495","2,445","17.36K","2.04%"
"02/13/2025","2,445","2,370","2,445","2,370","11.23K","3.16%"
"02/12/2025","2,370","2,370","2,370","2,370","0.93K","0.00%"
"02/11/2025","2,370","2,380","2,380","2,370","2.14K","-0.42%"
"02/10/2025","2,380","2,365","2,380","2,365","1.08K","0.63%"
"02/07/2025","2,365","2,360","2,365","2,360","3.04K","0.21%"
"02/06/2025","2,360","2,380","2,380","2,360","0.54K","-0.84%"
"02/05/2025","2,380","2,285","2,380","2,285","6.32K","4.16%"
"02/04/2025","2,285","2,275","2,285","2,275","1.99K","0.44%"
"02/03/2025","2,275","2,285","2,285","2,275","1.31K","-0.44%"
"01/31/2025","2,285","2,285","2,285","2,285","5.86K","0.00%"
"01/30/2025","2,285","2,285","2,285","2,285","0.90K","0.00%"
"01/29/2025","2,285","2,285","2,285","2,285","10.00K","0.00%"
"01/28/2025","2,285","2,285","2,285","2,285","1.95K","0.00%"
"01/27/2025","2,285","2,250","2,285","2,250","1.08K","1.56%"
"01/24/2025","2,250","2,240","2,250","2,240","1.22K","0.45%"
"01/23/2025","2,240","2,245","2,245","2,240","0.50K","-0.22%"
"01/22/2025","2,245","2,245","2,245","2,245","22.70K","0.00%"
"01/21/2025","2,245","2,245","2,245","2,245","1.18K","0.00%"
"01/20/2025","2,245","2,245","2,245","2,245","2.85K","0.00%"
"01/17/2025","2,245","2,205","2,245","2,205","0.74K","1.81%"
"01/16/2025","2,205","2,210","2,210","2,205","1.34K","-0.23%"
"01/15/2025","2,210","2,205","2,210","2,205","1.74K","0.23%"
"01/14/2025","2,205","2,245","2,245","2,205","6.13K","-1.78%"
"01/13/2025","2,245","2,220","2,245","2,220","4.80K","1.13%"
"01/10/2025","2,220","2,205","2,220","2,205","1.20K","0.68%"
"01/09/2025","2,205","2,245","2,245","2,205","2.68K","-1.78%"
"01/08/2025","2,245","2,250","2,250","2,245","2.14K","-0.22%"
"01/07/2025","2,250","2,290","2,290","2,250","5.77K","-1.75%"
"01/06/2025","2,290","2,290","2,290","2,290","0.88K","0.00%"
"01/03/2025","2,290","2,290","2,290","2,290","1.30K","0.00%"
"01/02/2025","2,290","2,295","2,295","2,290","0.86K","-0.22%"
"12/31/2024","2,295","2,250","2,295","2,250","3.15K","2.00%"
"12/30/2024","2,250","2,295","2,295","2,250","3.57K","-1.96%"
