"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","15,550.00","15,555.00","15,555.00","15,550.00","1.02K","-0.03%"
"06/04/2025","15,555.00","15,775.00","15,775.00","15,555.00","0.58K","-1.39%"
"06/03/2025","15,775.00","15,785.00","15,785.00","15,775.00","1.07K","-0.06%"
"06/02/2025","15,785.00","15,790.00","15,790.00","15,785.00","0.81K","-0.03%"
"05/30/2025","15,790.00","15,790.00","15,790.00","15,790.00","0.54K","0.00%"
"05/28/2025","15,790.00","15,795.00","15,795.00","15,790.00","3.30K","-0.03%"
"05/27/2025","15,795.00","15,900.00","15,900.00","15,795.00","1.34K","-0.66%"
"05/26/2025","15,900.00","15,800.00","15,900.00","15,800.00","0.50K","0.63%"
"05/23/2025","15,800.00","15,765.00","15,800.00","15,765.00","0.94K","0.22%"
"05/22/2025","15,765.00","15,850.00","15,850.00","15,765.00","0.42K","-0.54%"
"05/21/2025","15,850.00","15,400.00","15,850.00","15,400.00","1.72K","2.92%"
"05/20/2025","15,400.00","15,495.00","15,495.00","15,400.00","1.09K","-0.61%"
"05/19/2025","15,495.00","15,495.00","15,495.00","15,495.00","0.25K","0.00%"
"05/16/2025","15,495.00","15,500.00","15,500.00","15,495.00","0.98K","-0.03%"
"05/15/2025","15,500.00","15,500.00","15,500.00","15,500.00","0.26K","0.00%"
"05/14/2025","15,500.00","15,500.00","15,500.00","15,500.00","2.65K","0.00%"
"05/13/2025","15,500.00","15,500.00","15,500.00","15,500.00","2.35K","0.00%"
"05/12/2025","15,500.00","15,500.00","15,500.00","15,500.00","0.55K","0.00%"
"05/09/2025","15,500.00","15,300.00","15,500.00","15,300.00","0.20K","1.31%"
"05/08/2025","15,300.00","15,000.00","15,300.00","15,000.00","1.04K","2.00%"
"05/07/2025","15,000.00","14,940.00","15,000.00","14,940.00","1.42K","0.40%"
"05/06/2025","14,940.00","14,700.00","14,940.00","14,700.00","0.65K","1.63%"
"05/05/2025","14,700.00","14,800.00","14,800.00","14,700.00","0.82K","-0.68%"
"05/02/2025","14,800.00","14,695.00","14,800.00","14,695.00","0.41K","0.71%"
"04/30/2025","14,695.00","14,700.00","14,700.00","14,695.00","0.15K","-0.03%"
"04/29/2025","14,700.00","14,200.00","14,700.00","14,200.00","1.44K","3.52%"
"04/28/2025","14,200.00","14,500.00","14,500.00","14,200.00","0.99K","-2.07%"
"04/25/2025","14,500.00","14,850.00","14,850.00","14,500.00","0.77K","-2.36%"
"04/24/2025","14,850.00","14,300.00","14,850.00","14,300.00","2.50K","3.85%"
"04/23/2025","14,300.00","14,900.00","14,900.00","14,300.00","2.33K","-4.03%"
"04/22/2025","14,900.00","14,055.00","14,900.00","14,055.00","0.48K","6.01%"
"04/18/2025","14,055.00","14,995.00","14,995.00","14,055.00","3.49K","-6.27%"
"04/17/2025","14,995.00","14,500.00","14,995.00","14,500.00","1.20K","3.41%"
"04/16/2025","14,500.00","14,500.00","14,500.00","14,500.00","7.87K","0.00%"
"04/15/2025","14,500.00","14,605.00","14,605.00","14,500.00","1.60K","-0.72%"
"04/14/2025","14,605.00","15,745.00","15,745.00","14,605.00","1.86K","-7.24%"
"04/11/2025","15,745.00","15,200.00","15,745.00","15,200.00","0.59K","3.59%"
"04/10/2025","15,200.00","14,505.00","15,200.00","14,505.00","6.49K","4.79%"
"04/09/2025","14,505.00","14,985.00","14,985.00","14,505.00","4.78K","-3.20%"
"04/08/2025","14,985.00","15,150.00","15,150.00","14,985.00","4.71K","-1.09%"
"04/07/2025","15,150.00","15,150.00","15,150.00","15,150.00","0.98K","0.00%"
"04/04/2025","15,150.00","14,900.00","15,150.00","14,900.00","6.01K","1.68%"
"04/03/2025","14,900.00","14,800.00","14,900.00","14,800.00","1.53K","0.68%"
"04/02/2025","14,800.00","14,900.00","14,900.00","14,800.00","3.10K","-0.67%"
"04/01/2025","14,900.00","14,500.00","14,900.00","14,500.00","2.65K","2.76%"
"03/28/2025","14,500.00","13,970.00","14,500.00","13,970.00","2.40K","3.79%"
"03/26/2025","13,970.00","13,600.00","13,970.00","13,600.00","2.44K","2.72%"
"03/25/2025","13,600.00","13,300.00","13,600.00","13,300.00","9.87K","2.26%"
"03/24/2025","13,300.00","13,000.00","13,300.00","13,000.00","3.73K","2.31%"
"03/21/2025","13,000.00","13,970.00","13,970.00","13,000.00","3.06K","-6.94%"
"03/20/2025","13,970.00","14,800.00","14,800.00","13,970.00","4.04K","-5.61%"
"03/19/2025","14,800.00","15,700.00","15,700.00","14,800.00","6.15K","-5.73%"
"03/18/2025","15,700.00","16,000.00","16,000.00","15,700.00","0.45K","-1.88%"
"03/17/2025","16,000.00","16,195.00","16,195.00","16,000.00","1.96K","-1.20%"
"03/14/2025","16,195.00","16,200.00","16,200.00","16,195.00","0.42K","-0.03%"
"03/13/2025","16,200.00","16,200.00","16,200.00","16,200.00","1.32K","0.00%"
"03/12/2025","16,200.00","16,300.00","16,300.00","16,200.00","1.81K","-0.61%"
"03/11/2025","16,300.00","16,450.00","16,450.00","16,300.00","1.01K","-0.91%"
