"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","1,650.00","1,680.00","1,680.00","1,650.00","0.33K","-1.79%"
"06/04/2025","1,680.00","1,650.00","1,680.00","1,650.00","4.11K","1.82%"
"06/03/2025","1,650.00","1,685.00","1,685.00","1,650.00","5.36K","-2.08%"
"06/02/2025","1,685.00","1,685.00","1,685.00","1,685.00","0.18K","0.00%"
"05/30/2025","1,685.00","1,650.00","1,685.00","1,650.00","0.52K","2.12%"
"05/28/2025","1,650.00","1,690.00","1,690.00","1,650.00","4.57K","-2.37%"
"05/27/2025","1,690.00","1,615.00","1,690.00","1,615.00","0.04K","4.64%"
"05/26/2025","1,615.00","1,695.00","1,695.00","1,615.00","3.57K","-4.72%"
"05/23/2025","1,695.00","1,780.00","1,780.00","1,695.00","6.20K","-4.78%"
"05/22/2025","1,780.00","1,720.00","1,780.00","1,720.00","11.89K","3.49%"
"05/21/2025","1,720.00","1,680.00","1,720.00","1,680.00","3.61K","2.38%"
"05/20/2025","1,680.00","1,680.00","1,680.00","1,680.00","1.17K","0.00%"
"05/19/2025","1,680.00","1,690.00","1,690.00","1,680.00","20.91K","-0.59%"
"05/16/2025","1,690.00","1,600.00","1,690.00","1,600.00","34.12K","5.63%"
"05/15/2025","1,600.00","1,600.00","1,600.00","1,600.00","2.63K","0.00%"
"05/14/2025","1,600.00","1,600.00","1,600.00","1,600.00","0.17K","0.00%"
"05/13/2025","1,600.00","1,560.00","1,600.00","1,560.00","7.45K","2.56%"
"05/12/2025","1,560.00","1,620.00","1,620.00","1,560.00","0.75K","-3.70%"
"05/09/2025","1,620.00","1,625.00","1,625.00","1,620.00","0.64K","-0.31%"
"05/08/2025","1,625.00","1,600.00","1,625.00","1,600.00","7.02K","1.56%"
"05/07/2025","1,600.00","1,600.00","1,600.00","1,600.00","0.59K","0.00%"
"05/06/2025","1,600.00","1,625.00","1,625.00","1,600.00","3.05K","-1.54%"
"05/05/2025","1,625.00","1,680.00","1,680.00","1,625.00","0.20K","-3.27%"
"05/02/2025","1,680.00","1,700.00","1,700.00","1,680.00","5.66K","-1.18%"
"04/30/2025","1,700.00","1,600.00","1,700.00","1,600.00","0.63K","6.25%"
"04/29/2025","1,600.00","1,580.00","1,600.00","1,580.00","7.82K","1.27%"
"04/28/2025","1,580.00","1,580.00","1,580.00","1,580.00","2.35K","0.00%"
"04/25/2025","1,580.00","1,580.00","1,580.00","1,580.00","0.06K","0.00%"
"04/24/2025","1,580.00","1,580.00","1,580.00","1,580.00","0.22K","0.00%"
"04/23/2025","1,580.00","1,585.00","1,585.00","1,580.00","1.20K","-0.32%"
"04/22/2025","1,585.00","1,585.00","1,585.00","1,585.00","7.30K","0.00%"
"04/18/2025","1,585.00","1,585.00","1,585.00","1,585.00","0.07K","0.00%"
"04/17/2025","1,585.00","1,585.00","1,585.00","1,585.00","0.15K","0.00%"
"04/16/2025","1,585.00","1,585.00","1,585.00","1,585.00","0.20K","0.00%"
"04/15/2025","1,585.00","1,600.00","1,600.00","1,585.00","0.16K","-0.94%"
"04/14/2025","1,600.00","1,555.00","1,600.00","1,555.00","0.12K","2.89%"
"04/11/2025","1,555.00","1,555.00","1,555.00","1,555.00","0.15K","0.00%"
"04/10/2025","1,555.00","1,550.00","1,555.00","1,550.00","0.11K","0.32%"
"04/09/2025","1,550.00","1,580.00","1,580.00","1,550.00","0.17K","-1.90%"
"04/08/2025","1,580.00","1,585.00","1,585.00","1,580.00","0.29K","-0.32%"
"04/07/2025","1,585.00","1,590.00","1,590.00","1,585.00","7.39K","-0.31%"
"04/04/2025","1,590.00","1,575.00","1,590.00","1,575.00","0.65K","0.95%"
"04/03/2025","1,575.00","1,580.00","1,580.00","1,575.00","0.19K","-0.32%"
"04/02/2025","1,580.00","1,590.00","1,590.00","1,580.00","11.10K","-0.63%"
"04/01/2025","1,590.00","1,595.00","1,595.00","1,590.00","0.36K","-0.31%"
"03/28/2025","1,595.00","1,595.00","1,595.00","1,595.00","0.43K","0.00%"
"03/26/2025","1,595.00","1,595.00","1,595.00","1,595.00","1.29K","0.00%"
"03/25/2025","1,595.00","1,590.00","1,595.00","1,590.00","9.89K","0.31%"
"03/24/2025","1,590.00","1,565.00","1,590.00","1,565.00","0.08K","1.60%"
"03/21/2025","1,565.00","1,565.00","1,565.00","1,565.00","0.02K","0.00%"
"03/20/2025","1,565.00","1,565.00","1,565.00","1,565.00","1.15K","0.00%"
"03/19/2025","1,565.00","1,610.00","1,610.00","1,565.00","1.46K","-2.80%"
"03/18/2025","1,610.00","1,620.00","1,620.00","1,610.00","0.16K","-0.62%"
"03/17/2025","1,620.00","1,620.00","1,620.00","1,620.00","0.11K","0.00%"
"03/14/2025","1,620.00","1,595.00","1,620.00","1,595.00","0.17K","1.57%"
"03/13/2025","1,595.00","1,620.00","1,620.00","1,595.00","0.20K","-1.54%"
"03/12/2025","1,620.00","1,600.00","1,620.00","1,600.00","0.42K","1.25%"
"03/11/2025","1,600.00","1,600.00","1,600.00","1,600.00","1.39K","0.00%"
"03/10/2025","1,600.00","1,635.00","1,635.00","1,600.00","0.55K","-2.14%"
"03/07/2025","1,635.00","1,645.00","1,645.00","1,635.00","1.15K","-0.61%"
"03/06/2025","1,645.00","1,650.00","1,650.00","1,645.00","0.54K","-0.30%"
"03/05/2025","1,650.00","1,660.00","1,660.00","1,650.00","3.27K","-0.60%"
"03/04/2025","1,660.00","1,665.00","1,665.00","1,660.00","1.34K","-0.30%"
"03/03/2025","1,665.00","1,550.00","1,665.00","1,550.00","1.02K","7.42%"
"02/28/2025","1,550.00","1,595.00","1,595.00","1,550.00","167.11K","-2.82%"
"02/27/2025","1,595.00","1,595.00","1,595.00","1,595.00","0.42K","0.00%"
"02/26/2025","1,595.00","1,595.00","1,595.00","1,595.00","1.28K","0.00%"
"02/25/2025","1,595.00","1,595.00","1,595.00","1,595.00","0.91K","0.00%"
"02/24/2025","1,595.00","1,595.00","1,595.00","1,595.00","0.13K","0.00%"
"02/21/2025","1,595.00","1,595.00","1,595.00","1,595.00","0.55K","0.00%"
"02/20/2025","1,595.00","1,665.00","1,665.00","1,595.00","0.10K","-4.20%"
"02/19/2025","1,665.00","1,665.00","1,665.00","1,665.00","0.20K","0.00%"
"02/18/2025","1,665.00","1,675.00","1,675.00","1,665.00","1.47K","-0.60%"
"02/17/2025","1,675.00","1,675.00","1,675.00","1,675.00","0.08K","0.00%"
"02/14/2025","1,675.00","1,675.00","1,675.00","1,675.00","7.36K","0.00%"
"02/13/2025","1,675.00","1,675.00","1,675.00","1,675.00","0.53K","0.00%"
