"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","6,550","6,740","6,740","6,550","3.46K","-2.82%"
"06/04/2025","6,740","6,800","6,800","6,740","11.29K","-0.88%"
"06/03/2025","6,800","6,800","6,800","6,800","11.01K","0.00%"
"06/02/2025","6,800","6,995","6,995","6,800","5.07K","-2.79%"
"05/30/2025","6,995","6,910","6,995","6,910","4.62K","1.23%"
"05/28/2025","6,910","6,900","6,910","6,900","8.11K","0.14%"
"05/27/2025","6,900","6,945","6,945","6,900","8.76K","-0.65%"
"05/26/2025","6,945","6,990","6,990","6,945","12.42K","-0.64%"
"05/23/2025","6,990","6,900","6,990","6,900","1.43K","1.30%"
"05/22/2025","6,900","6,800","6,900","6,800","2.41K","1.47%"
"05/21/2025","6,800","6,900","6,900","6,800","3.44K","-1.45%"
"05/20/2025","6,900","6,985","6,985","6,900","2.33K","-1.22%"
"05/19/2025","6,985","6,985","6,985","6,985","36.80K","0.00%"
"05/16/2025","6,985","6,800","6,985","6,800","4.01K","2.72%"
"05/15/2025","6,800","6,800","6,800","6,800","1.81K","0.00%"
"05/14/2025","6,800","6,700","6,800","6,700","4.42K","1.49%"
"05/13/2025","6,700","6,550","6,700","6,550","2.50K","2.29%"
"05/12/2025","6,550","6,500","6,550","6,500","2.91K","0.77%"
"05/09/2025","6,500","6,425","6,500","6,425","3.94K","1.17%"
"05/08/2025","6,425","6,405","6,425","6,405","12.35K","0.31%"
"05/07/2025","6,405","6,400","6,405","6,400","1.95K","0.08%"
"05/06/2025","6,400","6,350","6,400","6,350","8.19K","0.79%"
"05/05/2025","6,350","6,340","6,350","6,340","1.28K","0.16%"
"05/02/2025","6,340","6,300","6,340","6,300","8.81K","0.63%"
"04/30/2025","6,300","6,200","6,300","6,200","7.14K","1.61%"
"04/29/2025","6,200","6,250","6,250","6,200","18.17K","-0.80%"
"04/28/2025","6,250","6,085","6,250","6,085","9.17K","2.71%"
"04/25/2025","6,085","6,000","6,085","6,000","9.51K","1.42%"
"04/24/2025","6,000","6,035","6,035","6,000","7.52K","-0.58%"
