"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","2,400","2,440","2,440","2,400","0.13K","-1.64%"
"06/04/2025","2,440","2,440","2,440","2,440","0.05K","0.00%"
"06/03/2025","2,440","2,440","2,440","2,440","0.17K","0.00%"
"06/02/2025","2,440","2,440","2,440","2,440","0.45K","0.00%"
"05/30/2025","2,440","2,450","2,450","2,440","0.06K","-0.41%"
"05/28/2025","2,450","2,450","2,450","2,450","0.36K","0.00%"
"05/27/2025","2,450","2,360","2,450","2,360","0.89K","3.81%"
"05/26/2025","2,360","2,380","2,380","2,360","0.50K","-0.84%"
"05/23/2025","2,380","2,370","2,380","2,370","0.72K","0.42%"
"05/22/2025","2,370","2,205","2,370","2,205","2.19K","7.48%"
"05/21/2025","2,205","2,205","2,205","2,205","0.49K","0.00%"
"05/20/2025","2,205","2,245","2,245","2,205","0.01K","-1.78%"
"05/19/2025","2,245","2,205","2,245","2,205","0.22K","1.81%"
"05/16/2025","2,205","2,245","2,245","2,205","0.79K","-1.78%"
"05/15/2025","2,245","2,250","2,250","2,245","0.20K","-0.22%"
"05/14/2025","2,250","2,280","2,280","2,250","1.72K","-1.32%"
"05/13/2025","2,280","2,245","2,280","2,245","0.60K","1.56%"
"05/12/2025","2,245","2,245","2,245","2,245","0.75K","0.00%"
"05/09/2025","2,245","2,290","2,290","2,245","0.12K","-1.97%"
"05/08/2025","2,290","2,150","2,290","2,150","0.18K","6.51%"
"05/07/2025","2,150","2,050","2,150","2,050","0.59K","4.88%"
"05/06/2025","2,050","2,090","2,090","2,050","0.12K","-1.91%"
"05/05/2025","2,090","2,080","2,090","2,080","0.51K","0.48%"
"05/02/2025","2,080","1,935","2,080","1,935","2.68K","7.49%"
"04/30/2025","1,935","1,950","1,950","1,935","0.01K","-0.77%"
"04/29/2025","1,950","1,935","1,950","1,935","0.03K","0.78%"
"04/28/2025","1,935","1,950","1,950","1,935","0.04K","-0.77%"
"04/25/2025","1,950","1,950","1,950","1,950","0.01K","0.00%"
"04/24/2025","1,950","1,820","1,950","1,820","0.25K","7.14%"
"04/23/2025","1,820","1,815","1,820","1,815","1.19K","0.28%"
"04/22/2025","1,815","1,930","1,930","1,815","0.01K","-5.96%"
"04/18/2025","1,930","1,930","1,930","1,930","0.04K","0.00%"
"04/17/2025","1,930","1,930","1,930","1,930","0.16K","0.00%"
"04/16/2025","1,930","1,930","1,930","1,930","0.03K","0.00%"
"04/15/2025","1,930","1,930","1,930","1,930","0.18K","0.00%"
"04/14/2025","1,930","1,800","1,930","1,800","0.18K","7.22%"
"04/11/2025","1,800","1,850","1,850","1,800","6.99K","-2.70%"
"04/10/2025","1,850","2,000","2,000","1,850","0.24K","-7.50%"
"04/09/2025","2,000","2,080","2,080","2,000","1.99K","-3.85%"
"04/08/2025","2,080","2,080","2,080","2,080","0.02K","0.00%"
"04/07/2025","2,080","2,085","2,085","2,080","0.00K","-0.24%"
"04/04/2025","2,085","2,000","2,085","2,000","0.22K","4.25%"
"04/02/2025","2,000","2,000","2,000","2,000","0.08K","0.00%"
"04/01/2025","2,000","2,035","2,035","2,000","0.11K","-1.72%"
"03/28/2025","2,035","2,000","2,035","2,000","0.03K","1.75%"
"03/26/2025","2,000","2,000","2,000","2,000","0.24K","0.00%"
"03/25/2025","2,000","2,045","2,045","2,000","0.02K","-2.20%"
"03/24/2025","2,045","2,050","2,050","2,045","0.00K","-0.24%"
"03/21/2025","2,050","1,945","2,050","1,945","0.10K","5.40%"
"03/20/2025","1,945","1,945","1,945","1,945","0.66K","0.00%"
"03/19/2025","1,945","1,945","1,945","1,945","5.09K","0.00%"
"03/18/2025","1,945","2,080","2,080","1,945","2.88K","-6.49%"
"03/17/2025","2,080","1,945","2,080","1,945","0.55K","6.94%"
"03/14/2025","1,945","1,945","1,945","1,945","0.12K","0.00%"
"03/13/2025","1,945","1,945","1,945","1,945","6.94K","0.00%"
"03/12/2025","1,945","1,895","1,945","1,895","0.66K","2.64%"
"03/11/2025","1,895","1,860","1,895","1,860","0.66K","1.88%"
"03/10/2025","1,860","1,875","1,875","1,860","0.42K","-0.80%"
"03/07/2025","1,875","1,875","1,875","1,875","0.53K","0.00%"
"03/06/2025","1,875","1,880","1,880","1,875","0.59K","-0.27%"
"03/05/2025","1,880","1,810","1,880","1,810","1.48K","3.87%"
"03/04/2025","1,810","1,880","1,880","1,810","0.44K","-3.72%"
"03/03/2025","1,880","1,885","1,885","1,880","2.19K","-0.27%"
"02/28/2025","1,885","1,885","1,885","1,885","0.10K","0.00%"
"02/27/2025","1,885","1,760","1,885","1,760","0.05K","7.10%"
"02/26/2025","1,760","1,900","1,900","1,760","3.16K","-7.37%"
"02/25/2025","1,900","1,900","1,900","1,900","0.52K","0.00%"
"02/24/2025","1,900","1,865","1,900","1,865","2.56K","1.88%"
"02/21/2025","1,865","1,860","1,865","1,860","0.26K","0.27%"
"02/20/2025","1,860","1,870","1,870","1,860","0.05K","-0.53%"
"02/19/2025","1,870","1,870","1,870","1,870","0.21K","0.00%"
"02/18/2025","1,870","1,990","1,990","1,870","0.91K","-6.03%"
"02/17/2025","1,990","1,995","1,995","1,990","0.06K","-0.25%"
"02/14/2025","1,995","1,995","1,995","1,995","0.48K","0.00%"
"02/13/2025","1,995","1,860","1,995","1,860","0.11K","7.26%"
"02/12/2025","1,860","1,850","1,860","1,850","0.03K","0.54%"
"02/11/2025","1,850","1,985","1,985","1,850","2.64K","-6.80%"
"02/07/2025","1,985","1,985","1,985","1,985","0.05K","0.00%"
"02/06/2025","1,985","1,975","1,985","1,975","0.06K","0.51%"
"02/05/2025","1,975","1,850","1,975","1,850","0.03K","6.76%"
"02/04/2025","1,850","1,850","1,850","1,850","0.31K","0.00%"
"02/03/2025","1,850","1,810","1,850","1,810","0.84K","2.21%"
"01/31/2025","1,810","1,945","1,945","1,810","0.52K","-6.94%"
"01/29/2025","1,945","2,100","2,100","1,945","0.34K","-7.38%"
