"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","690","690","690","690","0.19K","0.00%"
"06/04/2025","690","690","690","690","0.53K","0.00%"
"06/03/2025","690","690","690","690","0.82K","0.00%"
"06/02/2025","690","695","695","690","0.91K","-0.72%"
"05/30/2025","695","700","700","695","0.20K","-0.71%"
"05/28/2025","700","740","740","700","2.42K","-5.41%"
"05/27/2025","740","740","740","740","1.31K","0.00%"
"05/26/2025","740","695","740","695","4.75K","6.47%"
"05/23/2025","695","750","750","695","0.80K","-7.33%"
"05/22/2025","750","750","750","750","2.43K","0.00%"
"05/21/2025","750","750","750","750","2.49K","0.00%"
"05/20/2025","750","720","750","720","2.21K","4.17%"
"05/19/2025","720","700","720","700","2.47K","2.86%"
"05/16/2025","700","700","700","700","4.55K","0.00%"
"05/15/2025","700","675","700","675","23.31K","3.70%"
"05/14/2025","675","635","675","635","1.57K","6.30%"
"05/13/2025","635","635","635","635","0.77K","0.00%"
"05/12/2025","635","630","635","630","0.91K","0.79%"
"05/09/2025","630","640","640","630","0.20K","-1.56%"
"05/08/2025","640","635","640","635","0.93K","0.79%"
"05/07/2025","635","635","635","635","3.55K","0.00%"
"05/06/2025","635","680","680","635","0.06K","-6.62%"
"05/05/2025","680","700","700","680","0.16K","-2.86%"
"05/02/2025","700","660","700","660","0.08K","6.06%"
"04/30/2025","660","655","660","655","0.16K","0.76%"
"04/29/2025","655","650","655","650","1.29K","0.77%"
"04/28/2025","650","650","650","650","0.35K","0.00%"
"04/25/2025","650","650","650","650","0.00K","0.00%"
"04/24/2025","650","650","650","650","0.16K","0.00%"
"04/23/2025","650","700","700","650","1.30K","-7.14%"
"04/22/2025","700","700","700","700","0.02K","0.00%"
"04/17/2025","700","700","700","700","0.12K","0.00%"
"04/16/2025","700","700","700","700","0.03K","0.00%"
"04/15/2025","700","700","700","700","0.01K","0.00%"
"04/14/2025","700","680","700","680","0.15K","2.94%"
"04/11/2025","680","730","730","680","0.65K","-6.85%"
"04/09/2025","730","730","730","730","0.17K","0.00%"
"04/08/2025","730","730","730","730","0.21K","0.00%"
"04/07/2025","730","785","785","730","0.01K","-7.01%"
"04/04/2025","785","790","790","785","0.00K","-0.63%"
"04/02/2025","790","800","800","790","0.03K","-1.25%"
"04/01/2025","800","790","800","790","0.36K","1.27%"
"03/28/2025","790","750","790","750","5.37K","5.33%"
