"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","1,025.00","1,035.00","1,035.00","1,025.00","1.69K","-0.97%"
"06/04/2025","1,035.00","1,025.00","1,035.00","1,025.00","4.08K","0.98%"
"06/03/2025","1,025.00","1,000.00","1,025.00","1,000.00","11.62K","2.50%"
"06/02/2025","1,000.00","950.00","1,000.00","950.00","4.69K","5.26%"
"05/30/2025","950.00","980.00","980.00","950.00","6.18K","-3.06%"
"05/28/2025","980.00","985.00","985.00","980.00","5.43K","-0.51%"
"05/27/2025","985.00","1,000.00","1,000.00","985.00","6.77K","-1.50%"
"05/26/2025","1,000.00","1,000.00","1,000.00","1,000.00","12.85K","0.00%"
"05/23/2025","1,000.00","995.00","1,000.00","995.00","11.49K","0.50%"
"05/22/2025","995.00","980.00","995.00","980.00","3.04K","1.53%"
"05/21/2025","980.00","1,000.00","1,000.00","980.00","7.95K","-2.00%"
"05/20/2025","1,000.00","995.00","1,000.00","995.00","1.03K","0.50%"
"05/19/2025","995.00","995.00","995.00","995.00","4.22K","0.00%"
"05/16/2025","995.00","985.00","995.00","985.00","2.48K","1.02%"
"05/15/2025","985.00","1,000.00","1,000.00","985.00","5.92K","-1.50%"
"05/14/2025","1,000.00","1,010.00","1,010.00","1,000.00","3.61K","-0.99%"
"05/13/2025","1,010.00","995.00","1,010.00","995.00","6.94K","1.51%"
"05/12/2025","995.00","990.00","995.00","990.00","20.41K","0.51%"
"05/09/2025","990.00","985.00","990.00","985.00","11.88K","0.51%"
"05/08/2025","985.00","990.00","990.00","985.00","8.52K","-0.51%"
"05/07/2025","990.00","985.00","990.00","985.00","9.93K","0.51%"
"05/06/2025","985.00","990.00","990.00","985.00","4.86K","-0.51%"
"05/05/2025","990.00","975.00","990.00","975.00","2.39K","1.54%"
"05/02/2025","975.00","960.00","975.00","960.00","4.06K","1.56%"
"04/30/2025","960.00","955.00","960.00","955.00","3.13K","0.52%"
"04/29/2025","955.00","975.00","975.00","955.00","2.80K","-2.05%"
"04/28/2025","975.00","975.00","975.00","975.00","3.45K","0.00%"
"04/25/2025","975.00","985.00","985.00","975.00","3.85K","-1.02%"
"04/24/2025","985.00","980.00","985.00","980.00","1.90K","0.51%"
"04/23/2025","980.00","990.00","990.00","980.00","2.29K","-1.01%"
"04/22/2025","990.00","990.00","990.00","990.00","4.16K","0.00%"
"04/18/2025","990.00","990.00","990.00","990.00","2.17K","0.00%"
"04/17/2025","990.00","985.00","990.00","985.00","2.20K","0.51%"
"04/16/2025","985.00","990.00","990.00","985.00","2.33K","-0.51%"
"04/15/2025","990.00","960.00","990.00","960.00","3.02K","3.13%"
"04/14/2025","960.00","920.00","960.00","920.00","5.67K","4.35%"
"04/11/2025","920.00","920.00","920.00","920.00","4.02K","0.00%"
"04/10/2025","920.00","960.00","960.00","920.00","1.43K","-4.17%"
"04/09/2025","960.00","985.00","985.00","960.00","3.93K","-2.54%"
"04/08/2025","985.00","985.00","985.00","985.00","4.36K","0.00%"
"04/07/2025","985.00","985.00","985.00","985.00","2.49K","0.00%"
"04/04/2025","985.00","985.00","985.00","985.00","0.98K","0.00%"
"04/03/2025","985.00","995.00","995.00","985.00","1.40K","-1.01%"
"04/02/2025","995.00","995.00","995.00","995.00","0.85K","0.00%"
"04/01/2025","995.00","1,000.00","1,000.00","995.00","4.25K","-0.50%"
"03/28/2025","1,000.00","995.00","1,000.00","995.00","7.64K","0.50%"
"03/26/2025","995.00","990.00","995.00","990.00","3.82K","0.51%"
"03/25/2025","990.00","1,000.00","1,000.00","990.00","6.72K","-1.00%"
"03/24/2025","1,000.00","1,010.00","1,010.00","1,000.00","4.41K","-0.99%"
"03/21/2025","1,010.00","1,020.00","1,020.00","1,010.00","6.42K","-0.98%"
"03/20/2025","1,020.00","1,000.00","1,020.00","1,000.00","5.13K","2.00%"
"03/19/2025","1,000.00","980.00","1,000.00","980.00","17.83K","2.04%"
"03/18/2025","980.00","980.00","980.00","980.00","22.83K","0.00%"
"03/17/2025","980.00","980.00","980.00","980.00","8.77K","0.00%"
"03/14/2025","980.00","920.00","980.00","920.00","9.57K","6.52%"
"03/13/2025","920.00","900.00","920.00","900.00","5.43K","2.22%"
"03/12/2025","900.00","890.00","900.00","890.00","11.89K","1.12%"
"03/11/2025","890.00","885.00","890.00","885.00","6.13K","0.56%"
"03/10/2025","885.00","825.00","885.00","825.00","5.08K","7.27%"
"03/07/2025","825.00","830.00","830.00","825.00","4.95K","-0.60%"
"03/06/2025","830.00","835.00","835.00","830.00","7.14K","-0.60%"
"03/05/2025","835.00","830.00","835.00","830.00","2.42K","0.60%"
"03/04/2025","830.00","835.00","835.00","830.00","8.75K","-0.60%"
"03/03/2025","835.00","780.00","835.00","780.00","2.64K","7.05%"
"02/28/2025","780.00","810.00","810.00","780.00","4.70K","-3.70%"
"02/27/2025","810.00","865.00","865.00","810.00","6.04K","-6.36%"
"02/26/2025","865.00","900.00","900.00","865.00","17.00K","-3.89%"
"02/25/2025","900.00","915.00","915.00","900.00","11.37K","-1.64%"
"02/24/2025","915.00","900.00","915.00","900.00","3.78K","1.67%"
"02/21/2025","900.00","920.00","920.00","900.00","8.58K","-2.17%"
"02/20/2025","920.00","905.00","920.00","905.00","6.50K","1.66%"
"02/19/2025","905.00","865.00","905.00","865.00","32.07K","4.62%"
"02/18/2025","865.00","805.00","865.00","805.00","3.18K","7.45%"
"02/17/2025","805.00","750.00","805.00","750.00","21.17K","7.33%"
"02/14/2025","750.00","775.00","775.00","750.00","0.23K","-3.23%"
"02/13/2025","775.00","770.00","775.00","770.00","3.91K","0.65%"
"02/12/2025","770.00","770.00","770.00","770.00","0.92K","0.00%"
"02/11/2025","770.00","725.00","770.00","725.00","4.85K","6.21%"
"02/10/2025","725.00","730.00","730.00","725.00","0.34K","-0.68%"
"02/07/2025","730.00","730.00","730.00","730.00","1.23K","0.00%"
"02/06/2025","730.00","730.00","730.00","730.00","0.98K","0.00%"
"02/05/2025","730.00","730.00","730.00","730.00","1.12K","0.00%"
"02/04/2025","730.00","740.00","740.00","730.00","8.84K","-1.35%"
"02/03/2025","740.00","745.00","745.00","740.00","1.40K","-0.67%"
"01/31/2025","745.00","730.00","745.00","730.00","1.79K","2.05%"
"01/30/2025","730.00","745.00","745.00","730.00","1.60K","-2.01%"
"01/29/2025","745.00","745.00","745.00","745.00","1.06K","0.00%"
"01/28/2025","745.00","750.00","750.00","745.00","1.12K","-0.67%"
"01/27/2025","750.00","745.00","750.00","745.00","2.31K","0.67%"
