"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","6,350","6,345","6,350","6,345","0.14K","0.08%"
"06/04/2025","6,345","6,350","6,350","6,345","3.58K","-0.08%"
"06/03/2025","6,350","6,300","6,350","6,300","0.77K","0.79%"
"06/02/2025","6,300","6,350","6,350","6,300","0.53K","-0.79%"
"05/30/2025","6,350","6,300","6,350","6,300","0.28K","0.79%"
"05/28/2025","6,300","6,400","6,400","6,300","0.16K","-1.56%"
"05/27/2025","6,400","6,400","6,400","6,400","0.33K","0.00%"
"05/26/2025","6,400","6,400","6,400","6,400","0.55K","0.00%"
"05/23/2025","6,400","6,300","6,400","6,300","3.25K","1.59%"
"05/22/2025","6,300","6,250","6,300","6,250","0.37K","0.80%"
"05/21/2025","6,250","5,865","6,250","5,865","0.29K","6.56%"
"05/20/2025","5,865","6,200","6,200","5,865","0.57K","-5.40%"
"05/19/2025","6,200","6,200","6,200","6,200","0.16K","0.00%"
"05/16/2025","6,200","6,130","6,200","6,130","1.60K","1.14%"
"05/15/2025","6,130","6,130","6,130","6,130","0.12K","0.00%"
"05/14/2025","6,130","6,130","6,130","6,130","0.39K","0.00%"
"05/13/2025","6,130","6,100","6,130","6,100","1.40K","0.49%"
"05/12/2025","6,100","6,090","6,100","6,090","0.93K","0.16%"
"05/09/2025","6,090","6,050","6,090","6,050","0.69K","0.66%"
"05/08/2025","6,050","6,130","6,130","6,050","8.59K","-1.31%"
"05/07/2025","6,130","6,100","6,130","6,100","1.70K","0.49%"
"05/06/2025","6,100","6,000","6,100","6,000","0.57K","1.67%"
"05/05/2025","6,000","6,270","6,270","6,000","0.60K","-4.31%"
"05/02/2025","6,270","6,400","6,400","6,270","9.13K","-2.03%"
"04/30/2025","6,400","6,395","6,400","6,395","1.23K","0.08%"
"04/29/2025","6,395","6,395","6,395","6,395","0.23K","0.00%"
"04/28/2025","6,395","6,290","6,395","6,290","0.19K","1.67%"
"04/25/2025","6,290","6,275","6,290","6,275","1.05K","0.24%"
"04/24/2025","6,275","6,200","6,275","6,200","0.51K","1.21%"
"04/23/2025","6,200","6,210","6,210","6,200","0.18K","-0.16%"
"04/22/2025","6,210","6,250","6,250","6,210","3.43K","-0.64%"
"04/18/2025","6,250","6,200","6,250","6,200","0.21K","0.81%"
"04/17/2025","6,200","6,000","6,200","6,000","0.44K","3.33%"
"04/16/2025","6,000","6,300","6,300","6,000","1.01K","-4.76%"
"04/15/2025","6,300","6,200","6,300","6,200","0.45K","1.61%"
"04/14/2025","6,200","6,300","6,300","6,200","0.51K","-1.59%"
"04/11/2025","6,300","6,300","6,300","6,300","0.42K","0.00%"
"04/10/2025","6,300","6,320","6,320","6,300","0.39K","-0.32%"
"04/09/2025","6,320","6,480","6,480","6,320","0.83K","-2.47%"
"04/08/2025","6,480","6,495","6,495","6,480","0.31K","-0.23%"
"04/07/2025","6,495","6,400","6,495","6,400","0.24K","1.48%"
"04/04/2025","6,400","6,450","6,450","6,400","0.61K","-0.78%"
"04/03/2025","6,450","6,570","6,570","6,450","1.68K","-1.83%"
"04/02/2025","6,570","6,600","6,600","6,570","0.63K","-0.45%"
"04/01/2025","6,600","6,580","6,600","6,580","1.70K","0.30%"
"03/28/2025","6,580","6,545","6,580","6,545","0.90K","0.53%"
"03/26/2025","6,545","6,550","6,550","6,545","0.20K","-0.08%"
"03/25/2025","6,550","6,550","6,550","6,550","2.24K","0.00%"
"03/24/2025","6,550","6,450","6,550","6,450","0.44K","1.55%"
"03/21/2025","6,450","6,500","6,500","6,450","1.33K","-0.77%"
"03/20/2025","6,500","6,500","6,500","6,500","0.80K","0.00%"
"03/19/2025","6,500","6,600","6,600","6,500","2.09K","-1.52%"
"03/18/2025","6,600","6,600","6,600","6,600","0.88K","0.00%"
"03/17/2025","6,600","6,580","6,600","6,580","1.78K","0.30%"
"03/14/2025","6,580","6,585","6,585","6,580","11.03K","-0.08%"
