"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","1,565","1,595","1,595","1,565","0.58K","-1.88%"
"06/04/2025","1,595","1,650","1,650","1,595","4.10K","-3.33%"
"06/03/2025","1,650","1,650","1,650","1,650","2.09K","0.00%"
"06/02/2025","1,650","1,700","1,700","1,650","2.87K","-2.94%"
"05/30/2025","1,700","1,600","1,700","1,600","13.29K","6.25%"
"05/28/2025","1,600","1,515","1,600","1,515","21.85K","5.61%"
"05/27/2025","1,515","1,500","1,515","1,500","18.08K","1.00%"
"05/26/2025","1,500","1,475","1,500","1,475","18.06K","1.69%"
"05/23/2025","1,475","1,480","1,480","1,475","9.30K","-0.34%"
"05/22/2025","1,480","1,450","1,480","1,450","10.48K","2.07%"
"05/21/2025","1,450","1,490","1,490","1,450","5.54K","-2.68%"
"05/20/2025","1,490","1,500","1,500","1,490","2.48K","-0.67%"
"05/19/2025","1,500","1,490","1,500","1,490","6.28K","0.67%"
"05/16/2025","1,490","1,415","1,490","1,415","12.54K","5.30%"
"05/15/2025","1,415","1,390","1,415","1,390","4.27K","1.80%"
"05/14/2025","1,390","1,420","1,420","1,390","9.52K","-2.11%"
"05/13/2025","1,420","1,430","1,430","1,420","3.12K","-0.70%"
"05/12/2025","1,430","1,420","1,430","1,420","5.18K","0.70%"
"05/09/2025","1,420","1,405","1,420","1,405","7.22K","1.07%"
"05/08/2025","1,405","1,410","1,410","1,405","8.32K","-0.35%"
"05/07/2025","1,410","1,450","1,450","1,410","3.29K","-2.76%"
"05/06/2025","1,450","1,365","1,450","1,365","8.04K","6.23%"
"05/05/2025","1,365","1,360","1,365","1,360","2.41K","0.37%"
"05/02/2025","1,360","1,365","1,365","1,360","10.35K","-0.37%"
"04/30/2025","1,365","1,340","1,365","1,340","2.46K","1.87%"
"04/29/2025","1,340","1,335","1,340","1,335","2.53K","0.37%"
"04/28/2025","1,335","1,320","1,335","1,320","0.60K","1.14%"
"04/25/2025","1,320","1,340","1,340","1,320","10.63K","-1.49%"
"04/24/2025","1,340","1,320","1,340","1,320","0.69K","1.52%"
"04/23/2025","1,320","1,345","1,345","1,320","6.02K","-1.86%"
"04/22/2025","1,345","1,330","1,345","1,330","13.21K","1.13%"
"04/18/2025","1,330","1,340","1,340","1,330","0.18K","-0.75%"
"04/17/2025","1,340","1,340","1,340","1,340","1.33K","0.00%"
"04/16/2025","1,340","1,330","1,340","1,330","7.03K","0.75%"
"04/15/2025","1,330","1,340","1,340","1,330","1.49K","-0.75%"
"04/14/2025","1,340","1,310","1,340","1,310","0.27K","2.29%"
"04/11/2025","1,310","1,305","1,310","1,305","4.58K","0.38%"
"04/10/2025","1,305","1,325","1,325","1,305","1.40K","-1.51%"
"04/09/2025","1,325","1,350","1,350","1,325","24.20K","-1.85%"
"04/08/2025","1,350","1,370","1,370","1,350","0.60K","-1.46%"
"04/07/2025","1,370","1,370","1,370","1,370","1.93K","0.00%"
"04/04/2025","1,370","1,380","1,380","1,370","2.17K","-0.72%"
"04/03/2025","1,380","1,385","1,385","1,380","3.35K","-0.36%"
"04/02/2025","1,385","1,390","1,390","1,385","0.45K","-0.36%"
"04/01/2025","1,390","1,390","1,390","1,390","0.72K","0.00%"
"03/28/2025","1,390","1,385","1,390","1,385","9.49K","0.36%"
"03/26/2025","1,385","1,375","1,385","1,375","20.33K","0.73%"
"03/25/2025","1,375","1,375","1,375","1,375","3.22K","0.00%"
"03/24/2025","1,375","1,390","1,390","1,375","0.80K","-1.08%"
"03/21/2025","1,390","1,385","1,390","1,385","7.02K","0.36%"
"03/20/2025","1,385","1,385","1,385","1,385","1.80K","0.00%"
"03/19/2025","1,385","1,370","1,385","1,370","28.09K","1.09%"
"03/18/2025","1,370","1,370","1,370","1,370","7.46K","0.00%"
"03/17/2025","1,370","1,370","1,370","1,370","0.73K","0.00%"
"03/14/2025","1,370","1,380","1,380","1,370","20.33K","-0.72%"
"03/13/2025","1,380","1,345","1,380","1,345","3.02K","2.60%"
"03/12/2025","1,345","1,345","1,345","1,345","0.82K","0.00%"
"03/11/2025","1,345","1,345","1,345","1,345","7.82K","0.00%"
"03/10/2025","1,345","1,350","1,350","1,345","36.80K","-0.37%"
"03/07/2025","1,350","1,395","1,395","1,350","4.24K","-3.23%"
"03/06/2025","1,395","1,395","1,395","1,395","0.70K","0.00%"
"03/05/2025","1,395","1,340","1,395","1,340","8.19K","4.10%"
"03/04/2025","1,340","1,320","1,340","1,320","7.25K","1.52%"
"03/03/2025","1,320","1,305","1,320","1,305","6.14K","1.15%"
"02/28/2025","1,305","1,310","1,310","1,305","4.40K","-0.38%"
"02/27/2025","1,310","1,300","1,310","1,300","1.69K","0.77%"
"02/26/2025","1,300","1,340","1,340","1,300","3.82K","-2.99%"
"02/25/2025","1,340","1,340","1,340","1,340","1.11K","0.00%"
"02/24/2025","1,340","1,345","1,345","1,340","2.09K","-0.37%"
"02/21/2025","1,345","1,350","1,350","1,345","9.82K","-0.37%"
"02/20/2025","1,350","1,360","1,360","1,350","0.28K","-0.74%"
"02/19/2025","1,360","1,360","1,360","1,360","0.36K","0.00%"
"02/18/2025","1,360","1,360","1,360","1,360","9.42K","0.00%"
"02/17/2025","1,360","1,360","1,360","1,360","0.78K","0.00%"
"02/14/2025","1,360","1,375","1,375","1,360","10.18K","-1.09%"
"02/13/2025","1,375","1,375","1,375","1,375","0.12K","0.00%"
"02/12/2025","1,375","1,365","1,375","1,365","6.52K","0.73%"
"02/11/2025","1,365","1,400","1,400","1,365","3.91K","-2.50%"
"02/10/2025","1,400","1,310","1,400","1,310","2.50K","6.87%"
"02/07/2025","1,310","1,280","1,310","1,280","4.01K","2.34%"
"02/06/2025","1,280","1,275","1,280","1,275","3.27K","0.39%"
"02/05/2025","1,275","1,275","1,275","1,275","0.96K","0.00%"
"02/04/2025","1,275","1,270","1,275","1,270","1.60K","0.39%"
"02/03/2025","1,270","1,275","1,275","1,270","1.44K","-0.39%"
"01/31/2025","1,275","1,280","1,280","1,275","2.83K","-0.39%"
"01/30/2025","1,280","1,260","1,280","1,260","0.44K","1.59%"
"01/29/2025","1,260","1,255","1,260","1,255","9.57K","0.40%"
"01/28/2025","1,255","1,300","1,300","1,255","5.34K","-3.46%"
"01/27/2025","1,300","1,300","1,300","1,300","0.13K","0.00%"
"01/24/2025","1,300","1,300","1,300","1,300","0.47K","0.00%"
