"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","22,500","22,100","22,500","22,100","0.21K","1.81%"
"06/04/2025","22,100","22,000","22,100","22,000","11.00K","0.45%"
"06/03/2025","22,000","21,850","22,000","21,850","8.11K","0.69%"
"06/02/2025","21,850","22,000","22,000","21,850","1.26K","-0.68%"
"05/30/2025","22,000","21,900","22,000","21,900","1.89K","0.46%"
"05/28/2025","21,900","21,850","21,900","21,850","4.33K","0.23%"
"05/27/2025","21,850","21,850","21,850","21,850","1.43K","0.00%"
"05/26/2025","21,850","22,010","22,010","21,850","2.50K","-0.73%"
"05/23/2025","22,010","21,900","22,010","21,900","2.35K","0.50%"
"05/22/2025","21,900","21,850","21,900","21,850","0.31K","0.23%"
"05/21/2025","21,850","21,955","21,955","21,850","0.76K","-0.48%"
"05/20/2025","21,955","21,990","21,990","21,955","1.09K","-0.16%"
"05/19/2025","21,990","21,995","21,995","21,990","3.03K","-0.02%"
"05/16/2025","21,995","21,995","21,995","21,995","0.19K","0.00%"
"05/15/2025","21,995","21,995","21,995","21,995","0.93K","0.00%"
"05/14/2025","21,995","21,600","21,995","21,600","28.16K","1.83%"
"05/13/2025","21,600","21,850","21,850","21,600","1.25K","-1.14%"
"05/12/2025","21,850","21,600","21,850","21,600","1.58K","1.16%"
"05/09/2025","21,600","21,500","21,600","21,500","0.18K","0.47%"
"05/08/2025","21,500","21,845","21,845","21,500","3.85K","-1.58%"
"05/07/2025","21,845","22,000","22,000","21,845","0.11K","-0.70%"
"05/06/2025","22,000","21,800","22,000","21,800","0.64K","0.92%"
"05/05/2025","21,800","21,890","21,890","21,800","0.48K","-0.41%"
"05/02/2025","21,890","21,900","21,900","21,890","6.74K","-0.05%"
"04/30/2025","21,900","22,100","22,100","21,900","0.42K","-0.90%"
"04/29/2025","22,100","22,005","22,100","22,005","0.89K","0.43%"
"04/28/2025","22,005","22,110","22,110","22,005","0.38K","-0.47%"
"04/25/2025","22,110","22,200","22,200","22,110","0.17K","-0.41%"
"04/24/2025","22,200","22,500","22,500","22,200","0.87K","-1.33%"
"04/23/2025","22,500","22,510","22,510","22,500","0.68K","-0.04%"
"04/22/2025","22,510","22,000","22,510","22,000","0.15K","2.32%"
"04/18/2025","22,000","22,105","22,105","22,000","0.19K","-0.48%"
"04/17/2025","22,105","21,900","22,105","21,900","0.18K","0.94%"
"04/16/2025","21,900","21,805","21,900","21,805","2.28K","0.44%"
"04/15/2025","21,805","21,900","21,900","21,805","0.80K","-0.43%"
"04/14/2025","21,900","21,850","21,900","21,850","6.79K","0.23%"
"04/11/2025","21,850","21,900","21,900","21,850","2.54K","-0.23%"
"04/10/2025","21,900","21,900","21,900","21,900","0.24K","0.00%"
"04/09/2025","21,900","21,900","21,900","21,900","0.79K","0.00%"
"04/08/2025","21,900","21,700","21,900","21,700","1.96K","0.92%"
"04/07/2025","21,700","21,550","21,700","21,550","1.18K","0.70%"
"04/04/2025","21,550","21,895","21,895","21,550","1.78K","-1.58%"
"04/03/2025","21,895","21,895","21,895","21,895","0.63K","0.00%"
"04/02/2025","21,895","21,895","21,895","21,895","0.42K","0.00%"
"04/01/2025","21,895","21,900","21,900","21,895","0.58K","-0.02%"
"03/28/2025","21,900","21,850","21,900","21,850","0.96K","0.23%"
"03/26/2025","21,850","21,900","21,900","21,850","0.36K","-0.23%"
"03/25/2025","21,900","21,900","21,900","21,900","1.42K","0.00%"
"03/24/2025","21,900","21,900","21,900","21,900","0.28K","0.00%"
"03/21/2025","21,900","21,695","21,900","21,695","1.98K","0.94%"
"03/20/2025","21,695","21,850","21,850","21,695","1.63K","-0.71%"
"03/19/2025","21,850","21,850","21,850","21,850","0.52K","0.00%"
"03/18/2025","21,850","21,850","21,850","21,850","1.33K","0.00%"
"03/17/2025","21,850","21,900","21,900","21,850","0.76K","-0.23%"
"03/14/2025","21,900","22,200","22,200","21,900","0.27K","-1.35%"
"03/13/2025","22,200","21,850","22,200","21,850","31.37K","1.60%"
"03/12/2025","21,850","21,890","21,890","21,850","1.16K","-0.18%"
"03/11/2025","21,890","21,895","21,895","21,890","1.14K","-0.02%"
"03/10/2025","21,895","22,150","22,150","21,895","1.25K","-1.15%"
"03/07/2025","22,150","22,215","22,215","22,150","0.23K","-0.29%"
"03/06/2025","22,215","22,500","22,500","22,215","0.21K","-1.27%"
"03/05/2025","22,500","22,000","22,500","22,000","0.53K","2.27%"
"03/04/2025","22,000","22,450","22,450","22,000","3.91K","-2.00%"
"03/03/2025","22,450","22,005","22,450","22,005","0.46K","2.02%"
"02/28/2025","22,005","22,500","22,500","22,005","1.17K","-2.20%"
"02/27/2025","22,500","22,000","22,500","22,000","1.02K","2.27%"
"02/26/2025","22,000","21,700","22,000","21,700","6.74K","1.38%"
"02/25/2025","21,700","21,900","21,900","21,700","2.01K","-0.91%"
"02/24/2025","21,900","21,900","21,900","21,900","0.17K","0.00%"
"02/21/2025","21,900","21,900","21,900","21,900","39.55K","0.00%"
"02/20/2025","21,900","21,900","21,900","21,900","0.22K","0.00%"
"02/19/2025","21,900","21,850","21,900","21,850","1.42K","0.23%"
"02/18/2025","21,850","21,990","21,990","21,850","1.66K","-0.64%"
