"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","980","980","980","980","0.63K","0.00%"
"06/04/2025","980","960","980","960","3.23K","2.08%"
"06/03/2025","960","970","970","960","2.17K","-1.03%"
"06/02/2025","970","970","970","970","5.83K","0.00%"
"05/30/2025","970","975","975","970","4.13K","-0.51%"
"05/28/2025","975","970","975","970","4.17K","0.52%"
"05/27/2025","970","980","980","970","3.91K","-1.02%"
"05/26/2025","980","950","980","950","9.64K","3.16%"
"05/23/2025","950","950","950","950","6.88K","0.00%"
"05/22/2025","950","960","960","950","1.82K","-1.04%"
"05/21/2025","960","995","995","960","2.02K","-3.52%"
"05/20/2025","995","960","995","960","9.15K","3.65%"
"05/19/2025","960","950","960","950","11.67K","1.05%"
"05/16/2025","950","950","950","950","0.82K","0.00%"
"05/15/2025","950","925","950","925","3.10K","2.70%"
"05/14/2025","925","945","945","925","2.50K","-2.12%"
"05/13/2025","945","945","945","945","2.85K","0.00%"
"05/12/2025","945","940","945","940","5.61K","0.53%"
"05/09/2025","940","925","940","925","1.29K","1.62%"
"05/08/2025","925","920","925","920","3.74K","0.54%"
"05/07/2025","920","920","920","920","1.01K","0.00%"
"05/06/2025","920","925","925","920","35.81K","-0.54%"
"05/05/2025","925","930","930","925","1.42K","-0.54%"
"05/02/2025","930","930","930","930","0.88K","0.00%"
"04/30/2025","930","950","950","930","1.20K","-2.11%"
"04/29/2025","950","930","950","930","2.48K","2.15%"
"04/28/2025","930","910","930","910","1.58K","2.20%"
"04/25/2025","910","910","910","910","2.11K","0.00%"
"04/24/2025","910","925","925","910","0.65K","-1.62%"
"04/23/2025","925","910","925","910","4.20K","1.65%"
"04/22/2025","910","920","920","910","3.65K","-1.09%"
"04/18/2025","920","920","920","920","1.49K","0.00%"
"04/17/2025","920","925","925","920","2.15K","-0.54%"
"04/16/2025","925","900","925","900","0.46K","2.78%"
"04/15/2025","900","925","925","900","5.14K","-2.70%"
"04/14/2025","925","925","925","925","2.19K","0.00%"
"04/11/2025","925","910","925","910","3.93K","1.65%"
"04/10/2025","910","910","910","910","1.13K","0.00%"
"04/09/2025","910","950","950","910","1.66K","-4.21%"
