"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","4,800.00","4,800.00","4,800.00","4,800.00","4.41K","0.00%"
"06/04/2025","4,800.00","4,755.00","4,800.00","4,755.00","3.56K","0.95%"
"06/03/2025","4,755.00","4,900.00","4,900.00","4,755.00","12.83K","-2.96%"
"06/02/2025","4,900.00","4,800.00","4,900.00","4,800.00","3.64K","2.08%"
"05/30/2025","4,800.00","4,795.00","4,800.00","4,795.00","5.53K","0.10%"
"05/28/2025","4,795.00","4,800.00","4,800.00","4,795.00","10.91K","-0.10%"
"05/27/2025","4,800.00","4,750.00","4,800.00","4,750.00","9.96K","1.05%"
"05/26/2025","4,750.00","4,915.00","4,915.00","4,750.00","2.03K","-3.36%"
"05/23/2025","4,915.00","4,895.00","4,915.00","4,895.00","9.68K","0.41%"
"05/22/2025","4,895.00","4,720.00","4,895.00","4,720.00","0.53K","3.71%"
"05/21/2025","4,720.00","4,905.00","4,905.00","4,720.00","2.58K","-3.77%"
"05/20/2025","4,905.00","4,905.00","4,905.00","4,905.00","2.47K","0.00%"
"05/19/2025","4,905.00","4,895.00","4,905.00","4,895.00","1.73K","0.20%"
"05/16/2025","4,895.00","4,895.00","4,895.00","4,895.00","8.09K","0.00%"
"05/15/2025","4,895.00","4,850.00","4,895.00","4,850.00","3.53K","0.93%"
"05/14/2025","4,850.00","4,850.00","4,850.00","4,850.00","6.80K","0.00%"
"05/13/2025","4,850.00","4,690.00","4,850.00","4,690.00","5.44K","3.41%"
"05/12/2025","4,690.00","4,790.00","4,790.00","4,690.00","3.45K","-2.09%"
"05/09/2025","4,790.00","4,795.00","4,795.00","4,790.00","5.06K","-0.10%"
"05/08/2025","4,795.00","4,700.00","4,795.00","4,700.00","12.22K","2.02%"
"05/07/2025","4,700.00","4,600.00","4,700.00","4,600.00","3.95K","2.17%"
"05/06/2025","4,600.00","4,690.00","4,690.00","4,600.00","4.95K","-1.92%"
"05/05/2025","4,690.00","4,690.00","4,690.00","4,690.00","2.75K","0.00%"
"05/02/2025","4,690.00","4,700.00","4,700.00","4,690.00","7.54K","-0.21%"
"04/30/2025","4,700.00","4,700.00","4,700.00","4,700.00","10.27K","0.00%"
"04/29/2025","4,700.00","4,700.00","4,700.00","4,700.00","3.77K","0.00%"
"04/28/2025","4,700.00","4,820.00","4,820.00","4,700.00","2.47K","-2.49%"
"04/25/2025","4,820.00","4,850.00","4,850.00","4,820.00","4.19K","-0.62%"
"04/24/2025","4,850.00","4,800.00","4,850.00","4,800.00","3.06K","1.04%"
"04/23/2025","4,800.00","4,850.00","4,850.00","4,800.00","7.84K","-1.03%"
"04/22/2025","4,850.00","4,795.00","4,850.00","4,795.00","1.87K","1.15%"
