"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","3,440","3,440","3,440","3,440","0.00K","0.00%"
"06/04/2025","3,440","3,440","3,440","3,440","0.05K","0.00%"
"06/03/2025","3,440","3,450","3,450","3,440","0.01K","-0.29%"
"06/02/2025","3,450","3,350","3,450","3,350","0.00K","2.99%"
"05/30/2025","3,350","3,325","3,350","3,325","0.00K","0.75%"
"05/28/2025","3,325","3,300","3,325","3,300","0.02K","0.76%"
"05/27/2025","3,300","3,450","3,450","3,300","0.03K","-4.35%"
"05/26/2025","3,450","3,480","3,480","3,450","0.07K","-0.86%"
"05/23/2025","3,480","3,480","3,480","3,480","0.05K","0.00%"
"05/22/2025","3,480","3,490","3,490","3,480","0.14K","-0.29%"
"05/21/2025","3,490","3,490","3,490","3,490","0.00K","0.00%"
"05/20/2025","3,490","3,500","3,500","3,490","0.03K","-0.29%"
"05/19/2025","3,500","3,500","3,500","3,500","0.02K","0.00%"
"05/16/2025","3,500","3,500","3,500","3,500","0.00K","0.00%"
"05/15/2025","3,500","3,525","3,525","3,500","0.05K","-0.71%"
"05/14/2025","3,525","3,530","3,530","3,525","0.00K","-0.14%"
"05/13/2025","3,530","3,300","3,530","3,300","0.19K","6.97%"
"05/09/2025","3,300","3,310","3,310","3,300","0.10K","-0.30%"
"05/08/2025","3,310","3,100","3,310","3,100","0.38K","6.77%"
"05/06/2025","3,100","3,290","3,290","3,100","0.25K","-5.78%"
"05/05/2025","3,290","3,290","3,290","3,290","0.08K","0.00%"
"04/30/2025","3,290","3,285","3,290","3,285","0.80K","0.15%"
"04/29/2025","3,285","3,550","3,550","3,285","0.01K","-7.46%"
"04/25/2025","3,550","3,550","3,550","3,550","0.01K","0.00%"
"04/24/2025","3,550","3,550","3,550","3,550","0.08K","0.00%"
"04/17/2025","3,550","3,305","3,550","3,305","0.00K","7.41%"
"04/16/2025","3,305","3,305","3,305","3,305","0.19K","0.00%"
"04/15/2025","3,305","3,300","3,305","3,300","0.04K","0.00%"
"04/11/2025","3,305","3,300","3,305","3,300","0.19K","0.15%"
"04/10/2025","3,300","3,360","3,360","3,300","0.01K","-1.79%"
"04/09/2025","3,360","3,350","3,360","3,350","0.06K","0.30%"
"04/08/2025","3,350","3,595","3,595","3,350","0.09K","-6.82%"
"04/07/2025","3,595","3,645","3,645","3,595","0.00K","-1.37%"
"04/01/2025","3,645","3,645","3,645","3,645","0.13K","0.00%"
"03/28/2025","3,645","3,510","3,645","3,510","0.00K","3.85%"
"03/25/2025","3,510","3,510","3,510","3,510","0.00K","0.00%"
"03/24/2025","3,510","3,640","3,640","3,510","0.05K","-3.57%"
"03/19/2025","3,640","3,640","3,640","3,640","0.05K","0.00%"
"03/18/2025","3,640","3,640","3,640","3,640","0.23K","0.00%"
"03/17/2025","3,640","3,640","3,640","3,640","0.00K","0.00%"
"03/14/2025","3,640","3,560","3,640","3,560","0.06K","2.25%"
"03/13/2025","3,560","3,560","3,560","3,560","0.00K","0.00%"
"03/12/2025","3,560","3,560","3,560","3,560","0.05K","0.00%"
"03/11/2025","3,560","3,570","3,570","3,560","0.00K","-0.28%"
"03/10/2025","3,570","3,615","3,615","3,570","0.03K","-1.24%"
"03/07/2025","3,615","3,615","3,615","3,615","0.01K","0.00%"
"03/06/2025","3,615","3,630","3,630","3,615","0.30K","-0.41%"
"03/05/2025","3,630","3,635","3,635","3,630","0.16K","-0.14%"
"03/04/2025","3,635","3,640","3,640","3,635","0.12K","-0.14%"
"03/03/2025","3,640","3,645","3,645","3,640","0.00K","-0.14%"
"02/28/2025","3,645","3,705","3,705","3,645","0.16K","-1.62%"
"02/27/2025","3,705","4,000","4,000","3,705","0.08K","-7.38%"
"02/26/2025","4,000","4,000","4,000","4,000","0.06K","0.00%"
"02/25/2025","4,000","3,995","4,000","3,995","0.01K","0.13%"
"02/24/2025","3,995","3,990","3,995","3,990","0.07K","0.13%"
"02/21/2025","3,990","3,990","3,990","3,990","0.00K","0.00%"
"02/20/2025","3,990","3,990","3,990","3,990","0.01K","0.00%"
"02/19/2025","3,990","3,995","3,995","3,990","0.00K","-0.13%"
"02/18/2025","3,995","3,995","3,995","3,995","0.05K","0.00%"
"02/17/2025","3,995","3,995","3,995","3,995","0.00K","0.00%"
"02/12/2025","3,995","3,940","3,995","3,940","0.00K","1.40%"
"02/11/2025","3,940","3,940","3,940","3,940","0.02K","0.00%"
"02/10/2025","3,940","3,940","3,940","3,940","0.02K","0.00%"
"02/05/2025","3,940","3,940","3,940","3,940","0.00K","0.00%"
"02/03/2025","3,940","3,940","3,940","3,940","0.01K","0.00%"
"01/31/2025","3,940","3,940","3,940","3,940","0.00K","0.00%"
"01/30/2025","3,940","3,945","3,945","3,940","0.08K","-0.13%"
"01/29/2025","3,945","3,945","3,945","3,945","0.03K","0.00%"
"01/28/2025","3,945","4,260","4,260","3,945","0.08K","-7.39%"
"01/23/2025","4,260","4,260","4,260","4,260","0.00K","0.00%"
"01/22/2025","4,260","4,265","4,265","4,260","0.04K","-0.12%"
"01/21/2025","4,265","4,275","4,275","4,265","0.01K","-0.23%"
"01/17/2025","4,275","4,270","4,275","4,270","0.03K","0.12%"
"01/14/2025","4,270","4,275","4,275","4,270","0.01K","-0.12%"
"01/10/2025","4,275","4,015","4,275","4,015","0.00K","6.48%"
"01/09/2025","4,015","4,015","4,015","4,015","0.00K","0.00%"
"01/08/2025","4,015","4,015","4,015","4,015","0.00K","0.00%"
"01/07/2025","4,015","4,015","4,015","4,015","0.13K","0.00%"
"01/06/2025","4,015","4,275","4,275","4,015","0.00K","-6.08%"
"01/03/2025","4,275","4,000","4,275","4,000","0.02K","6.88%"
"01/02/2025","4,000","4,000","4,000","4,000","0.11K","0.00%"
"12/31/2024","4,000","3,940","4,000","3,940","0.03K","1.52%"
"12/30/2024","3,940","4,000","4,000","3,940","0.07K","-1.50%"
"12/27/2024","4,000","4,000","4,000","4,000","0.02K","0.00%"
"12/23/2024","4,000","3,970","4,000","3,970","0.04K","0.76%"
"12/20/2024","3,970","3,980","3,980","3,970","0.08K","-0.25%"
"12/19/2024","3,980","3,980","3,980","3,980","0.06K","0.00%"
"12/18/2024","3,980","3,980","3,980","3,980","0.02K","0.00%"
"12/17/2024","3,980","3,980","3,980","3,980","0.00K","0.00%"
"12/16/2024","3,980","3,980","3,980","3,980","0.02K","0.00%"
"12/12/2024","3,980","3,980","3,980","3,980","0.07K","0.00%"
"12/11/2024","3,980","3,705","3,980","3,705","0.02K","7.42%"
"12/09/2024","3,705","3,705","3,705","3,705","0.01K","0.00%"
"12/06/2024","3,705","3,705","3,705","3,705","0.01K","0.00%"
"12/05/2024","3,705","3,450","3,705","3,450","0.00K","7.39%"
"11/27/2024","3,450","3,210","3,450","3,210","0.03K","7.48%"
"11/14/2024","3,210","3,450","3,450","3,210","0.04K","-6.96%"
"11/13/2024","3,450","3,210","3,450","3,210","0.01K","7.48%"
"11/12/2024","3,210","3,210","3,210","3,210","0.00K","0.00%"
"11/04/2024","3,210","3,225","3,225","3,210","0.01K","-0.47%"
"10/31/2024","3,225","3,225","3,225","3,225","0.01K","0.00%"
"10/29/2024","3,225","3,225","3,225","3,225","0.01K","0.00%"
"10/28/2024","3,225","3,000","3,225","3,000","0.02K","7.50%"
"10/25/2024","3,000","3,000","3,000","3,000","0.04K","0.00%"
"10/09/2024","3,000","3,000","3,000","3,000","0.00K","0.00%"
"10/08/2024","3,000","2,825","3,000","2,825","0.01K","6.19%"
"10/04/2024","2,825","2,825","2,825","2,825","0.07K","0.00%"
"10/01/2024","2,825","2,825","2,825","2,825","0.01K","0.00%"
"09/30/2024","2,825","3,000","3,000","2,825","0.02K","-5.83%"
"09/26/2024","3,000","3,000","3,000","3,000","0.02K","0.00%"
"09/25/2024","3,000","3,000","3,000","3,000","0.05K","0.00%"
"09/24/2024","3,000","2,835","3,000","2,835","0.01K","5.82%"
"09/16/2024","2,835","2,825","2,835","2,825","0.03K","0.35%"
"09/13/2024","2,825","2,825","2,825","2,825","0.03K","0.00%"
"09/11/2024","2,825","2,810","2,825","2,810","0.06K","0.53%"
"08/28/2024","2,810","2,810","2,810","2,810","0.06K","0.36%"
"08/23/2024","2,800","2,800","2,800","2,800","0.05K","-6.98%"
