"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","5,960","5,990","5,990","5,960","1.87K","-0.50%"
"06/04/2025","5,990","6,000","6,000","5,990","1.95K","-0.17%"
"06/03/2025","6,000","6,030","6,030","6,000","2.15K","-0.50%"
"06/02/2025","6,030","6,195","6,195","6,030","6.70K","-2.66%"
"05/30/2025","6,195","6,305","6,305","6,195","3.57K","-1.74%"
"05/28/2025","6,305","6,300","6,305","6,300","3.85K","0.08%"
"05/27/2025","6,300","6,000","6,300","6,000","1.73K","5.00%"
"05/26/2025","6,000","5,910","6,000","5,910","4.65K","1.52%"
"05/23/2025","5,910","5,970","5,970","5,910","2.55K","-1.01%"
"05/22/2025","5,970","6,050","6,050","5,970","2.02K","-1.32%"
"05/21/2025","6,050","6,100","6,100","6,050","1.62K","-0.82%"
"05/20/2025","6,100","6,150","6,150","6,100","1.25K","-0.81%"
"05/19/2025","6,150","6,190","6,190","6,150","0.71K","-0.65%"
"05/16/2025","6,190","6,200","6,200","6,190","0.80K","-0.16%"
"05/15/2025","6,200","6,000","6,200","6,000","3.86K","3.33%"
"05/14/2025","6,000","5,900","6,000","5,900","2.07K","1.69%"
"05/13/2025","5,900","5,895","5,900","5,895","2.68K","0.08%"
"05/12/2025","5,895","5,750","5,895","5,750","3.89K","2.52%"
"05/09/2025","5,750","5,750","5,750","5,750","4.75K","0.00%"
"05/08/2025","5,750","5,480","5,750","5,480","2.10K","4.93%"
"05/07/2025","5,480","5,350","5,480","5,350","2.19K","2.43%"
"05/06/2025","5,350","5,350","5,350","5,350","2.70K","0.00%"
"05/05/2025","5,350","5,350","5,350","5,350","2.04K","0.00%"
"05/02/2025","5,350","5,435","5,435","5,350","9.62K","-1.56%"
"04/30/2025","5,435","5,500","5,500","5,435","5.48K","-1.18%"
"04/29/2025","5,500","5,405","5,500","5,405","10.57K","1.76%"
"04/28/2025","5,405","5,030","5,405","5,030","6.36K","7.46%"
"04/25/2025","5,030","4,680","5,030","4,680","9.08K","7.48%"
"04/24/2025","4,680","4,690","4,690","4,680","0.96K","-0.21%"
"04/23/2025","4,690","4,580","4,690","4,580","0.20K","2.40%"
"04/22/2025","4,580","4,445","4,580","4,445","1.92K","3.04%"
"04/18/2025","4,445","4,445","4,445","4,445","0.22K","0.00%"
"04/17/2025","4,445","4,600","4,600","4,445","1.34K","-3.37%"
"04/16/2025","4,600","4,630","4,630","4,600","0.65K","-0.65%"
"04/15/2025","4,630","4,625","4,630","4,625","0.85K","0.11%"
"04/14/2025","4,625","4,305","4,625","4,305","1.12K","7.43%"
"04/11/2025","4,305","4,250","4,305","4,250","1.25K","1.29%"
"04/10/2025","4,250","4,140","4,250","4,140","3.54K","2.66%"
"04/09/2025","4,140","4,475","4,475","4,140","6.02K","-7.49%"
"04/08/2025","4,475","4,600","4,600","4,475","9.67K","-2.72%"
"04/07/2025","4,600","4,695","4,695","4,600","7.21K","-2.02%"
"04/04/2025","4,695","4,675","4,695","4,675","3.47K","0.43%"
"04/03/2025","4,675","4,695","4,695","4,675","2.12K","-0.43%"
"04/02/2025","4,695","4,695","4,695","4,695","1.18K","0.00%"
"04/01/2025","4,695","4,695","4,695","4,695","1.25K","0.00%"
"03/28/2025","4,695","4,790","4,790","4,695","0.76K","-1.98%"
"03/26/2025","4,790","4,750","4,790","4,750","2.93K","0.84%"
"03/25/2025","4,750","4,750","4,750","4,750","1.12K","0.00%"
"03/24/2025","4,750","4,850","4,850","4,750","1.88K","-2.06%"
"03/21/2025","4,850","4,730","4,850","4,730","4.48K","2.54%"
"03/20/2025","4,730","4,400","4,730","4,400","5.50K","7.50%"
"03/19/2025","4,400","4,550","4,550","4,400","9.93K","-3.30%"
"03/18/2025","4,550","4,400","4,550","4,400","0.69K","3.41%"
"03/17/2025","4,400","4,500","4,500","4,400","2.06K","-2.22%"
"03/14/2025","4,500","4,440","4,500","4,440","0.46K","1.35%"
"03/13/2025","4,440","4,445","4,445","4,440","6.44K","-0.11%"
"03/12/2025","4,445","4,450","4,450","4,445","0.49K","-0.11%"
"03/11/2025","4,450","4,440","4,450","4,440","8.06K","0.23%"
"03/10/2025","4,440","4,440","4,440","4,440","2.21K","0.00%"
"03/07/2025","4,440","4,450","4,450","4,440","1.21K","-0.22%"
"03/06/2025","4,450","4,450","4,450","4,450","1.42K","0.00%"
"03/05/2025","4,450","4,400","4,450","4,400","2.38K","1.14%"
"03/04/2025","4,400","4,400","4,400","4,400","0.75K","0.00%"
"03/03/2025","4,400","4,375","4,400","4,375","1.00K","0.57%"
"02/28/2025","4,375","4,395","4,395","4,375","1.38K","-0.46%"
"02/27/2025","4,395","4,350","4,395","4,350","3.62K","1.03%"
"02/26/2025","4,350","4,350","4,350","4,350","2.23K","0.00%"
"02/25/2025","4,350","4,350","4,350","4,350","2.41K","0.00%"
"02/24/2025","4,350","4,395","4,395","4,350","3.25K","-1.02%"
"02/21/2025","4,395","4,395","4,395","4,395","2.98K","0.00%"
"02/20/2025","4,395","4,400","4,400","4,395","1.98K","-0.11%"
"02/19/2025","4,400","4,300","4,400","4,300","2.08K","2.33%"
"02/18/2025","4,300","4,290","4,300","4,290","7.36K","0.23%"
"02/17/2025","4,290","4,290","4,290","4,290","8.03K","0.00%"
"02/14/2025","4,290","4,200","4,290","4,200","3.91K","2.14%"
"02/13/2025","4,200","4,000","4,200","4,000","13.62K","5.00%"
"02/12/2025","4,000","4,000","4,000","4,000","3.60K","0.00%"
"02/11/2025","4,000","3,990","4,000","3,990","3.92K","0.25%"
"02/10/2025","3,990","3,995","3,995","3,990","8.34K","-0.13%"
"02/07/2025","3,995","3,995","3,995","3,995","1.50K","0.00%"
"02/06/2025","3,995","3,735","3,995","3,735","5.15K","6.96%"
"02/05/2025","3,735","3,735","3,735","3,735","3.29K","0.00%"
"02/04/2025","3,735","3,740","3,740","3,735","2.11K","-0.13%"
"02/03/2025","3,740","3,740","3,740","3,740","2.19K","0.00%"
"01/31/2025","3,740","3,740","3,740","3,740","1.80K","0.00%"
"01/30/2025","3,740","3,740","3,740","3,740","1.22K","0.00%"
"01/29/2025","3,740","3,750","3,750","3,740","2.77K","-0.27%"
"01/28/2025","3,750","3,750","3,750","3,750","1.63K","0.00%"
"01/27/2025","3,750","3,750","3,750","3,750","0.54K","0.00%"
"01/24/2025","3,750","3,790","3,790","3,750","1.57K","-1.06%"
"01/23/2025","3,790","3,790","3,790","3,790","1.96K","0.00%"
"01/22/2025","3,790","3,790","3,790","3,790","1.04K","0.00%"
"01/21/2025","3,790","3,790","3,790","3,790","2.25K","0.00%"
"01/20/2025","3,790","3,790","3,790","3,790","1.14K","0.00%"
"01/17/2025","3,790","3,790","3,790","3,790","3.00K","0.00%"
"01/16/2025","3,790","3,910","3,910","3,790","4.65K","-3.07%"
"01/15/2025","3,910","3,910","3,910","3,910","1.69K","0.00%"
"01/14/2025","3,910","4,000","4,000","3,910","3.61K","-2.25%"
"01/13/2025","4,000","3,995","4,000","3,995","1.21K","0.13%"
"01/10/2025","3,995","3,995","3,995","3,995","3.52K","0.00%"
"01/09/2025","3,995","4,045","4,045","3,995","2.10K","-1.24%"
"01/08/2025","4,045","4,080","4,080","4,045","1.77K","-0.86%"
"01/07/2025","4,080","4,190","4,190","4,080","5.26K","-2.63%"
"01/06/2025","4,190","4,190","4,190","4,190","1.43K","0.00%"
"01/03/2025","4,190","4,140","4,190","4,140","1.35K","3.46%"
"01/02/2025","4,050","4,140","4,140","4,140","1.53K","-2.17%"
"12/31/2024","4,140","4,140","4,140","4,140","1.13K","0.00%"
"12/30/2024","4,140","4,150","4,150","4,140","1.37K","-0.24%"
"12/27/2024","4,150","4,155","4,155","4,150","2.18K","-0.12%"
"12/26/2024","4,155","4,150","4,155","4,150","0.37K","0.12%"
"12/24/2024","4,150","4,150","4,150","4,150","0.10K","0.00%"
"12/23/2024","4,150","4,195","4,195","4,150","0.65K","-1.07%"
"12/20/2024","4,195","4,200","4,200","4,195","1.42K","-0.12%"
