"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","16,205","16,900","16,900","16,205","0.04K","-4.11%"
"06/04/2025","16,900","16,900","16,900","16,900","0.04K","0.00%"
"06/03/2025","16,900","16,900","16,900","16,900","0.45K","0.00%"
"06/02/2025","16,900","16,900","16,900","16,900","0.05K","0.00%"
"05/30/2025","16,900","16,900","16,900","16,900","0.03K","0.00%"
"05/28/2025","16,900","16,900","16,900","16,900","1.96K","0.00%"
"05/27/2025","16,900","15,750","16,900","15,750","0.09K","7.30%"
"05/26/2025","15,750","17,000","17,000","15,750","0.21K","-7.35%"
"05/23/2025","17,000","17,195","17,195","17,000","0.49K","-1.13%"
"05/22/2025","17,195","17,200","17,200","17,195","0.04K","-0.03%"
"05/21/2025","17,200","16,000","17,200","16,000","1.79K","7.50%"
"05/20/2025","16,000","15,000","16,000","15,000","0.21K","6.67%"
"05/19/2025","15,000","15,000","15,000","15,000","0.25K","0.00%"
"05/16/2025","15,000","14,995","15,000","14,995","0.14K","0.03%"
"05/15/2025","14,995","14,900","14,995","14,900","0.12K","0.64%"
"05/14/2025","14,900","14,995","14,995","14,900","0.17K","-0.63%"
"05/13/2025","14,995","14,995","14,995","14,995","0.44K","0.00%"
"05/12/2025","14,995","14,995","14,995","14,995","0.01K","0.00%"
"05/09/2025","14,995","14,800","14,995","14,800","0.06K","1.32%"
"05/08/2025","14,800","14,500","14,800","14,500","0.05K","2.07%"
"05/07/2025","14,500","14,000","14,500","14,000","1.88K","3.57%"
"05/06/2025","14,000","13,945","14,000","13,945","0.08K","0.39%"
"05/05/2025","13,945","13,800","13,945","13,800","0.17K","1.05%"
"05/02/2025","13,800","13,800","13,800","13,800","0.02K","0.00%"
"04/30/2025","13,800","13,800","13,800","13,800","0.00K","0.00%"
"04/29/2025","13,800","13,950","13,950","13,800","0.07K","-1.08%"
"04/28/2025","13,950","14,000","14,000","13,950","0.03K","-0.36%"
"04/25/2025","14,000","14,000","14,000","14,000","0.03K","0.00%"
"04/24/2025","14,000","14,000","14,000","14,000","0.19K","0.00%"
"04/23/2025","14,000","14,000","14,000","14,000","0.19K","0.00%"
"04/22/2025","14,000","14,195","14,195","14,000","0.15K","-1.37%"
