"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","8,420","8,500","8,500","8,420","0.56K","-0.94%"
"06/04/2025","8,500","8,400","8,500","8,400","2.25K","1.19%"
"06/03/2025","8,400","8,400","8,400","8,400","0.09K","0.00%"
"06/02/2025","8,400","8,450","8,450","8,400","0.08K","-0.59%"
"05/30/2025","8,450","8,500","8,500","8,450","0.63K","-0.59%"
"05/28/2025","8,500","8,500","8,500","8,500","1.34K","0.00%"
"05/27/2025","8,500","8,400","8,500","8,400","0.98K","1.19%"
"05/26/2025","8,400","8,400","8,400","8,400","0.60K","0.00%"
"05/23/2025","8,400","8,500","8,500","8,400","1.72K","-1.18%"
"05/22/2025","8,500","8,500","8,500","8,500","0.47K","0.00%"
"05/21/2025","8,500","8,400","8,500","8,400","0.74K","1.19%"
"05/20/2025","8,400","8,410","8,410","8,400","0.13K","-0.12%"
"05/19/2025","8,410","8,405","8,410","8,405","0.77K","0.06%"
"05/16/2025","8,405","8,400","8,405","8,400","0.50K","0.06%"
"05/15/2025","8,400","8,400","8,400","8,400","0.33K","0.00%"
"05/14/2025","8,400","8,225","8,400","8,225","1.43K","2.13%"
"05/13/2025","8,225","8,190","8,225","8,190","0.09K","0.43%"
"05/12/2025","8,190","8,050","8,190","8,050","1.63K","1.74%"
"05/09/2025","8,050","8,000","8,050","8,000","1.14K","0.63%"
"05/08/2025","8,000","8,000","8,000","8,000","0.51K","0.00%"
"05/07/2025","8,000","8,000","8,000","8,000","0.14K","0.00%"
"05/06/2025","8,000","8,000","8,000","8,000","0.14K","0.00%"
"05/05/2025","8,000","8,035","8,035","8,000","0.70K","-0.44%"
"05/02/2025","8,035","8,205","8,205","8,035","2.40K","-2.07%"
"04/30/2025","8,205","8,440","8,440","8,205","3.61K","-2.78%"
"04/29/2025","8,440","8,300","8,440","8,300","1.56K","1.69%"
"04/28/2025","8,300","8,405","8,405","8,300","0.49K","-1.25%"
"04/25/2025","8,405","8,440","8,440","8,405","0.23K","-0.41%"
"04/24/2025","8,440","8,400","8,440","8,400","0.16K","0.48%"
"04/23/2025","8,400","8,400","8,400","8,400","11.68K","0.00%"
"04/22/2025","8,400","8,400","8,400","8,400","0.07K","0.00%"
"04/18/2025","8,400","8,285","8,400","8,285","0.21K","1.39%"
"04/17/2025","8,285","8,295","8,295","8,285","3.00K","-0.12%"
"04/16/2025","8,295","8,400","8,400","8,295","0.80K","-1.25%"
"04/15/2025","8,400","8,430","8,430","8,400","0.33K","-0.36%"
"04/14/2025","8,430","8,430","8,430","8,430","1.07K","0.00%"
"04/11/2025","8,430","8,430","8,430","8,430","2.35K","0.00%"
"04/10/2025","8,430","8,505","8,505","8,430","1.76K","-0.88%"
"04/09/2025","8,505","8,500","8,505","8,500","0.35K","0.06%"
"04/08/2025","8,500","8,405","8,500","8,405","1.17K","1.13%"
"04/07/2025","8,405","8,500","8,500","8,405","0.02K","-1.12%"
"04/04/2025","8,500","8,485","8,500","8,485","1.79K","0.18%"
"04/03/2025","8,485","8,495","8,495","8,485","0.07K","-0.12%"
"04/02/2025","8,495","8,490","8,495","8,490","0.26K","0.06%"
"04/01/2025","8,490","8,600","8,600","8,490","0.71K","-1.28%"
"03/28/2025","8,600","8,505","8,600","8,505","0.79K","1.12%"
"03/26/2025","8,505","8,550","8,550","8,505","0.07K","-0.53%"
"03/25/2025","8,550","8,550","8,550","8,550","1.05K","0.00%"
"03/24/2025","8,550","8,595","8,595","8,550","0.71K","-0.52%"
"03/21/2025","8,595","8,450","8,595","8,450","0.19K","1.72%"
"03/20/2025","8,450","8,450","8,450","8,450","0.67K","0.00%"
"03/19/2025","8,450","8,400","8,450","8,400","0.55K","0.60%"
"03/18/2025","8,400","8,300","8,400","8,300","0.44K","1.20%"
"03/17/2025","8,300","8,385","8,385","8,300","0.69K","-1.01%"
"03/14/2025","8,385","8,525","8,525","8,385","2.58K","-1.64%"
"03/13/2025","8,525","8,760","8,760","8,525","2.91K","-2.68%"
"03/12/2025","8,760","8,800","8,800","8,760","1.08K","-0.45%"
"03/11/2025","8,800","8,780","8,800","8,780","2.38K","0.23%"
"03/10/2025","8,780","8,170","8,780","8,170","1.45K","7.47%"
"03/07/2025","8,170","7,600","8,170","7,600","0.79K","7.50%"
"03/06/2025","7,600","7,300","7,600","7,300","0.79K","4.11%"
"03/05/2025","7,300","7,100","7,300","7,100","10.62K","2.82%"
"03/04/2025","7,100","7,100","7,100","7,100","1.91K","0.00%"
"03/03/2025","7,100","7,195","7,195","7,100","6.52K","-1.32%"
"02/28/2025","7,195","7,095","7,195","7,095","1.41K","1.41%"
"02/27/2025","7,095","6,600","7,095","6,600","0.76K","7.50%"
"02/26/2025","6,600","6,900","6,900","6,600","8.16K","-4.35%"
"02/25/2025","6,900","6,900","6,900","6,900","1.27K","0.00%"
"02/24/2025","6,900","7,100","7,100","6,900","1.09K","-2.82%"
"02/21/2025","7,100","7,100","7,100","7,100","1.03K","0.00%"
"02/20/2025","7,100","7,000","7,100","7,000","8.72K","1.43%"
"02/19/2025","7,000","7,200","7,200","7,000","3.72K","-2.78%"
"02/18/2025","7,200","7,200","7,200","7,200","2.09K","0.00%"
"02/17/2025","7,200","7,200","7,200","7,200","2.37K","0.00%"
"02/14/2025","7,200","7,500","7,500","7,200","1.53K","-4.00%"
"02/13/2025","7,500","7,300","7,500","7,300","0.15K","2.74%"
"02/12/2025","7,300","7,250","7,300","7,250","3.01K","0.69%"
"02/11/2025","7,250","7,390","7,390","7,250","0.43K","-1.89%"
"02/10/2025","7,390","7,160","7,390","7,160","0.11K","3.21%"
"02/07/2025","7,160","6,900","7,160","6,900","0.19K","3.77%"
"02/06/2025","6,900","7,400","7,400","6,900","9.19K","-6.76%"
"02/05/2025","7,400","7,400","7,400","7,400","0.68K","0.00%"
"02/04/2025","7,400","7,400","7,400","7,400","0.27K","0.00%"
"02/03/2025","7,400","7,400","7,400","7,400","0.21K","0.00%"
"01/31/2025","7,400","7,400","7,400","7,400","0.19K","0.00%"
"01/30/2025","7,400","7,050","7,400","7,050","0.25K","4.96%"
"01/29/2025","7,050","7,445","7,445","7,050","4.43K","-5.31%"
"01/28/2025","7,445","7,430","7,445","7,430","0.81K","0.20%"
"01/27/2025","7,430","7,400","7,430","7,400","0.21K","0.41%"
"01/24/2025","7,400","7,400","7,400","7,400","0.21K","0.00%"
"01/23/2025","7,400","6,915","7,400","6,915","1.57K","7.01%"
"01/22/2025","6,915","7,475","7,475","6,915","4.70K","-7.49%"
"01/21/2025","7,475","7,400","7,475","7,400","0.77K","1.01%"
"01/20/2025","7,400","7,480","7,480","7,400","0.50K","-1.07%"
"01/17/2025","7,480","7,495","7,495","7,480","0.89K","-0.20%"
"01/16/2025","7,495","7,495","7,495","7,495","0.69K","0.00%"
"01/15/2025","7,495","8,100","8,100","7,495","1.56K","-7.47%"
"01/14/2025","8,100","8,150","8,150","8,100","1.15K","-0.61%"
"01/13/2025","8,150","8,800","8,800","8,150","0.61K","-7.39%"
"01/10/2025","8,800","8,800","8,800","8,800","1.54K","0.00%"
"01/09/2025","8,800","8,790","8,800","8,790","0.13K","0.11%"
"01/08/2025","8,790","8,900","8,900","8,790","0.61K","-1.24%"
"01/07/2025","8,900","9,200","9,200","8,900","0.87K","-3.26%"
"01/06/2025","9,200","9,200","9,200","9,200","0.11K","0.00%"
"01/03/2025","9,200","9,220","9,220","9,200","0.75K","-0.22%"
"01/02/2025","9,220","8,605","9,220","8,605","0.18K","7.15%"
"12/31/2024","8,605","9,300","9,300","8,605","0.82K","-7.47%"
"12/30/2024","9,300","9,500","9,500","9,300","0.33K","-2.11%"
"12/27/2024","9,500","9,500","9,500","9,500","0.20K","0.00%"
"12/26/2024","9,500","9,495","9,500","9,495","0.40K","0.05%"
"12/24/2024","9,495","9,600","9,600","9,495","0.53K","-1.09%"
"12/23/2024","9,600","9,600","9,600","9,600","0.91K","0.00%"
"12/20/2024","9,600","9,770","9,770","9,600","0.57K","-1.74%"
"12/19/2024","9,770","9,770","9,770","9,770","0.27K","0.00%"
"12/18/2024","9,770","9,520","9,770","9,520","0.18K","2.63%"
"12/17/2024","9,520","9,600","9,600","9,520","0.31K","-0.83%"
"12/16/2024","9,600","9,600","9,600","9,600","1.59K","0.00%"
"12/13/2024","9,600","9,600","9,600","9,600","0.76K","0.00%"
"12/12/2024","9,600","9,520","9,600","9,520","1.59K","0.84%"
"12/11/2024","9,520","9,600","9,600","9,520","0.34K","-0.83%"
"12/10/2024","9,600","9,600","9,600","9,600","1.18K","0.00%"
"12/09/2024","9,600","9,600","9,600","9,600","0.26K","0.00%"
"12/06/2024","9,600","9,510","9,600","9,510","0.51K","0.95%"
"12/05/2024","9,510","9,600","9,600","9,510","2.21K","-0.94%"
"12/04/2024","9,600","9,595","9,600","9,595","2.58K","0.05%"
"12/03/2024","9,595","9,595","9,595","9,595","0.42K","0.00%"
"12/02/2024","9,595","9,515","9,595","9,515","0.09K","0.84%"
"11/29/2024","9,515","9,600","9,600","9,515","0.89K","-0.89%"
"11/28/2024","9,600","9,500","9,600","9,500","0.95K","1.05%"
"11/27/2024","9,500","9,650","9,650","9,500","1.41K","-1.55%"
"11/26/2024","9,650","9,780","9,780","9,650","0.76K","-1.33%"
"11/25/2024","9,780","9,790","9,790","9,780","1.54K","-0.10%"
"11/22/2024","9,790","9,600","9,790","9,600","0.73K","1.98%"
"11/21/2024","9,600","9,600","9,600","9,600","3.76K","0.00%"
"11/20/2024","9,600","9,900","9,900","9,600","1.35K","-3.03%"
"11/19/2024","9,900","10,300","10,300","9,900","3.69K","-3.88%"
"11/18/2024","10,300","10,490","10,490","10,300","4.59K","-1.81%"
"11/14/2024","10,490","10,495","10,495","10,490","2.10K","-0.05%"
"11/13/2024","10,495","10,500","10,500","10,495","0.44K","-0.05%"
"11/12/2024","10,500","10,500","10,500","10,500","0.47K","0.00%"
"11/11/2024","10,500","11,000","11,000","10,500","0.71K","-4.55%"
"11/08/2024","11,000","10,405","11,000","10,405","0.55K","5.72%"
"11/07/2024","10,405","9,685","10,405","9,685","0.90K","7.43%"
"11/06/2024","9,685","10,470","10,470","9,685","3.68K","-7.50%"
"11/05/2024","10,470","11,315","11,315","10,470","0.34K","-7.47%"
"11/04/2024","11,315","12,230","12,230","11,315","3.39K","-7.48%"
"10/31/2024","12,230","13,220","13,220","12,230","1.50K","-7.49%"
"10/30/2024","13,220","13,250","13,250","13,220","9.47K","-0.23%"
"10/29/2024","13,250","13,300","13,300","13,250","0.39K","-0.38%"
"10/28/2024","13,300","13,300","13,300","13,300","12.67K","0.00%"
"10/25/2024","13,300","13,400","13,400","13,300","0.61K","-0.75%"
"10/24/2024","13,400","13,400","13,400","13,400","0.93K","0.00%"
"10/23/2024","13,400","13,100","13,400","13,100","0.16K","2.29%"
"10/22/2024","13,100","13,100","13,100","13,100","0.58K","0.00%"
"10/21/2024","13,100","13,100","13,100","13,100","0.66K","0.00%"
"10/18/2024","13,100","13,000","13,100","13,000","0.51K","0.77%"
"10/17/2024","13,000","12,700","13,000","12,700","0.28K","2.36%"
"10/16/2024","12,700","12,700","12,700","12,700","0.67K","0.00%"
"10/15/2024","12,700","11,900","12,700","11,900","0.15K","6.72%"
"10/14/2024","11,900","12,000","12,000","11,900","0.56K","-0.83%"
"10/11/2024","12,000","11,935","12,000","11,935","0.60K","0.54%"
"10/10/2024","11,935","12,900","12,900","11,935","1.25K","-7.48%"
"10/09/2024","12,900","13,490","13,490","12,900","3.58K","-4.37%"
"10/08/2024","13,490","13,005","13,490","13,005","2.42K","3.73%"
"10/07/2024","13,005","13,000","13,005","13,000","0.75K","0.04%"
"10/04/2024","13,000","13,200","13,200","13,000","0.66K","-1.52%"
"10/03/2024","13,200","13,000","13,200","13,000","0.99K","1.54%"
"10/02/2024","13,000","13,500","13,500","13,000","0.44K","-3.70%"
"10/01/2024","13,500","13,540","13,540","13,500","1.18K","-0.30%"
"09/30/2024","13,540","13,540","13,540","13,540","1.24K","0.00%"
"09/27/2024","13,540","13,540","13,540","13,540","0.70K","0.00%"
"09/26/2024","13,540","14,600","14,600","13,540","3.42K","-7.26%"
"09/25/2024","14,600","14,600","14,600","14,600","0.92K","0.00%"
"09/24/2024","14,600","14,600","14,600","14,600","1.47K","0.00%"
"09/23/2024","14,600","14,510","14,600","14,510","1.07K","0.62%"
"09/20/2024","14,510","14,900","14,900","14,510","0.24K","-2.62%"
"09/19/2024","14,900","14,600","14,900","14,600","0.37K","2.05%"
"09/18/2024","14,600","14,790","14,790","14,600","4.38K","-1.28%"
"09/17/2024","14,790","14,600","14,790","14,600","0.20K","1.30%"
"09/16/2024","14,600","14,600","14,600","14,600","0.58K","0.00%"
"09/13/2024","14,600","14,600","14,600","14,600","7.10K","0.00%"
"09/12/2024","14,600","14,600","14,600","14,600","0.54K","0.00%"
"09/11/2024","14,600","14,410","14,600","14,410","0.26K","1.32%"
"09/10/2024","14,410","14,405","14,410","14,405","1.44K","0.03%"
"09/09/2024","14,405","14,600","14,600","14,405","0.27K","-1.34%"
"09/06/2024","14,600","14,600","14,600","14,600","1.96K","-0.03%"
"09/05/2024","14,605","14,605","14,605","14,605","0.36K","-0.61%"
"09/04/2024","14,695","14,695","14,695","14,695","0.36K","-1.31%"
"09/03/2024","14,890","14,890","14,890","14,890","4.76K","7.47%"
"09/02/2024","13,855","13,855","13,855","13,855","0.17K","0.40%"
"08/30/2024","13,800","13,800","13,800","13,800","0.08K","0.73%"
"08/29/2024","13,700","13,700","13,700","13,700","0.92K","0.62%"
"08/28/2024","13,615","13,615","13,615","13,615","0.36K","-0.62%"
"08/27/2024","13,700","13,700","13,700","13,700","0.04K","0.00%"
"08/26/2024","13,700","13,700","13,700","13,700","0.04K","1.48%"
"08/23/2024","13,500","13,500","13,500","13,500","1.11K","0.75%"
"08/22/2024","13,400","13,400","13,400","13,400","0.92K","1.52%"
"08/21/2024","13,200","13,200","13,200","13,200","2.05K","1.15%"
"08/20/2024","13,050","13,050","13,050","13,050","0.52K","0.38%"
"08/19/2024","13,000","13,000","13,000","13,000","0.89K","-1.52%"
"08/16/2024","13,200","13,200","13,200","13,200","0.56K","1.54%"
"08/14/2024","13,000","13,000","13,000","13,000","0.47K","0.00%"
"08/13/2024","13,000","13,000","13,000","13,000","0.65K","0.78%"
"08/12/2024","12,900","12,900","12,900","12,900","0.85K","0.00%"
"08/09/2024","12,900","12,900","12,900","12,900","0.22K","2.38%"
"08/08/2024","12,600","12,600","12,600","12,600","0.14K","0.80%"
"08/06/2024","12,500","12,500","12,500","12,500","0.83K","-3.10%"
"08/05/2024","12,900","12,900","12,900","12,900","0.16K","0.43%"
"08/02/2024","12,845","12,845","12,845","12,845","0.23K","1.14%"
"08/01/2024","12,700","12,700","12,700","12,700","1.28K","-1.93%"
"07/31/2024","12,950","12,950","12,950","12,950","2.64K","0.00%"
"07/30/2024","12,950","12,950","12,950","12,950","0.39K","-0.38%"
"07/29/2024","13,000","13,000","13,000","13,000","1.40K","0.00%"
"07/26/2024","13,000","13,000","13,000","13,000","0.95K","0.00%"
"07/25/2024","13,000","13,000","13,000","13,000","0.09K","1.17%"
"07/24/2024","12,850","12,850","12,850","12,850","0.13K","0.00%"
"07/23/2024","12,850","12,850","12,850","12,850","0.49K","-1.91%"
"07/22/2024","13,100","13,100","13,100","13,100","0.16K","1.95%"
"07/19/2024","12,850","12,850","12,850","12,850","5.76K","1.18%"
"07/18/2024","12,700","12,700","12,700","12,700","1.92K","0.00%"
"07/17/2024","12,700","12,700","12,700","12,700","1.11K","2.42%"
"07/16/2024","12,400","12,400","12,400","12,400","2.70K","0.00%"
"07/15/2024","12,400","12,400","12,400","12,400","0.04K","2.48%"
"07/12/2024","12,100","12,100","12,100","12,100","0.32K","0.00%"
"07/11/2024","12,100","12,100","12,100","12,100","0.75K","0.00%"
"07/10/2024","12,100","12,100","12,100","12,100","0.91K","-0.82%"
