"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","7,200","7,200","7,200","7,200","3.69K","0.00%"
"06/04/2025","7,200","7,200","7,200","7,200","14.52K","0.00%"
"06/03/2025","7,200","7,180","7,200","7,180","4.07K","0.28%"
"06/02/2025","7,180","7,200","7,200","7,180","0.82K","-0.28%"
"05/30/2025","7,200","7,150","7,200","7,150","4.62K","0.70%"
"05/28/2025","7,150","7,250","7,250","7,150","4.06K","-1.38%"
"05/27/2025","7,250","7,005","7,250","7,005","8.81K","3.50%"
"05/26/2025","7,005","6,900","7,005","6,900","6.61K","1.52%"
"05/23/2025","6,900","6,990","6,990","6,900","9.32K","-1.29%"
"05/22/2025","6,990","6,905","6,990","6,905","5.56K","1.23%"
"05/21/2025","6,905","6,985","6,985","6,905","4.79K","-1.15%"
"05/20/2025","6,985","6,985","6,985","6,985","4.05K","0.00%"
"05/19/2025","6,985","6,850","6,985","6,850","1.15K","1.97%"
"05/16/2025","6,850","6,745","6,850","6,745","6.59K","1.56%"
"05/15/2025","6,745","6,750","6,750","6,745","6.19K","-0.07%"
"05/14/2025","6,750","6,790","6,790","6,750","1.80K","-0.59%"
"05/13/2025","6,790","6,605","6,790","6,605","2.20K","2.80%"
"05/12/2025","6,605","6,400","6,605","6,400","1.78K","3.20%"
"05/09/2025","6,400","6,345","6,400","6,345","30.95K","0.87%"
"05/08/2025","6,345","6,345","6,345","6,345","3.84K","0.00%"
"05/07/2025","6,345","6,300","6,345","6,300","3.01K","0.71%"
"05/06/2025","6,300","6,095","6,300","6,095","7.25K","3.36%"
"05/05/2025","6,095","6,100","6,100","6,095","3.43K","-0.08%"
"05/02/2025","6,100","5,945","6,100","5,945","9.99K","2.61%"
"04/30/2025","5,945","5,995","5,995","5,945","8.21K","-0.83%"
"04/29/2025","5,995","6,045","6,045","5,995","9.87K","-0.83%"
"04/28/2025","6,045","5,910","6,045","5,910","22.91K","2.28%"
"04/25/2025","5,910","5,500","5,910","5,500","15.09K","7.45%"
"04/24/2025","5,500","5,495","5,500","5,495","2.91K","0.09%"
"04/23/2025","5,495","5,520","5,520","5,495","7.56K","-0.45%"
"04/22/2025","5,520","5,330","5,520","5,330","7.00K","3.56%"
"04/18/2025","5,330","5,330","5,330","5,330","0.28K","0.00%"
"04/17/2025","5,330","5,300","5,330","5,300","3.34K","0.57%"
"04/16/2025","5,300","5,240","5,300","5,240","0.56K","1.15%"
"04/15/2025","5,240","5,245","5,245","5,240","1.41K","-0.10%"
"04/14/2025","5,245","5,150","5,245","5,150","2.19K","1.84%"
"04/11/2025","5,150","5,050","5,150","5,050","0.86K","1.98%"
"04/10/2025","5,050","4,980","5,050","4,980","1.91K","1.41%"
"04/09/2025","4,980","5,245","5,245","4,980","5.35K","-5.05%"
"04/08/2025","5,245","5,445","5,445","5,245","1.31K","-3.67%"
"04/07/2025","5,445","5,700","5,700","5,445","6.96K","-4.47%"
"04/04/2025","5,700","5,550","5,700","5,550","4.24K","2.70%"
"04/03/2025","5,550","5,400","5,550","5,400","9.74K","2.78%"
"04/02/2025","5,400","5,390","5,400","5,390","2.17K","0.19%"
"04/01/2025","5,390","5,500","5,500","5,390","0.44K","-2.00%"
"03/28/2025","5,500","5,495","5,500","5,495","22.05K","0.09%"
"03/26/2025","5,495","5,445","5,495","5,445","4.81K","0.92%"
"03/25/2025","5,445","5,400","5,445","5,400","2.17K","0.83%"
"03/24/2025","5,400","5,440","5,440","5,400","3.84K","-0.74%"
"03/21/2025","5,440","5,400","5,440","5,400","16.67K","0.74%"
"03/20/2025","5,400","5,245","5,400","5,245","2.05K","2.96%"
"03/19/2025","5,245","5,275","5,275","5,245","1.38K","-0.57%"
"03/18/2025","5,275","5,200","5,275","5,200","1.44K","1.44%"
"03/17/2025","5,200","5,200","5,200","5,200","0.74K","0.00%"
"03/14/2025","5,200","5,000","5,200","5,000","0.80K","4.00%"
"03/13/2025","5,000","5,280","5,280","5,000","4.63K","-5.30%"
"03/12/2025","5,280","5,280","5,280","5,280","0.40K","0.00%"
"03/11/2025","5,280","5,295","5,295","5,280","14.59K","-0.28%"
