"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","510","545","545","510","0.44K","-6.42%"
"06/04/2025","545","540","545","540","0.67K","0.93%"
"06/03/2025","540","540","540","540","0.59K","0.00%"
"06/02/2025","540","510","540","510","0.11K","5.88%"
"05/30/2025","510","540","540","510","5.63K","-5.56%"
"05/28/2025","540","520","540","520","0.10K","3.85%"
"05/27/2025","520","540","540","520","0.37K","-3.70%"
"05/26/2025","540","545","545","540","2.36K","-0.92%"
"05/23/2025","545","585","585","545","2.19K","-6.84%"
"05/22/2025","585","600","600","585","2.31K","-2.50%"
"05/21/2025","600","565","600","565","0.37K","6.19%"
"05/20/2025","565","610","610","565","1.29K","-7.38%"
"05/19/2025","610","620","620","610","0.08K","-1.61%"
"05/16/2025","620","585","620","585","2.75K","5.98%"
"05/15/2025","585","595","595","585","0.68K","-1.68%"
"05/14/2025","595","565","595","565","0.28K","5.31%"
"05/13/2025","565","545","565","545","0.49K","3.67%"
"05/12/2025","545","525","545","525","1.44K","3.81%"
"05/09/2025","525","555","555","525","5.04K","-5.41%"
"05/08/2025","555","600","600","555","0.02K","-7.50%"
"05/07/2025","600","600","600","600","0.34K","0.00%"
"05/06/2025","600","580","600","580","0.29K","3.45%"
"05/05/2025","580","595","595","580","0.02K","-2.52%"
"05/02/2025","595","595","595","595","0.87K","0.00%"
"04/29/2025","595","600","600","595","0.79K","-0.83%"
"04/28/2025","600","645","645","600","0.20K","-6.98%"
"04/25/2025","645","600","645","600","0.51K","7.50%"
"04/24/2025","600","565","600","565","1.25K","6.19%"
"04/23/2025","565","560","565","560","0.12K","0.89%"
"04/22/2025","560","565","565","560","0.35K","-0.88%"
"04/17/2025","565","530","565","530","0.27K","6.60%"
"04/16/2025","530","500","530","500","0.14K","6.00%"
"04/15/2025","500","480","500","480","0.24K","4.17%"
"04/14/2025","480","475","480","475","0.74K","1.05%"
"04/11/2025","475","510","510","475","6.48K","-6.86%"
"04/10/2025","510","550","550","510","0.57K","-7.27%"
"04/09/2025","550","555","555","550","0.74K","-0.90%"
"04/08/2025","555","555","555","555","0.13K","0.00%"
"04/07/2025","555","555","555","555","0.91K","0.00%"
"04/04/2025","555","555","555","555","0.24K","0.00%"
"04/03/2025","555","545","555","545","1.36K","1.83%"
"04/02/2025","545","585","585","545","11.02K","-6.84%"
"04/01/2025","585","580","585","580","0.45K","0.86%"
"03/28/2025","580","595","595","580","1.68K","-2.52%"
"03/26/2025","595","640","640","595","0.71K","-7.03%"
"03/25/2025","640","640","640","640","0.11K","0.00%"
"03/24/2025","640","625","640","625","1.24K","2.40%"
"03/21/2025","625","630","630","625","4.19K","-0.79%"
"03/20/2025","630","650","650","630","0.07K","-3.08%"
"03/19/2025","650","680","680","650","1.16K","-4.41%"
"03/18/2025","680","690","690","680","0.61K","-1.45%"
"03/17/2025","690","695","695","690","0.42K","-0.72%"
"03/14/2025","695","700","700","695","0.58K","-0.71%"
"03/13/2025","700","710","710","700","0.69K","-1.41%"
"03/12/2025","710","665","710","665","0.11K","6.77%"
"03/11/2025","665","620","665","620","3.70K","7.26%"
"03/10/2025","620","620","620","620","1.50K","0.00%"
"03/07/2025","620","620","620","620","0.43K","0.00%"
"03/06/2025","620","620","620","620","0.44K","0.00%"
"03/05/2025","620","605","620","605","0.61K","2.48%"
"03/04/2025","605","595","605","595","0.35K","1.68%"
"03/03/2025","595","595","595","595","5.22K","0.00%"
"02/28/2025","595","590","595","590","0.86K","0.85%"
"02/27/2025","590","560","590","560","3.67K","5.36%"
"02/26/2025","560","530","560","530","1.47K","5.66%"
"02/25/2025","530","540","540","530","3.13K","-1.85%"
"02/24/2025","540","530","540","530","0.09K","1.89%"
"02/21/2025","530","540","540","530","2.61K","-1.85%"
"02/20/2025","540","535","540","535","0.40K","0.93%"
"02/19/2025","535","525","535","525","0.07K","1.90%"
"02/18/2025","525","535","535","525","2.94K","-1.87%"
"02/17/2025","535","540","540","535","1.21K","-0.93%"
"02/14/2025","540","540","540","540","0.34K","0.00%"
"02/13/2025","540","540","540","540","0.14K","0.00%"
"02/12/2025","540","540","540","540","0.17K","0.00%"
"02/11/2025","540","535","540","535","1.99K","0.93%"
"02/10/2025","535","535","535","535","0.22K","0.00%"
"02/07/2025","535","535","535","535","1.00K","0.00%"
"02/06/2025","535","525","535","525","0.17K","1.90%"
"02/05/2025","525","510","525","510","1.40K","2.94%"
"02/04/2025","510","490","510","490","4.13K","4.08%"
"02/03/2025","490","460","490","460","0.58K","6.52%"
"01/31/2025","460","455","460","455","0.27K","1.10%"
"01/30/2025","455","440","455","440","0.57K","3.41%"
"01/29/2025","440","440","440","440","0.38K","0.00%"
