"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","18,000","17,700","18,000","17,700","0.20K","1.69%"
"06/04/2025","17,700","17,105","17,700","17,105","0.08K","3.48%"
"06/03/2025","17,105","18,485","18,485","17,105","1.44K","-7.47%"
"06/02/2025","18,485","17,505","18,485","17,505","15.01K","5.60%"
"05/30/2025","17,505","17,495","17,505","17,495","6.17K","0.06%"
"05/28/2025","17,495","17,490","17,495","17,490","7.48K","0.03%"
"05/27/2025","17,490","16,500","17,490","16,500","5.03K","6.00%"
"05/26/2025","16,500","16,850","16,850","16,500","10.25K","-2.08%"
"05/23/2025","16,850","16,850","16,850","16,850","0.88K","0.00%"
"05/22/2025","16,850","16,890","16,890","16,850","6.92K","-0.24%"
"05/21/2025","16,890","16,900","16,900","16,890","3.74K","-0.06%"
"05/20/2025","16,900","16,930","16,930","16,900","14.17K","-0.18%"
"05/19/2025","16,930","15,750","16,930","15,750","14.55K","7.49%"
"05/16/2025","15,750","14,655","15,750","14,655","0.60K","7.47%"
"05/15/2025","14,655","13,635","14,655","13,635","5.19K","7.48%"
"05/14/2025","13,635","12,685","13,635","12,685","3.43K","7.49%"
"05/13/2025","12,685","11,800","12,685","11,800","0.07K","7.50%"
"05/12/2025","11,800","10,980","11,800","10,980","6.01K","7.47%"
"05/09/2025","10,980","10,215","10,980","10,215","0.02K","7.49%"
"05/08/2025","10,215","9,505","10,215","9,505","8.62K","7.47%"
"05/07/2025","9,505","10,000","10,000","9,505","2.80K","-4.95%"
"05/06/2025","10,000","9,700","10,000","9,700","6.09K","3.09%"
"05/05/2025","9,700","9,500","9,700","9,500","2.49K","2.11%"
"05/02/2025","9,500","9,695","9,695","9,500","3.94K","-2.01%"
"04/30/2025","9,695","9,700","9,700","9,695","2.42K","-0.05%"
"04/29/2025","9,700","9,550","9,700","9,550","0.41K","1.57%"
"04/28/2025","9,550","9,500","9,550","9,500","0.40K","0.53%"
"04/25/2025","9,500","9,550","9,550","9,500","0.06K","-0.52%"
"04/24/2025","9,550","9,500","9,550","9,500","2.36K","0.53%"
"04/23/2025","9,500","9,750","9,750","9,500","0.37K","-2.56%"
"04/22/2025","9,750","9,740","9,750","9,740","0.25K","0.10%"
"04/18/2025","9,740","9,750","9,750","9,740","0.38K","-0.10%"
"04/17/2025","9,750","9,750","9,750","9,750","2.00K","0.00%"
"04/16/2025","9,750","9,745","9,750","9,745","1.86K","0.05%"
"04/15/2025","9,745","9,745","9,745","9,745","0.10K","0.00%"
"04/14/2025","9,745","9,750","9,750","9,745","0.09K","-0.05%"
"04/11/2025","9,750","9,780","9,780","9,750","0.39K","-0.31%"
"04/10/2025","9,780","9,880","9,880","9,780","2.08K","-1.01%"
"04/09/2025","9,880","9,900","9,900","9,880","0.01K","-0.20%"
"04/08/2025","9,900","9,900","9,900","9,900","0.35K","0.00%"
"04/07/2025","9,900","9,900","9,900","9,900","0.06K","0.00%"
"04/04/2025","9,900","9,900","9,900","9,900","0.26K","0.00%"
"04/03/2025","9,900","9,990","9,990","9,900","0.01K","-0.90%"
"04/02/2025","9,990","9,995","9,995","9,990","1.61K","-0.05%"
"04/01/2025","9,995","9,950","9,995","9,950","0.16K","0.45%"
"03/28/2025","9,950","9,990","9,990","9,950","0.08K","-0.40%"
"03/26/2025","9,990","9,600","9,990","9,600","1.55K","4.06%"
"03/25/2025","9,600","10,000","10,000","9,600","1.17K","-4.00%"
"03/24/2025","10,000","10,195","10,195","10,000","0.30K","-1.91%"
"03/21/2025","10,195","9,630","10,195","9,630","0.36K","5.87%"
"03/20/2025","9,630","9,610","9,630","9,610","2.00K","0.21%"
"03/19/2025","9,610","10,000","10,000","9,610","0.16K","-3.90%"
"03/18/2025","10,000","9,700","10,000","9,700","0.84K","3.09%"
"03/17/2025","9,700","9,980","9,980","9,700","1.53K","-2.81%"
"03/14/2025","9,980","9,985","9,985","9,980","0.10K","-0.05%"
"03/13/2025","9,985","9,995","9,995","9,985","0.02K","-0.10%"
"03/12/2025","9,995","9,600","9,995","9,600","5.24K","4.11%"
"03/11/2025","9,600","9,700","9,700","9,600","1.15K","-1.03%"
"03/10/2025","9,700","9,550","9,700","9,550","3.36K","1.57%"
"03/07/2025","9,550","9,100","9,550","9,100","4.03K","4.95%"
"03/06/2025","9,100","9,045","9,100","9,045","0.58K","0.61%"
"03/05/2025","9,045","8,500","9,045","8,500","0.04K","6.41%"
"03/04/2025","8,500","8,500","8,500","8,500","0.67K","0.00%"
"03/03/2025","8,500","8,500","8,500","8,500","0.52K","0.00%"
"02/28/2025","8,500","8,450","8,500","8,450","0.41K","0.59%"
"02/27/2025","8,450","8,490","8,490","8,450","0.26K","-0.47%"
"02/26/2025","8,490","8,475","8,490","8,475","0.15K","0.18%"
"02/25/2025","8,475","8,490","8,490","8,475","1.69K","-0.18%"
"02/24/2025","8,490","8,490","8,490","8,490","0.02K","0.00%"
"02/21/2025","8,490","8,300","8,490","8,300","0.77K","2.29%"
"02/20/2025","8,300","8,200","8,300","8,200","0.76K","1.22%"
"02/19/2025","8,200","8,225","8,225","8,200","0.10K","-0.30%"
"02/18/2025","8,225","7,800","8,225","7,800","0.05K","5.45%"
"02/17/2025","7,800","8,000","8,000","7,800","7.12K","-2.50%"
"02/14/2025","8,000","8,000","8,000","8,000","2.27K","0.00%"
"02/13/2025","8,000","7,995","8,000","7,995","2.64K","0.06%"
"02/12/2025","7,995","7,800","7,995","7,800","0.74K","2.50%"
"02/11/2025","7,800","7,995","7,995","7,800","4.17K","-2.44%"
"02/10/2025","7,995","7,800","7,995","7,800","1.28K","2.50%"
"02/07/2025","7,800","8,000","8,000","7,800","1.23K","-2.50%"
"02/06/2025","8,000","8,000","8,000","8,000","0.15K","0.00%"
"02/05/2025","8,000","8,020","8,020","8,000","0.07K","-0.25%"
"02/04/2025","8,020","7,500","8,020","7,500","0.78K","6.93%"
"02/03/2025","7,500","7,500","7,500","7,500","0.25K","0.00%"
"01/31/2025","7,500","7,495","7,500","7,495","0.42K","0.07%"
"01/30/2025","7,495","7,485","7,495","7,485","3.21K","0.13%"
"01/29/2025","7,485","7,450","7,485","7,450","6.61K","0.47%"
"01/28/2025","7,450","7,485","7,485","7,450","2.26K","-0.47%"
"01/27/2025","7,485","7,485","7,485","7,485","0.09K","0.00%"
"01/24/2025","7,485","7,485","7,485","7,485","0.28K","0.00%"
"01/23/2025","7,485","7,490","7,490","7,485","1.39K","-0.07%"
"01/22/2025","7,490","7,495","7,495","7,490","0.12K","-0.07%"
"01/21/2025","7,495","7,395","7,495","7,395","1.17K","1.35%"
"01/20/2025","7,395","7,400","7,400","7,395","1.41K","-0.07%"
"01/17/2025","7,400","7,400","7,400","7,400","0.37K","0.00%"
"01/16/2025","7,400","7,490","7,490","7,400","0.10K","-1.20%"
"01/15/2025","7,490","7,490","7,490","7,490","13.07K","0.00%"
"01/14/2025","7,490","7,490","7,490","7,490","8.60K","0.00%"
"01/13/2025","7,490","7,495","7,495","7,490","2.13K","-0.07%"
"01/10/2025","7,495","7,495","7,495","7,495","0.15K","0.00%"
"01/09/2025","7,495","7,600","7,600","7,495","0.03K","-1.38%"
"01/08/2025","7,600","7,250","7,600","7,250","0.03K","4.83%"
"01/07/2025","7,250","7,295","7,295","7,250","5.05K","-0.62%"
"01/06/2025","7,295","7,295","7,295","7,295","4.65K","0.00%"
"01/03/2025","7,295","7,300","7,300","7,295","0.04K","-0.07%"
"01/02/2025","7,300","7,300","7,300","7,300","0.13K","0.00%"
"12/31/2024","7,300","7,230","7,300","7,230","0.49K","0.97%"
"12/30/2024","7,230","7,300","7,300","7,230","0.30K","-0.96%"
"12/27/2024","7,300","7,295","7,300","7,295","2.08K","0.07%"
"12/26/2024","7,295","7,230","7,295","7,230","0.68K","0.90%"
"12/24/2024","7,230","7,300","7,300","7,230","0.00K","-0.96%"
"12/23/2024","7,300","7,295","7,300","7,295","0.98K","0.07%"
"12/20/2024","7,295","7,295","7,295","7,295","0.34K","0.00%"
"12/19/2024","7,295","7,295","7,295","7,295","4.37K","0.00%"
"12/18/2024","7,295","7,295","7,295","7,295","0.34K","0.00%"
"12/17/2024","7,295","7,295","7,295","7,295","1.85K","0.00%"
"12/16/2024","7,295","7,295","7,295","7,295","0.10K","0.00%"
"12/13/2024","7,295","7,295","7,295","7,295","0.44K","0.00%"
"12/12/2024","7,295","7,295","7,295","7,295","16.72K","0.00%"
"12/11/2024","7,295","7,295","7,295","7,295","5.80K","0.00%"
"12/10/2024","7,295","7,295","7,295","7,295","0.68K","0.00%"
"12/09/2024","7,295","7,225","7,295","7,225","2.26K","0.97%"
"12/06/2024","7,225","7,295","7,295","7,225","0.74K","-0.96%"
"12/05/2024","7,295","7,290","7,295","7,290","0.20K","0.07%"
"12/04/2024","7,290","7,200","7,290","7,200","0.01K","1.25%"
"12/03/2024","7,200","7,295","7,295","7,200","0.08K","-1.30%"
"12/02/2024","7,295","7,300","7,300","7,295","3.36K","-0.07%"
"11/27/2024","7,300","7,350","7,350","7,300","0.29K","-0.68%"
"11/26/2024","7,350","7,350","7,350","7,350","0.41K","0.00%"
"11/25/2024","7,350","7,295","7,350","7,295","2.34K","0.75%"
"11/22/2024","7,295","7,300","7,300","7,295","1.01K","-0.07%"
"11/21/2024","7,300","7,200","7,300","7,200","0.78K","1.39%"
"11/20/2024","7,200","7,300","7,300","7,200","1.75K","-1.37%"
"11/19/2024","7,300","7,300","7,300","7,300","1.77K","0.00%"
"11/18/2024","7,300","7,300","7,300","7,300","1.33K","0.00%"
"11/14/2024","7,300","7,300","7,300","7,300","0.31K","0.00%"
"11/13/2024","7,300","7,300","7,300","7,300","0.11K","0.00%"
"11/12/2024","7,300","7,300","7,300","7,300","9.32K","0.00%"
"11/11/2024","7,300","7,300","7,300","7,300","2.24K","0.00%"
"11/08/2024","7,300","7,300","7,300","7,300","1.36K","0.00%"
"11/07/2024","7,300","7,300","7,300","7,300","0.21K","0.00%"
"11/06/2024","7,300","7,050","7,300","7,050","0.01K","3.55%"
"11/05/2024","7,050","7,450","7,450","7,050","0.60K","-5.37%"
"11/04/2024","7,450","7,000","7,450","7,000","1.37K","6.43%"
"10/31/2024","7,000","7,000","7,000","7,000","2.99K","0.00%"
"10/30/2024","7,000","7,000","7,000","7,000","18.08K","0.00%"
"10/29/2024","7,000","7,000","7,000","7,000","36.30K","0.00%"
"10/28/2024","7,000","7,000","7,000","7,000","0.32K","0.00%"
"10/25/2024","7,000","7,000","7,000","7,000","0.08K","0.00%"
"10/24/2024","7,000","7,000","7,000","7,000","4.33K","0.00%"
"10/23/2024","7,000","7,000","7,000","7,000","114.24K","0.00%"
"10/22/2024","7,000","7,000","7,000","7,000","7.68K","0.00%"
"10/21/2024","7,000","7,000","7,000","7,000","0.09K","0.00%"
"10/18/2024","7,000","7,000","7,000","7,000","10.90K","0.00%"
"10/17/2024","7,000","6,950","7,000","6,950","2.41K","0.72%"
"10/16/2024","6,950","7,000","7,000","6,950","2.22K","-0.71%"
"10/15/2024","7,000","6,905","7,000","6,905","0.38K","1.38%"
"10/14/2024","6,905","7,000","7,000","6,905","2.12K","-1.36%"
"10/11/2024","7,000","7,100","7,100","7,000","6.04K","-1.41%"
"10/10/2024","7,100","7,000","7,100","7,000","22.34K","1.43%"
"10/09/2024","7,000","7,000","7,000","7,000","36.11K","0.00%"
"10/08/2024","7,000","7,000","7,000","7,000","1.02K","0.00%"
"10/07/2024","7,000","7,300","7,300","7,000","7.46K","-4.11%"
"10/04/2024","7,300","7,300","7,300","7,300","0.01K","0.00%"
"10/02/2024","7,300","7,445","7,445","7,300","0.65K","-1.95%"
"10/01/2024","7,445","7,100","7,445","7,100","2.02K","4.86%"
"09/30/2024","7,100","7,245","7,245","7,100","0.47K","-2.00%"
"09/27/2024","7,245","7,250","7,250","7,245","0.08K","-0.07%"
"09/26/2024","7,250","7,250","7,250","7,250","0.05K","0.00%"
"09/25/2024","7,250","7,250","7,250","7,250","0.44K","0.00%"
"09/24/2024","7,250","7,250","7,250","7,250","0.18K","0.00%"
"09/23/2024","7,250","7,300","7,300","7,250","0.15K","-0.68%"
"09/20/2024","7,300","7,000","7,300","7,000","2.41K","4.29%"
"09/19/2024","7,000","6,605","7,000","6,605","1.66K","5.98%"
"09/18/2024","6,605","7,000","7,000","6,605","0.65K","-5.64%"
"09/17/2024","7,000","7,000","7,000","7,000","0.07K","0.00%"
"09/16/2024","7,000","6,770","7,000","6,770","0.74K","3.40%"
"09/13/2024","6,770","7,000","7,000","6,770","0.41K","-3.29%"
"09/11/2024","7,000","7,000","7,000","7,000","1.31K","0.00%"
"09/10/2024","7,000","6,900","7,000","6,900","0.14K","1.45%"
"09/09/2024","6,900","6,990","6,990","6,900","5.62K","-1.29%"
"09/06/2024","6,990","6,990","6,990","6,990","100.32K","-0.14%"
"09/05/2024","7,000","7,000","7,000","7,000","0.13K","0.00%"
"09/04/2024","7,000","7,000","7,000","7,000","0.20K","0.00%"
"09/03/2024","7,000","7,000","7,000","7,000","1.73K","1.45%"
"09/02/2024","6,900","6,900","6,900","6,900","0.05K","-1.43%"
"08/30/2024","7,000","7,000","7,000","7,000","0.34K","0.00%"
"08/29/2024","7,000","7,000","7,000","7,000","3.53K","0.14%"
"08/28/2024","6,990","6,990","6,990","6,990","0.05K","-0.14%"
"08/27/2024","7,000","7,000","7,000","7,000","0.66K","1.45%"
"08/26/2024","6,900","6,900","6,900","6,900","0.54K","0.00%"
"08/23/2024","6,900","6,900","6,900","6,900","0.04K","0.00%"
"08/22/2024","6,900","6,900","6,900","6,900","1.21K","0.07%"
"08/21/2024","6,895","6,895","6,895","6,895","1.35K","5.19%"
"08/20/2024","6,555","6,555","6,555","6,555","5.28K","0.08%"
"08/19/2024","6,550","6,550","6,550","6,550","9.46K","-0.76%"
"08/16/2024","6,600","6,600","6,600","6,600","0.41K","0.00%"
"08/14/2024","6,600","6,600","6,600","6,600","0.12K","0.00%"
"08/13/2024","6,600","6,600","6,600","6,600","0.73K","-1.42%"
"08/12/2024","6,695","6,695","6,695","6,695","0.21K","-0.07%"
"08/09/2024","6,700","6,700","6,700","6,700","1.80K","0.00%"
"08/08/2024","6,700","6,700","6,700","6,700","0.27K","0.07%"
"08/06/2024","6,695","6,695","6,695","6,695","0.24K","0.00%"
"08/05/2024","6,695","6,695","6,695","6,695","0.03K","-0.07%"
"08/02/2024","6,700","6,700","6,700","6,700","0.15K","0.00%"
"08/01/2024","6,700","6,700","6,700","6,700","0.30K","-1.18%"
"07/31/2024","6,780","6,780","6,780","6,780","1.80K","0.00%"
"07/30/2024","6,780","6,780","6,780","6,780","1.05K","0.00%"
"07/29/2024","6,780","6,780","6,780","6,780","0.26K","-0.07%"
"07/26/2024","6,785","6,785","6,785","6,785","0.64K","-0.07%"
"07/25/2024","6,790","6,790","6,790","6,790","0.71K","-3.00%"
"07/24/2024","7,000","7,000","7,000","7,000","1.73K","0.00%"
"07/23/2024","7,000","7,000","7,000","7,000","1.99K","0.00%"
"07/22/2024","7,000","7,000","7,000","7,000","6.06K","0.00%"
"07/19/2024","7,000","7,000","7,000","7,000","6.63K","0.00%"
"07/18/2024","7,000","7,000","7,000","7,000","2.95K","0.00%"
"07/17/2024","7,000","7,000","7,000","7,000","4.39K","0.00%"
"07/16/2024","7,000","7,000","7,000","7,000","11.38K","0.00%"
"07/15/2024","7,000","7,000","7,000","7,000","9.44K","0.00%"
"07/12/2024","7,000","7,000","7,000","7,000","0.99K","0.00%"
"07/11/2024","7,000","7,000","7,000","7,000","2.56K","0.00%"
"07/10/2024","7,000","7,000","7,000","7,000","8.54K","0.00%"
"07/09/2024","7,000","7,000","7,000","7,000","2.44K","0.00%"
"07/08/2024","7,000","7,000","7,000","7,000","10.21K","0.00%"
"07/05/2024","7,000","7,000","7,000","7,000","0.97K","0.00%"
"07/04/2024","7,000","7,000","7,000","7,000","1.11K","0.00%"
"07/03/2024","7,000","7,000","7,000","7,000","1.58K","-2.71%"
"07/02/2024","7,195","7,195","7,195","7,195","3.18K","0.00%"
"07/01/2024","7,195","7,195","7,195","7,195","1.43K","-4.00%"
"06/28/2024","7,495","7,495","7,495","7,495","1.86K","7.07%"
"06/27/2024","7,000","7,000","7,000","7,000","0.66K","-2.78%"
"06/26/2024","7,200","7,200","7,200","7,200","4.58K","2.86%"
"06/25/2024","7,000","7,000","7,000","7,000","0.44K","-2.78%"
"06/24/2024","7,200","7,200","7,200","7,200","4.60K","2.86%"
"06/21/2024","7,000","7,000","7,000","7,000","10.02K","0.07%"
"06/20/2024","6,995","6,995","6,995","6,995","0.23K","-0.07%"
"06/19/2024","7,000","7,000","7,000","7,000","1.09K","-2.78%"
"06/18/2024","7,200","7,200","7,200","7,200","1.23K","-2.04%"
"06/14/2024","7,350","7,350","7,350","7,350","0.07K","2.08%"
"06/13/2024","7,200","7,200","7,200","7,200","1.03K","-1.37%"
"06/12/2024","7,300","7,300","7,300","7,300","0.19K","0.00%"
"06/11/2024","7,300","7,300","7,300","7,300","3.40K","-2.60%"
"06/10/2024","7,495","7,495","7,495","7,495","0.00K","7.07%"
"06/07/2024","7,000","7,000","7,000","7,000","15.71K","-5.41%"
"06/06/2024","7,400","7,400","7,400","7,400","0.50K","-1.33%"
"06/05/2024","7,500","7,500","7,500","7,500","0.09K","4.24%"
"06/04/2024","7,195","7,195","7,195","7,195","22.46K","7.39%"
"06/03/2024","6,700","6,700","6,700","6,700","0.52K","-6.88%"
"05/31/2024","7,195","7,195","7,195","7,195","0.44K","2.79%"
"05/30/2024","7,000","7,000","7,000","7,000","0.12K","0.00%"
"05/29/2024","7,000","7,000","7,000","7,000","0.26K","-1.41%"
"05/28/2024","7,100","7,100","7,100","7,100","0.01K","-1.39%"
"05/27/2024","7,200","7,200","7,200","7,200","0.73K","4.80%"
"05/24/2024","6,870","6,870","6,870","6,870","0.33K","0.00%"
"05/22/2024","6,870","6,870","6,870","6,870","0.22K","0.00%"
"05/21/2024","6,870","6,870","6,870","6,870","0.34K","-0.22%"
"05/17/2024","6,885","6,885","6,885","6,885","2.73K","-0.15%"
"05/16/2024","6,895","6,895","6,895","6,895","0.01K","-0.07%"
"05/15/2024","6,900","6,900","6,900","6,900","3.53K","0.73%"
"05/14/2024","6,850","6,850","6,850","6,850","0.05K","0.00%"
"05/13/2024","6,850","6,850","6,850","6,850","0.09K","0.74%"
"05/10/2024","6,800","6,800","6,800","6,800","0.44K","-0.87%"
"05/08/2024","6,860","6,860","6,860","6,860","0.00K","0.00%"
"05/07/2024","6,860","6,860","6,860","6,860","0.20K","-0.15%"
"05/02/2024","6,870","6,870","6,870","6,870","0.00K","-0.43%"
"04/30/2024","6,900","6,900","6,900","6,900","0.70K","2.45%"
"04/26/2024","6,735","6,735","6,735","6,735","0.17K","-0.07%"
"04/25/2024","6,740","6,740","6,740","6,740","0.05K","-0.07%"
"04/24/2024","6,745","6,745","6,745","6,745","2.06K","-0.81%"
"04/18/2024","6,800","6,800","6,800","6,800","0.31K","0.74%"
"04/17/2024","6,750","6,750","6,750","6,750","15.51K","7.31%"
"04/16/2024","6,290","6,290","6,290","6,290","4.01K","-7.50%"
"04/12/2024","6,800","6,800","6,800","6,800","0.21K","-0.22%"
"04/11/2024","6,815","6,815","6,815","6,815","0.26K","0.00%"
"04/09/2024","6,815","6,815","6,815","6,815","0.11K","0.29%"
"04/08/2024","6,795","6,795","6,795","6,795","0.58K","1.49%"
"04/05/2024","6,695","6,695","6,695","6,695","0.87K","-0.07%"
"04/04/2024","6,700","6,700","6,700","6,700","0.38K","-1.40%"
"04/03/2024","6,795","6,795","6,795","6,795","0.06K","0.00%"
"04/02/2024","6,795","6,795","6,795","6,795","0.91K","-0.07%"
"03/28/2024","6,800","6,800","6,800","6,800","0.35K","0.00%"
"03/26/2024","6,800","6,800","6,800","6,800","0.56K","0.00%"
"03/25/2024","6,800","6,800","6,800","6,800","1.17K","-0.73%"
"03/22/2024","6,850","6,850","6,850","6,850","7.16K","-1.79%"
"03/21/2024","6,975","6,975","6,975","6,975","6.49K","-0.07%"
"03/20/2024","6,980","6,980","6,980","6,980","0.01K","0.00%"
"03/19/2024","6,980","6,980","6,980","6,980","0.12K","3.48%"
"03/18/2024","6,745","6,745","6,745","6,745","3.62K","7.06%"
"03/15/2024","6,300","6,300","6,300","6,300","30.54K","1.61%"
"03/14/2024","6,200","6,200","6,200","6,200","0.00K","0.00%"
"03/13/2024","6,200","6,200","6,200","6,200","5.68K","1.72%"
"03/12/2024","6,095","6,095","6,095","6,095","1.10K","7.40%"
"03/11/2024","5,675","5,675","5,675","5,675","0.83K","-7.27%"
"03/08/2024","6,120","6,120","6,120","6,120","1.42K","0.91%"
"03/07/2024","6,065","6,065","6,065","6,065","0.11K","7.35%"
"03/06/2024","5,650","5,650","5,650","5,650","1.50K","-7.38%"
"03/04/2024","6,100","6,100","6,100","6,100","0.01K","-0.81%"
"02/29/2024","6,150","6,150","6,150","6,150","0.11K","0.82%"
"02/27/2024","6,100","6,100","6,100","6,100","0.03K","0.08%"
"02/26/2024","6,095","6,095","6,095","6,095","0.00K","-0.08%"
"02/21/2024","6,100","6,100","6,100","6,100","0.79K","1.67%"
"02/20/2024","6,000","6,000","6,000","6,000","0.42K","-1.96%"
"02/19/2024","6,120","6,120","6,120","6,120","0.01K","0.00%"
"02/15/2024","6,120","6,120","6,120","6,120","0.66K","2.00%"
"02/14/2024","6,000","6,000","6,000","6,000","0.03K","0.00%"
"02/13/2024","6,000","6,000","6,000","6,000","1.65K","-1.48%"
"02/09/2024","6,090","6,090","6,090","6,090","0.15K","1.50%"
"02/08/2024","6,000","6,000","6,000","6,000","0.10K","-1.48%"
"02/07/2024","6,090","6,090","6,090","6,090","0.02K","-1.77%"
"02/06/2024","6,200","6,200","6,200","6,200","0.66K","3.33%"
"02/05/2024","6,000","6,000","6,000","6,000","0.44K","0.00%"
"02/02/2024","6,000","6,000","6,000","6,000","0.33K","-3.23%"
"02/01/2024","6,200","6,200","6,200","6,200","10.22K","3.33%"
"01/30/2024","6,000","6,000","6,000","6,000","0.12K","0.00%"
"01/29/2024","6,000","6,000","6,000","6,000","0.12K","0.00%"
"01/26/2024","6,000","6,000","6,000","6,000","0.11K","0.00%"
"01/25/2024","6,000","6,000","6,000","6,000","0.07K","1.69%"
"01/24/2024","5,900","5,900","5,900","5,900","0.15K","0.00%"
"01/22/2024","5,900","5,900","5,900","5,900","0.07K","0.00%"
"01/17/2024","5,900","5,900","5,900","5,900","0.03K","0.00%"
"01/16/2024","5,900","5,900","5,900","5,900","0.06K","-1.67%"
"01/12/2024","6,000","6,000","6,000","6,000","0.35K","6.19%"
"01/11/2024","5,650","5,650","5,650","5,650","0.00K","-7.22%"
"01/04/2024","6,090","6,090","6,090","6,090","0.14K","2.53%"
"01/03/2024","5,940","5,940","5,940","5,940","0.01K","-0.08%"
"12/29/2023","5,945","5,945","5,945","5,945","4.70K","0.76%"
"12/28/2023","5,900","5,900","5,900","5,900","30.30K","-0.84%"
"12/27/2023","5,950","5,950","5,950","5,950","0.16K","0.17%"
"12/26/2023","5,940","5,940","5,940","5,940","0.07K","-2.38%"
"12/22/2023","6,085","6,085","6,085","6,085","0.09K","-0.08%"
"12/21/2023","6,090","6,090","6,090","6,090","0.02K","0.00%"
"12/20/2023","6,090","6,090","6,090","6,090","0.07K","0.00%"
"12/19/2023","6,090","6,090","6,090","6,090","0.11K","0.00%"
"12/18/2023","6,090","6,090","6,090","6,090","1.39K","0.00%"
"12/15/2023","6,090","6,090","6,090","6,090","2.56K","0.00%"
"12/14/2023","6,090","6,090","6,090","6,090","0.18K","0.00%"
"12/13/2023","6,090","6,090","6,090","6,090","0.05K","-0.08%"
"12/12/2023","6,095","6,095","6,095","6,095","0.15K","0.00%"
"12/11/2023","6,095","6,095","6,095","6,095","0.06K","0.00%"
"12/08/2023","6,095","6,095","6,095","6,095","0.08K","0.00%"
"12/07/2023","6,095","6,095","6,095","6,095","0.00K","0.00%"
"12/06/2023","6,095","6,095","6,095","6,095","0.40K","-0.81%"
"12/05/2023","6,145","6,145","6,145","6,145","0.19K","0.74%"
"12/04/2023","6,100","6,100","6,100","6,100","0.04K","-1.61%"
"11/30/2023","6,200","6,200","6,200","6,200","0.05K","-1.59%"
"11/29/2023","6,300","6,300","6,300","6,300","1.71K","2.44%"
"11/28/2023","6,150","6,150","6,150","6,150","1.09K","-2.38%"
"11/20/2023","6,300","6,300","6,300","6,300","0.49K","5.00%"
"11/17/2023","6,000","6,000","6,000","6,000","0.07K","-1.48%"
"11/14/2023","6,090","6,090","6,090","6,090","0.78K","1.50%"
"11/13/2023","6,000","6,000","6,000","6,000","0.07K","0.00%"
"11/09/2023","6,000","6,000","6,000","6,000","0.12K","1.78%"
"11/08/2023","5,895","5,895","5,895","5,895","0.08K","-0.92%"
"11/07/2023","5,950","5,950","5,950","5,950","0.22K","-0.83%"
"11/06/2023","6,000","6,000","6,000","6,000","1.17K","-1.64%"
"11/03/2023","6,100","6,100","6,100","6,100","0.04K","0.00%"
"11/02/2023","6,100","6,100","6,100","6,100","0.00K","0.00%"
"10/30/2023","6,100","6,100","6,100","6,100","0.07K","1.67%"
"10/27/2023","6,000","6,000","6,000","6,000","0.00K","0.00%"
"10/26/2023","6,000","6,000","6,000","6,000","0.02K","-1.64%"
"10/25/2023","6,100","6,100","6,100","6,100","0.05K","0.00%"
"10/24/2023","6,100","6,100","6,100","6,100","0.36K","0.00%"
"10/23/2023","6,100","6,100","6,100","6,100","0.05K","-1.29%"
"10/20/2023","6,180","6,180","6,180","6,180","0.04K","-0.16%"
"10/19/2023","6,190","6,190","6,190","6,190","0.20K","-0.08%"
"10/18/2023","6,195","6,195","6,195","6,195","0.87K","-1.67%"
"10/16/2023","6,300","6,300","6,300","6,300","0.51K","3.28%"
"10/13/2023","6,100","6,100","6,100","6,100","0.37K","0.00%"
"10/11/2023","6,100","6,100","6,100","6,100","0.05K","0.00%"
"10/10/2023","6,100","6,100","6,100","6,100","0.01K","-1.61%"
"10/06/2023","6,200","6,200","6,200","6,200","0.71K","0.00%"
"10/04/2023","6,200","6,200","6,200","6,200","0.08K","0.00%"
"10/02/2023","6,200","6,200","6,200","6,200","0.05K","0.00%"
"09/29/2023","6,200","6,200","6,200","6,200","0.08K","0.00%"
"09/28/2023","6,200","6,200","6,200","6,200","1.27K","0.00%"
"09/26/2023","6,200","6,200","6,200","6,200","0.08K","0.00%"
"09/25/2023","6,200","6,200","6,200","6,200","0.35K","3.33%"
"09/22/2023","6,000","6,000","6,000","6,000","0.07K","1.69%"
"09/21/2023","5,900","5,900","5,900","5,900","3.54K","-1.67%"
"09/20/2023","6,000","6,000","6,000","6,000","0.24K","-1.64%"
"09/19/2023","6,100","6,100","6,100","6,100","0.26K","-1.61%"
"09/18/2023","6,200","6,200","6,200","6,200","2.53K","1.64%"
"09/14/2023","6,100","6,100","6,100","6,100","1.06K","1.75%"
"09/13/2023","5,995","5,995","5,995","5,995","1.71K","-4.84%"
"09/12/2023","6,300","6,300","6,300","6,300","0.59K","5.00%"
"09/08/2023","6,000","6,000","6,000","6,000","0.51K","-1.64%"
"09/07/2023","6,100","6,100","6,100","6,100","0.32K","0.00%"
"09/06/2023","6,100","6,100","6,100","6,100","0.52K","1.67%"
"09/05/2023","6,000","6,000","6,000","6,000","0.55K","-4.76%"
"09/01/2023","6,300","6,300","6,300","6,300","0.26K","3.36%"
"08/31/2023","6,095","6,095","6,095","6,095","0.27K","4.55%"
"08/30/2023","5,830","5,830","5,830","5,830","0.28K","0.26%"
"08/29/2023","5,815","5,815","5,815","5,815","0.21K","0.00%"
