"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","2,900","2,885","2,900","2,885","4.19K","0.52%"
"06/04/2025","2,885","2,770","2,885","2,770","16.00K","4.15%"
"06/03/2025","2,770","2,580","2,770","2,580","17.21K","7.36%"
"06/02/2025","2,580","2,540","2,580","2,540","4.77K","1.57%"
"05/30/2025","2,540","2,585","2,585","2,540","20.53K","-1.74%"
"05/28/2025","2,585","2,585","2,585","2,585","5.64K","0.00%"
"05/27/2025","2,585","2,575","2,585","2,575","5.37K","0.39%"
"05/26/2025","2,575","2,600","2,600","2,575","4.47K","-0.96%"
"05/23/2025","2,600","2,700","2,700","2,600","8.62K","-3.70%"
"05/22/2025","2,700","2,585","2,700","2,585","4.08K","4.45%"
"05/21/2025","2,585","2,405","2,585","2,405","9.61K","7.48%"
"05/20/2025","2,405","2,395","2,405","2,395","6.40K","0.42%"
"05/19/2025","2,395","2,395","2,395","2,395","9.92K","0.00%"
"05/16/2025","2,395","2,390","2,395","2,390","3.35K","0.21%"
"05/15/2025","2,390","2,395","2,395","2,390","17.94K","-0.21%"
"05/14/2025","2,395","2,395","2,395","2,395","7.32K","0.00%"
"05/13/2025","2,395","2,320","2,395","2,320","8.23K","3.23%"
"05/12/2025","2,320","2,390","2,390","2,320","6.05K","-2.93%"
"05/09/2025","2,390","2,405","2,405","2,390","8.75K","-0.62%"
"05/08/2025","2,405","2,600","2,600","2,405","51.16K","-7.50%"
"05/07/2025","2,600","2,810","2,810","2,600","1.77K","-7.47%"
"05/06/2025","2,810","3,035","3,035","2,810","2.11K","-7.41%"
"05/05/2025","3,035","3,280","3,280","3,035","1.28K","-7.47%"
"05/02/2025","3,280","3,545","3,545","3,280","4.44K","-7.48%"
"04/30/2025","3,545","3,600","3,600","3,545","7.76K","-1.53%"
"04/29/2025","3,600","3,600","3,600","3,600","26.20K","0.00%"
"04/28/2025","3,600","3,620","3,620","3,600","3.35K","-0.55%"
"04/25/2025","3,620","3,650","3,650","3,620","3.56K","-0.82%"
"04/24/2025","3,650","3,450","3,650","3,450","2.05K","5.80%"
"04/23/2025","3,450","3,500","3,500","3,450","11.78K","-1.43%"
"04/22/2025","3,500","3,600","3,600","3,500","6.32K","-2.78%"
"04/18/2025","3,600","3,650","3,650","3,600","6.55K","-1.37%"
"04/17/2025","3,650","3,745","3,745","3,650","17.16K","-2.54%"
"04/16/2025","3,745","3,750","3,750","3,745","11.38K","-0.13%"
"04/15/2025","3,750","3,950","3,950","3,750","7.68K","-5.06%"
"04/14/2025","3,950","3,960","3,960","3,950","12.50K","-0.25%"
"04/11/2025","3,960","3,900","3,960","3,900","39.78K","1.54%"
"04/10/2025","3,900","3,630","3,900","3,630","47.66K","7.44%"
"04/09/2025","3,630","3,380","3,630","3,380","12.20K","7.40%"
"04/08/2025","3,380","3,245","3,380","3,245","11.16K","4.16%"
"04/07/2025","3,245","3,390","3,390","3,245","6.07K","-4.28%"
"04/04/2025","3,390","3,440","3,440","3,390","1.13K","-1.45%"
"04/03/2025","3,440","3,380","3,440","3,380","3.37K","1.78%"
"04/02/2025","3,380","3,465","3,465","3,380","4.41K","-2.45%"
"04/01/2025","3,465","3,480","3,480","3,465","1.71K","-0.43%"
"03/28/2025","3,480","3,495","3,495","3,480","1.71K","-0.43%"
"03/26/2025","3,495","3,495","3,495","3,495","2.95K","0.00%"
"03/25/2025","3,495","3,605","3,605","3,495","5.25K","-3.05%"
"03/24/2025","3,605","3,620","3,620","3,605","9.00K","-0.41%"
"03/21/2025","3,620","3,695","3,695","3,620","4.15K","-2.03%"
"03/20/2025","3,695","3,800","3,800","3,695","12.81K","-2.76%"
"03/19/2025","3,800","3,635","3,800","3,635","15.17K","4.54%"
"03/18/2025","3,635","3,620","3,635","3,620","3.61K","0.41%"
"03/17/2025","3,620","3,650","3,650","3,620","14.96K","-0.82%"
"03/14/2025","3,650","3,550","3,650","3,550","1.11K","2.82%"
"03/13/2025","3,550","3,605","3,605","3,550","21.02K","-1.53%"
"03/12/2025","3,605","3,600","3,605","3,600","5.19K","0.14%"
"03/11/2025","3,600","3,730","3,730","3,600","25.02K","-3.49%"
"03/10/2025","3,730","3,740","3,740","3,730","3.49K","-0.27%"
"03/07/2025","3,740","3,745","3,745","3,740","1.30K","-0.13%"
"03/06/2025","3,745","3,670","3,745","3,670","1.13K","2.04%"
"03/05/2025","3,670","3,785","3,785","3,670","22.52K","-3.04%"
"03/04/2025","3,785","3,785","3,785","3,785","17.67K","0.00%"
"03/03/2025","3,785","3,790","3,790","3,785","24.15K","-0.13%"
"02/28/2025","3,790","3,550","3,790","3,550","16.95K","6.76%"
"02/27/2025","3,550","3,355","3,550","3,355","18.89K","5.81%"
"02/26/2025","3,355","3,200","3,355","3,200","13.27K","4.84%"
"02/25/2025","3,200","3,055","3,200","3,055","3.60K","4.75%"
"02/24/2025","3,055","3,300","3,300","3,055","2.53K","-7.42%"
"02/21/2025","3,300","3,300","3,300","3,300","12.03K","0.00%"
"02/20/2025","3,300","3,280","3,300","3,280","12.43K","0.61%"
"02/19/2025","3,280","3,065","3,280","3,065","14.57K","7.01%"
"02/18/2025","3,065","2,855","3,065","2,855","15.02K","7.36%"
"02/17/2025","2,855","2,705","2,855","2,705","31.34K","5.55%"
"02/14/2025","2,705","2,530","2,705","2,530","50.39K","6.92%"
"02/13/2025","2,530","2,500","2,530","2,500","22.38K","1.20%"
"02/12/2025","2,500","2,495","2,500","2,495","0.48K","0.20%"
"02/11/2025","2,495","2,500","2,500","2,495","1.13K","-0.20%"
"02/10/2025","2,500","2,495","2,500","2,495","1.80K","0.20%"
"02/07/2025","2,495","2,450","2,495","2,450","0.50K","1.84%"
"02/06/2025","2,450","2,450","2,450","2,450","0.70K","0.00%"
"02/05/2025","2,450","2,480","2,480","2,450","0.58K","-1.21%"
"02/04/2025","2,480","2,420","2,480","2,420","1.20K","2.48%"
"02/03/2025","2,420","2,495","2,495","2,420","0.98K","-3.01%"
"01/31/2025","2,495","2,355","2,495","2,355","1.07K","5.94%"
"01/30/2025","2,355","2,425","2,425","2,355","3.02K","-2.89%"
"01/29/2025","2,425","2,420","2,425","2,420","2.73K","0.21%"
"01/28/2025","2,420","2,450","2,450","2,420","0.55K","-1.22%"
"01/27/2025","2,450","2,425","2,450","2,425","1.05K","1.03%"
"01/24/2025","2,425","2,405","2,425","2,405","0.54K","0.83%"
"01/23/2025","2,405","2,450","2,450","2,405","1.05K","-1.84%"
"01/22/2025","2,450","2,485","2,485","2,450","1.14K","-1.41%"
"01/21/2025","2,485","2,450","2,485","2,450","6.82K","1.43%"
"01/20/2025","2,450","2,425","2,450","2,425","1.41K","1.03%"
"01/17/2025","2,425","2,425","2,425","2,425","0.30K","0.00%"
"01/16/2025","2,425","2,450","2,450","2,425","1.74K","-1.02%"
"01/15/2025","2,450","2,500","2,500","2,450","1.25K","-2.00%"
"01/14/2025","2,500","2,435","2,500","2,435","2.81K","2.67%"
"01/13/2025","2,435","2,500","2,500","2,435","2.24K","-2.60%"
"01/10/2025","2,500","2,425","2,500","2,425","3.22K","3.09%"
"01/09/2025","2,425","2,495","2,495","2,425","3.40K","-2.81%"
"01/08/2025","2,495","2,435","2,495","2,435","19.83K","2.46%"
"01/07/2025","2,435","2,480","2,480","2,435","2.36K","-1.81%"
"01/06/2025","2,480","2,480","2,480","2,480","0.52K","0.00%"
"01/03/2025","2,480","2,480","2,480","2,480","0.19K","0.00%"
"01/02/2025","2,480","2,500","2,500","2,480","2.04K","-0.80%"
"12/31/2024","2,500","2,480","2,500","2,480","3.47K","0.81%"
"12/30/2024","2,480","2,400","2,480","2,400","3.69K","3.33%"
"12/27/2024","2,400","2,335","2,400","2,335","1.49K","2.78%"
"12/26/2024","2,335","2,300","2,335","2,300","4.15K","1.52%"
