"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","2,785","2,595","2,785","2,595","1.26K","7.32%"
"06/04/2025","2,595","2,595","2,595","2,595","3.00K","0.00%"
"06/03/2025","2,595","2,500","2,595","2,500","1.96K","3.80%"
"06/02/2025","2,500","2,500","2,500","2,500","0.57K","0.00%"
"05/30/2025","2,500","2,525","2,525","2,500","0.57K","-0.99%"
"05/28/2025","2,525","2,450","2,525","2,450","5.07K","3.06%"
"05/27/2025","2,450","2,450","2,450","2,450","2.88K","0.00%"
"05/26/2025","2,450","2,450","2,450","2,450","2.88K","0.00%"
"05/23/2025","2,450","2,490","2,490","2,450","2.84K","-1.61%"
"05/22/2025","2,490","2,410","2,490","2,410","0.41K","3.32%"
"05/21/2025","2,410","2,495","2,495","2,410","0.72K","-3.41%"
"05/20/2025","2,495","2,415","2,495","2,415","2.40K","3.31%"
"05/19/2025","2,415","2,410","2,415","2,410","0.54K","0.21%"
"05/16/2025","2,410","2,495","2,495","2,410","1.85K","-3.41%"
"05/15/2025","2,495","2,490","2,495","2,490","0.59K","0.20%"
"05/14/2025","2,490","2,500","2,500","2,490","0.83K","-0.40%"
"05/13/2025","2,500","2,500","2,500","2,500","0.35K","0.00%"
"05/12/2025","2,500","2,450","2,500","2,450","1.13K","2.04%"
"05/09/2025","2,450","2,450","2,450","2,450","12.83K","0.00%"
"05/08/2025","2,450","2,450","2,450","2,450","0.53K","0.00%"
"05/07/2025","2,450","2,445","2,450","2,445","3.28K","0.20%"
"05/06/2025","2,445","2,495","2,495","2,445","2.02K","-2.00%"
"05/05/2025","2,495","2,500","2,500","2,495","6.89K","-0.20%"
"05/02/2025","2,500","2,525","2,525","2,500","15.98K","-0.99%"
"04/30/2025","2,525","2,545","2,545","2,525","0.75K","-0.79%"
"04/29/2025","2,545","2,400","2,545","2,400","2.91K","6.04%"
"04/28/2025","2,400","2,500","2,500","2,400","5.35K","-4.00%"
"04/25/2025","2,500","2,440","2,500","2,440","3.06K","2.46%"
"04/24/2025","2,440","2,400","2,440","2,400","0.84K","1.67%"
"04/23/2025","2,400","2,390","2,400","2,390","0.65K","0.42%"
"04/22/2025","2,390","2,395","2,395","2,390","0.13K","-0.21%"
"04/18/2025","2,395","2,400","2,400","2,395","0.22K","-0.21%"
"04/17/2025","2,400","2,350","2,400","2,350","5.15K","2.13%"
"04/16/2025","2,350","2,340","2,350","2,340","2.23K","0.43%"
"04/15/2025","2,340","2,340","2,340","2,340","0.53K","0.00%"
"04/14/2025","2,340","2,300","2,340","2,300","1.16K","1.74%"
"04/11/2025","2,300","2,300","2,300","2,300","1.19K","0.00%"
"04/10/2025","2,300","2,350","2,350","2,300","3.54K","-2.13%"
"04/09/2025","2,350","2,350","2,350","2,350","1.55K","0.00%"
"04/08/2025","2,350","2,350","2,350","2,350","2.35K","0.00%"
"04/07/2025","2,350","2,350","2,350","2,350","2.57K","0.00%"
"04/04/2025","2,350","2,405","2,405","2,350","3.37K","-2.29%"
"04/03/2025","2,405","2,350","2,405","2,350","1.01K","2.34%"
"04/02/2025","2,350","2,440","2,440","2,350","1.67K","-3.69%"
"04/01/2025","2,440","2,440","2,440","2,440","1.09K","0.00%"
"03/28/2025","2,440","2,350","2,440","2,350","1.26K","3.83%"
"03/26/2025","2,350","2,350","2,350","2,350","1.25K","0.00%"
"03/25/2025","2,350","2,395","2,395","2,350","2.25K","-1.88%"
"03/24/2025","2,395","2,330","2,395","2,330","0.38K","2.79%"
"03/21/2025","2,330","2,350","2,350","2,330","1.37K","-0.85%"
"03/20/2025","2,350","2,375","2,375","2,350","4.16K","-1.05%"
"03/19/2025","2,375","2,400","2,400","2,375","3.02K","-1.04%"
"03/18/2025","2,400","2,440","2,440","2,400","10.55K","-1.64%"
"03/17/2025","2,440","2,440","2,440","2,440","1.58K","0.00%"
"03/14/2025","2,440","2,440","2,440","2,440","1.32K","0.00%"
"03/13/2025","2,440","2,350","2,440","2,350","1.84K","3.83%"
"03/12/2025","2,350","2,350","2,350","2,350","0.19K","0.00%"
"03/11/2025","2,350","2,355","2,355","2,350","12.44K","-0.21%"
"03/10/2025","2,355","2,350","2,355","2,350","4.76K","0.21%"
"03/07/2025","2,350","2,350","2,350","2,350","2.35K","0.00%"
"03/06/2025","2,350","2,365","2,365","2,350","1.55K","-0.63%"
"03/05/2025","2,365","2,365","2,365","2,365","2.58K","0.00%"
"03/04/2025","2,365","2,370","2,370","2,365","3.60K","-0.21%"
"03/03/2025","2,370","2,365","2,370","2,365","1.08K","0.21%"
"02/28/2025","2,365","2,365","2,365","2,365","3.16K","0.00%"
"02/27/2025","2,365","2,365","2,365","2,365","4.50K","0.00%"
"02/26/2025","2,365","2,350","2,365","2,350","0.86K","0.64%"
"02/25/2025","2,350","2,370","2,370","2,350","1.63K","-0.84%"
"02/24/2025","2,370","2,375","2,375","2,370","0.73K","-0.21%"
"02/21/2025","2,375","2,375","2,375","2,375","1.20K","0.00%"
"02/20/2025","2,375","2,385","2,385","2,375","0.43K","-0.42%"
"02/19/2025","2,385","2,375","2,385","2,375","0.55K","0.42%"
"02/18/2025","2,375","2,375","2,375","2,375","1.61K","0.00%"
"02/17/2025","2,375","2,360","2,375","2,360","0.27K","0.64%"
"02/14/2025","2,360","2,200","2,360","2,200","0.29K","7.27%"
"02/13/2025","2,200","2,350","2,350","2,200","8.34K","-6.38%"
"02/12/2025","2,350","2,345","2,350","2,345","0.82K","0.21%"
"02/11/2025","2,345","2,380","2,380","2,345","5.57K","-1.47%"
"02/10/2025","2,380","2,375","2,380","2,375","1.62K","0.21%"
"02/07/2025","2,375","2,285","2,375","2,285","0.37K","3.94%"
"02/06/2025","2,285","2,250","2,285","2,250","3.47K","1.56%"
"02/05/2025","2,250","2,250","2,250","2,250","0.97K","0.00%"
"02/04/2025","2,250","2,300","2,300","2,250","0.42K","-2.17%"
"02/03/2025","2,300","2,200","2,300","2,200","0.47K","4.55%"
"01/31/2025","2,200","2,225","2,225","2,200","1.13K","-1.12%"
"01/30/2025","2,225","2,300","2,300","2,225","1.92K","-3.26%"
"01/29/2025","2,300","2,350","2,350","2,300","1.57K","-2.13%"
"01/28/2025","2,350","2,385","2,385","2,350","0.26K","-1.47%"
"01/27/2025","2,385","2,390","2,390","2,385","0.51K","-0.21%"
"01/24/2025","2,390","2,390","2,390","2,390","0.18K","0.00%"
"01/23/2025","2,390","2,395","2,395","2,390","0.07K","-0.21%"
"01/22/2025","2,395","2,385","2,395","2,385","0.71K","0.42%"
"01/21/2025","2,385","2,385","2,385","2,385","0.57K","0.00%"
"01/20/2025","2,385","2,380","2,385","2,380","0.27K","0.21%"
"01/17/2025","2,380","2,390","2,390","2,380","0.26K","-0.42%"
"01/16/2025","2,390","2,300","2,390","2,300","0.65K","3.91%"
"01/15/2025","2,300","2,390","2,390","2,300","0.05K","-3.77%"
"01/14/2025","2,390","2,400","2,400","2,390","0.07K","-0.42%"
"01/13/2025","2,400","2,390","2,400","2,390","1.24K","0.42%"
"01/10/2025","2,390","2,400","2,400","2,390","0.27K","-0.42%"
"01/09/2025","2,400","2,400","2,400","2,400","1.18K","0.00%"
"01/08/2025","2,400","2,300","2,400","2,300","0.49K","4.35%"
"01/07/2025","2,300","2,300","2,300","2,300","0.74K","0.00%"
"01/06/2025","2,300","2,300","2,300","2,300","0.48K","0.00%"
"01/03/2025","2,300","2,300","2,300","2,300","0.11K","0.00%"
"01/02/2025","2,300","2,300","2,300","2,300","0.01K","0.00%"
"12/31/2024","2,300","2,250","2,300","2,250","1.20K","2.22%"
"12/30/2024","2,250","2,250","2,250","2,250","1.24K","0.00%"
"12/27/2024","2,250","2,250","2,250","2,250","0.62K","0.00%"
"12/26/2024","2,250","2,250","2,250","2,250","3.16K","0.00%"
"12/24/2024","2,250","2,250","2,250","2,250","0.09K","0.00%"
"12/23/2024","2,250","2,290","2,290","2,250","2.44K","-1.75%"
"12/20/2024","2,290","2,290","2,290","2,290","0.29K","0.00%"
"12/19/2024","2,290","2,300","2,300","2,290","0.24K","-0.43%"
"12/18/2024","2,300","2,345","2,345","2,300","1.31K","-1.92%"
"12/17/2024","2,345","2,340","2,345","2,340","0.46K","0.21%"
"12/16/2024","2,340","2,350","2,350","2,340","0.46K","-0.43%"
"12/13/2024","2,350","2,300","2,350","2,300","1.36K","2.17%"
"12/12/2024","2,300","2,250","2,300","2,250","0.71K","2.22%"
"12/11/2024","2,250","2,290","2,290","2,250","0.37K","-1.75%"
"12/10/2024","2,290","2,350","2,350","2,290","0.29K","-2.55%"
"12/09/2024","2,350","2,250","2,350","2,250","8.48K","4.44%"
"12/06/2024","2,250","2,255","2,255","2,250","1.11K","-0.22%"
"12/05/2024","2,255","2,255","2,255","2,255","0.19K","0.00%"
"12/04/2024","2,255","2,355","2,355","2,255","4.68K","-4.25%"
"12/03/2024","2,355","2,350","2,355","2,350","2.12K","0.21%"
"12/02/2024","2,350","2,315","2,350","2,315","0.12K","1.51%"
"11/29/2024","2,315","2,345","2,345","2,315","0.59K","-1.28%"
"11/28/2024","2,345","2,345","2,345","2,345","0.51K","0.00%"
"11/27/2024","2,345","2,345","2,345","2,345","0.11K","0.00%"
"11/26/2024","2,345","2,350","2,350","2,345","2.58K","-0.21%"
"11/25/2024","2,350","2,300","2,350","2,300","0.06K","2.17%"
"11/22/2024","2,300","2,240","2,300","2,240","0.32K","2.68%"
"11/21/2024","2,240","2,310","2,310","2,240","0.40K","-3.03%"
"11/20/2024","2,310","2,350","2,350","2,310","0.14K","-1.70%"
"11/19/2024","2,350","2,235","2,350","2,235","3.22K","5.15%"
"11/18/2024","2,235","2,230","2,235","2,230","0.39K","0.22%"
"11/14/2024","2,230","2,350","2,350","2,230","0.18K","-5.11%"
"11/13/2024","2,350","2,250","2,350","2,250","0.36K","4.44%"
"11/12/2024","2,250","2,220","2,250","2,220","0.09K","1.35%"
"11/11/2024","2,220","2,210","2,220","2,210","0.95K","0.45%"
"11/08/2024","2,210","2,205","2,210","2,205","17.83K","0.23%"
"11/07/2024","2,205","2,300","2,300","2,205","0.58K","-4.13%"
"11/06/2024","2,300","2,350","2,350","2,300","0.19K","-2.13%"
"11/05/2024","2,350","2,350","2,350","2,350","1.90K","0.00%"
"11/04/2024","2,350","2,395","2,395","2,350","1.62K","-1.88%"
"10/31/2024","2,395","2,395","2,395","2,395","0.03K","0.00%"
"10/30/2024","2,395","2,300","2,395","2,300","1.12K","4.13%"
"10/29/2024","2,300","2,295","2,300","2,295","2.18K","0.22%"
"10/28/2024","2,295","2,300","2,300","2,295","0.09K","-0.22%"
"10/25/2024","2,300","2,190","2,300","2,190","1.26K","5.02%"
"10/24/2024","2,190","2,300","2,300","2,190","0.80K","-4.78%"
"10/23/2024","2,300","2,275","2,300","2,275","0.12K","1.10%"
"10/22/2024","2,275","2,310","2,310","2,275","0.47K","-1.52%"
"10/21/2024","2,310","2,315","2,315","2,310","0.21K","-0.22%"
"10/18/2024","2,315","2,315","2,315","2,315","1.04K","0.00%"
"10/17/2024","2,315","2,300","2,315","2,300","0.97K","0.65%"
"10/16/2024","2,300","2,300","2,300","2,300","0.31K","0.00%"
"10/15/2024","2,300","2,200","2,300","2,200","0.81K","4.55%"
"10/14/2024","2,200","2,300","2,300","2,200","0.67K","-4.35%"
"10/11/2024","2,300","2,310","2,310","2,300","1.69K","-0.43%"
"10/10/2024","2,310","2,205","2,310","2,205","4.76K","4.76%"
"10/09/2024","2,205","2,295","2,295","2,205","2.22K","-3.92%"
"10/08/2024","2,295","2,175","2,295","2,175","0.26K","5.52%"
"10/07/2024","2,175","2,285","2,285","2,175","6.18K","-4.81%"
"10/04/2024","2,285","2,300","2,300","2,285","0.89K","-0.65%"
"10/03/2024","2,300","2,300","2,300","2,300","0.12K","0.00%"
"10/02/2024","2,300","2,300","2,300","2,300","6.57K","0.00%"
"10/01/2024","2,300","2,345","2,345","2,300","0.79K","-1.92%"
"09/30/2024","2,345","2,350","2,350","2,345","1.39K","-0.21%"
"09/27/2024","2,350","2,300","2,350","2,300","1.47K","2.17%"
"09/26/2024","2,300","2,345","2,345","2,300","0.35K","-1.92%"
"09/25/2024","2,345","2,345","2,345","2,345","0.57K","0.00%"
"09/24/2024","2,345","2,350","2,350","2,345","0.75K","-0.21%"
"09/23/2024","2,350","2,330","2,350","2,330","1.12K","0.86%"
"09/20/2024","2,330","2,330","2,330","2,330","6.34K","0.00%"
"09/19/2024","2,330","2,200","2,330","2,200","1.81K","5.91%"
"09/18/2024","2,200","2,300","2,300","2,200","1.15K","-4.35%"
"09/17/2024","2,300","2,320","2,320","2,300","1.40K","-0.86%"
"09/16/2024","2,320","2,295","2,320","2,295","1.76K","1.09%"
"09/13/2024","2,295","2,295","2,295","2,295","3.39K","0.00%"
"09/12/2024","2,295","2,190","2,295","2,190","3.00K","4.79%"
"09/11/2024","2,190","2,190","2,190","2,190","3.06K","0.00%"
"09/10/2024","2,190","2,335","2,335","2,190","2.63K","-6.21%"
"09/09/2024","2,335","2,340","2,340","2,335","0.52K","-0.21%"
"09/06/2024","2,340","2,340","2,340","2,340","3.07K","-0.64%"
"09/05/2024","2,355","2,355","2,355","2,355","21.95K","7.05%"
"09/04/2024","2,200","2,200","2,200","2,200","0.56K","2.33%"
"09/03/2024","2,150","2,150","2,150","2,150","6.16K","-2.27%"
"09/02/2024","2,200","2,200","2,200","2,200","0.58K","0.46%"
"08/30/2024","2,190","2,190","2,190","2,190","2.91K","-4.78%"
"08/29/2024","2,300","2,300","2,300","2,300","0.81K","0.44%"
"08/28/2024","2,290","2,290","2,290","2,290","0.65K","-0.22%"
"08/27/2024","2,295","2,295","2,295","2,295","0.76K","-1.08%"
"08/26/2024","2,320","2,320","2,320","2,320","2.47K","7.41%"
"08/23/2024","2,160","2,160","2,160","2,160","3.25K","-0.92%"
"08/22/2024","2,180","2,180","2,180","2,180","1.65K","0.93%"
"08/21/2024","2,160","2,160","2,160","2,160","10.01K","1.41%"
"08/20/2024","2,130","2,130","2,130","2,130","1.93K","-0.93%"
"08/19/2024","2,150","2,150","2,150","2,150","62.23K","-0.46%"
"08/16/2024","2,160","2,160","2,160","2,160","0.87K","-0.23%"
"08/14/2024","2,165","2,165","2,165","2,165","0.76K","0.00%"
"08/13/2024","2,165","2,165","2,165","2,165","0.54K","0.00%"
"08/12/2024","2,165","2,165","2,165","2,165","2.35K","-0.92%"
"08/09/2024","2,185","2,185","2,185","2,185","0.89K","-0.46%"
"08/08/2024","2,195","2,195","2,195","2,195","0.60K","-1.35%"
"08/06/2024","2,225","2,225","2,225","2,225","2.21K","1.14%"
"08/05/2024","2,200","2,200","2,200","2,200","0.88K","-0.90%"
"08/02/2024","2,220","2,220","2,220","2,220","5.73K","0.45%"
"08/01/2024","2,210","2,210","2,210","2,210","0.40K","0.45%"
"07/31/2024","2,200","2,200","2,200","2,200","1.16K","2.33%"
"07/30/2024","2,150","2,150","2,150","2,150","0.73K","-3.15%"
"07/29/2024","2,220","2,220","2,220","2,220","0.19K","1.37%"
"07/26/2024","2,190","2,190","2,190","2,190","0.13K","1.86%"
"07/25/2024","2,150","2,150","2,150","2,150","0.16K","-2.27%"
"07/24/2024","2,200","2,200","2,200","2,200","1.08K","4.51%"
"07/23/2024","2,105","2,105","2,105","2,105","1.66K","-4.32%"
"07/22/2024","2,200","2,200","2,200","2,200","0.58K","1.15%"
"07/19/2024","2,175","2,175","2,175","2,175","0.95K","-2.47%"
"07/18/2024","2,230","2,230","2,230","2,230","5.93K","-0.22%"
"07/17/2024","2,235","2,235","2,235","2,235","0.56K","-0.22%"
"07/16/2024","2,240","2,240","2,240","2,240","0.22K","6.67%"
"07/15/2024","2,100","2,100","2,100","2,100","11.81K","-4.55%"
"07/12/2024","2,200","2,200","2,200","2,200","0.92K","-2.22%"
"07/11/2024","2,250","2,250","2,250","2,250","20.52K","7.14%"
"07/10/2024","2,100","2,100","2,100","2,100","3.00K","-4.55%"
"07/09/2024","2,200","2,200","2,200","2,200","0.46K","-2.22%"
"07/08/2024","2,250","2,250","2,250","2,250","16.82K","2.27%"
"07/05/2024","2,200","2,200","2,200","2,200","1.96K","0.00%"
"07/04/2024","2,200","2,200","2,200","2,200","1.63K","2.33%"
"07/03/2024","2,150","2,150","2,150","2,150","3.48K","-6.93%"
"07/02/2024","2,310","2,310","2,310","2,310","0.73K","0.00%"
"07/01/2024","2,310","2,310","2,310","2,310","1.99K","-3.35%"
"06/28/2024","2,390","2,390","2,390","2,390","0.27K","6.22%"
"06/27/2024","2,250","2,250","2,250","2,250","0.89K","2.27%"
"06/26/2024","2,200","2,200","2,200","2,200","2.79K","-11.82%"
"06/25/2024","2,495","2,495","2,495","2,495","2.14K","-0.20%"
"06/24/2024","2,500","2,500","2,500","2,500","3.19K","6.38%"
"06/21/2024","2,350","2,350","2,350","2,350","0.58K","0.00%"
"06/20/2024","2,350","2,350","2,350","2,350","0.88K","0.00%"
"06/19/2024","2,350","2,350","2,350","2,350","0.97K","2.17%"
"06/18/2024","2,300","2,300","2,300","2,300","1.82K","0.00%"
"06/14/2024","2,300","2,300","2,300","2,300","6.62K","-2.13%"
"06/13/2024","2,350","2,350","2,350","2,350","1.60K","0.21%"
"06/12/2024","2,345","2,345","2,345","2,345","6.18K","1.96%"
"06/11/2024","2,300","2,300","2,300","2,300","0.72K","0.00%"
"06/10/2024","2,300","2,300","2,300","2,300","4.57K","-1.92%"
"06/07/2024","2,345","2,345","2,345","2,345","6.71K","-0.21%"
"06/06/2024","2,350","2,350","2,350","2,350","1.14K","5.62%"
"06/05/2024","2,225","2,225","2,225","2,225","4.30K","0.00%"
"06/04/2024","2,225","2,225","2,225","2,225","3.88K","1.14%"
"06/03/2024","2,200","2,200","2,200","2,200","1.41K","0.00%"
"05/31/2024","2,200","2,200","2,200","2,200","1.32K","-2.22%"
"05/30/2024","2,250","2,250","2,250","2,250","5.24K","-0.22%"
"05/29/2024","2,255","2,255","2,255","2,255","24.21K","-6.63%"
"05/28/2024","2,415","2,415","2,415","2,415","1.32K","5.00%"
"05/27/2024","2,300","2,300","2,300","2,300","2.32K","-3.56%"
"05/24/2024","2,385","2,385","2,385","2,385","1.26K","3.25%"
"05/23/2024","2,310","2,310","2,310","2,310","0.66K","1.32%"
"05/22/2024","2,280","2,280","2,280","2,280","0.65K","1.33%"
"05/21/2024","2,250","2,250","2,250","2,250","0.77K","1.35%"
"05/17/2024","2,220","2,220","2,220","2,220","0.93K","-3.48%"
"05/16/2024","2,300","2,300","2,300","2,300","3.97K","3.60%"
"05/15/2024","2,220","2,220","2,220","2,220","0.32K","-1.33%"
"05/14/2024","2,250","2,250","2,250","2,250","0.72K","4.65%"
"05/13/2024","2,150","2,150","2,150","2,150","1.40K","-5.91%"
"05/10/2024","2,285","2,285","2,285","2,285","1.07K","-0.65%"
"05/08/2024","2,300","2,300","2,300","2,300","0.67K","-3.77%"
"05/07/2024","2,390","2,390","2,390","2,390","1.05K","3.46%"
"05/06/2024","2,310","2,310","2,310","2,310","2.71K","2.21%"
"05/03/2024","2,260","2,260","2,260","2,260","1.35K","0.00%"
"05/02/2024","2,260","2,260","2,260","2,260","3.34K","-7.38%"
"04/30/2024","2,440","2,440","2,440","2,440","13.09K","-0.20%"
"04/29/2024","2,445","2,445","2,445","2,445","0.36K","0.00%"
"04/26/2024","2,445","2,445","2,445","2,445","3.97K","0.20%"
"04/25/2024","2,440","2,440","2,440","2,440","0.08K","-0.20%"
"04/24/2024","2,445","2,445","2,445","2,445","0.17K","1.88%"
"04/23/2024","2,400","2,400","2,400","2,400","6.70K","0.42%"
"04/22/2024","2,390","2,390","2,390","2,390","0.47K","-0.21%"
"04/19/2024","2,395","2,395","2,395","2,395","0.09K","0.00%"
"04/18/2024","2,395","2,395","2,395","2,395","5.38K","-0.21%"
"04/17/2024","2,400","2,400","2,400","2,400","5.04K","-1.84%"
"04/16/2024","2,445","2,445","2,445","2,445","0.06K","0.00%"
"04/15/2024","2,445","2,445","2,445","2,445","0.42K","-0.20%"
"04/12/2024","2,450","2,450","2,450","2,450","0.77K","-3.92%"
"04/11/2024","2,550","2,550","2,550","2,550","0.35K","4.08%"
"04/09/2024","2,450","2,450","2,450","2,450","3.16K","4.26%"
"04/08/2024","2,350","2,350","2,350","2,350","0.62K","-7.48%"
"04/05/2024","2,540","2,540","2,540","2,540","0.73K","-1.74%"
