"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","11,600","11,265","11,600","11,265","0.01K","2.97%"
"06/04/2025","11,265","11,265","11,265","11,265","0.01K","0.00%"
"06/03/2025","11,265","11,265","11,265","11,265","0.00K","0.00%"
"06/02/2025","11,265","11,265","11,265","11,265","0.00K","0.00%"
"05/30/2025","11,265","10,935","11,265","10,935","0.00K","3.02%"
"05/28/2025","10,935","10,175","10,935","10,175","0.00K","7.47%"
"05/27/2025","10,175","10,200","10,200","10,175","0.09K","-0.25%"
"05/26/2025","10,200","10,200","10,200","10,200","0.00K","0.00%"
"05/23/2025","10,200","10,500","10,500","10,200","0.01K","-2.86%"
"05/22/2025","10,500","10,500","10,500","10,500","0.04K","0.00%"
"05/21/2025","10,500","10,500","10,500","10,500","0.02K","0.00%"
"05/19/2025","10,500","10,500","10,500","10,500","0.01K","0.00%"
"05/15/2025","10,500","10,175","10,500","10,175","0.01K","3.19%"
"05/13/2025","10,175","10,175","10,175","10,175","0.01K","0.00%"
"05/12/2025","10,175","10,175","10,175","10,175","0.00K","0.00%"
"05/09/2025","10,175","11,000","11,000","10,175","0.02K","-7.50%"
"05/08/2025","11,000","10,710","11,000","10,710","0.01K","2.71%"
"05/07/2025","10,710","11,000","11,000","10,710","0.01K","-2.64%"
"05/06/2025","11,000","11,000","11,000","11,000","0.01K","0.00%"
"05/05/2025","11,000","11,000","11,000","11,000","0.01K","0.00%"
"05/02/2025","11,000","10,275","11,000","10,275","0.01K","7.06%"
"04/30/2025","10,275","10,275","10,275","10,275","0.01K","0.00%"
"04/29/2025","10,275","11,045","11,045","10,275","0.01K","-6.97%"
"04/25/2025","11,045","11,045","11,045","11,045","0.00K","0.00%"
"04/24/2025","11,045","10,275","11,045","10,275","0.00K","7.49%"
"04/23/2025","10,275","9,560","10,275","9,560","0.00K","7.48%"
"04/22/2025","9,560","8,895","9,560","8,895","0.00K","7.48%"
"04/18/2025","8,895","8,275","8,895","8,275","0.00K","7.49%"
"04/17/2025","8,275","7,700","8,275","7,700","0.00K","7.47%"
"04/16/2025","7,700","7,600","7,700","7,600","0.01K","1.32%"
"04/14/2025","7,600","7,590","7,600","7,590","0.00K","0.13%"
"04/11/2025","7,590","7,590","7,590","7,590","0.00K","0.00%"
"04/10/2025","7,590","7,065","7,590","7,065","0.01K","7.43%"
"04/09/2025","7,065","6,575","7,065","6,575","0.01K","7.45%"
"04/08/2025","6,575","6,575","6,575","6,575","0.00K","0.00%"
"03/28/2025","6,575","6,575","6,575","6,575","0.01K","0.00%"
"03/26/2025","6,575","7,105","7,105","6,575","0.02K","-7.46%"
"03/25/2025","7,105","7,550","7,550","7,105","0.00K","-5.89%"
"03/20/2025","7,550","7,025","7,550","7,025","0.00K","7.47%"
"03/19/2025","7,025","7,000","7,025","7,000","0.01K","0.36%"
"03/18/2025","7,000","7,000","7,000","7,000","0.01K","0.00%"
"03/17/2025","7,000","7,000","7,000","7,000","0.00K","0.00%"
"03/14/2025","7,000","6,960","7,000","6,960","0.01K","0.57%"
"03/13/2025","6,960","6,475","6,960","6,475","0.00K","7.49%"
"03/11/2025","6,475","6,475","6,475","6,475","0.03K","0.00%"
"03/10/2025","6,475","6,475","6,475","6,475","0.03K","0.00%"
"03/07/2025","6,475","6,995","6,995","6,475","0.01K","-7.43%"
"03/06/2025","6,995","7,000","7,000","6,995","0.01K","-0.07%"
"02/26/2025","7,000","7,000","7,000","7,000","0.01K","0.00%"
"02/25/2025","7,000","7,000","7,000","7,000","0.00K","0.00%"
"02/24/2025","7,000","7,000","7,000","7,000","0.00K","0.00%"
"02/20/2025","7,000","7,000","7,000","7,000","0.01K","0.00%"
"02/19/2025","7,000","7,000","7,000","7,000","0.01K","0.00%"
"02/18/2025","7,000","7,000","7,000","7,000","0.01K","0.00%"
"02/17/2025","7,000","6,930","7,000","6,930","0.01K","1.01%"
"02/14/2025","6,930","6,495","6,930","6,495","0.01K","6.70%"
"02/11/2025","6,495","6,450","6,495","6,450","0.01K","0.70%"
"02/07/2025","6,450","6,450","6,450","6,450","0.00K","0.00%"
"02/03/2025","6,450","6,450","6,450","6,450","0.00K","0.00%"
"01/31/2025","6,450","6,450","6,450","6,450","0.00K","0.00%"
"01/27/2025","6,450","6,450","6,450","6,450","0.00K","0.00%"
"01/21/2025","6,450","6,450","6,450","6,450","0.02K","0.00%"
"01/20/2025","6,450","6,475","6,475","6,450","0.00K","-0.39%"
"01/15/2025","6,475","6,475","6,475","6,475","0.01K","0.00%"
"01/14/2025","6,475","6,475","6,475","6,475","0.00K","0.00%"
"01/13/2025","6,475","6,475","6,475","6,475","0.01K","0.00%"
"01/10/2025","6,475","6,475","6,475","6,475","0.00K","0.00%"
"01/09/2025","6,475","6,475","6,475","6,475","0.01K","0.00%"
"01/08/2025","6,475","6,475","6,475","6,475","0.00K","0.00%"
"01/07/2025","6,475","6,475","6,475","6,475","0.03K","0.00%"
"01/06/2025","6,475","6,400","6,475","6,400","0.01K","1.17%"
"01/03/2025","6,400","6,400","6,400","6,400","0.02K","0.00%"
"01/02/2025","6,400","6,475","6,475","6,400","0.02K","-1.16%"
"12/27/2024","6,475","6,475","6,475","6,475","0.00K","0.00%"
"12/26/2024","6,475","7,000","7,000","6,475","0.00K","-7.50%"
"12/23/2024","7,000","7,000","7,000","7,000","0.00K","0.00%"
"12/19/2024","7,000","7,000","7,000","7,000","0.04K","0.00%"
"12/18/2024","7,000","7,250","7,250","7,000","0.03K","-3.45%"
"12/17/2024","7,250","7,700","7,700","7,250","0.01K","-5.84%"
"12/16/2024","7,700","7,850","7,850","7,700","0.00K","-1.91%"
"12/09/2024","7,850","7,850","7,850","7,850","0.00K","0.00%"
"12/06/2024","7,850","7,850","7,850","7,850","0.01K","0.00%"
"12/05/2024","7,850","7,850","7,850","7,850","0.01K","0.00%"
"12/02/2024","7,850","7,850","7,850","7,850","0.00K","0.00%"
"11/29/2024","7,850","7,850","7,850","7,850","0.00K","0.00%"
"11/28/2024","7,850","7,850","7,850","7,850","0.00K","0.00%"
"11/22/2024","7,850","7,850","7,850","7,850","0.01K","0.00%"
"11/21/2024","7,850","7,850","7,850","7,850","0.03K","0.00%"
"11/13/2024","7,850","7,850","7,850","7,850","0.00K","0.00%"
"11/08/2024","7,850","7,850","7,850","7,850","0.00K","0.00%"
"11/07/2024","7,850","7,850","7,850","7,850","0.00K","0.00%"
"11/05/2024","7,850","7,850","7,850","7,850","0.00K","0.00%"
"10/30/2024","7,850","7,850","7,850","7,850","0.00K","0.00%"
"10/29/2024","7,850","7,850","7,850","7,850","0.02K","0.00%"
"10/28/2024","7,850","7,820","7,850","7,820","0.01K","0.38%"
"10/25/2024","7,820","7,820","7,820","7,820","0.03K","0.00%"
"10/24/2024","7,820","7,820","7,820","7,820","0.01K","0.00%"
"10/23/2024","7,820","7,820","7,820","7,820","0.00K","0.00%"
"10/22/2024","7,820","7,840","7,840","7,820","0.01K","-0.26%"
"10/17/2024","7,840","7,840","7,840","7,840","0.00K","0.00%"
"10/16/2024","7,840","7,840","7,840","7,840","0.01K","0.00%"
"10/15/2024","7,840","7,845","7,845","7,840","0.00K","-0.06%"
"10/10/2024","7,845","7,800","7,845","7,800","0.02K","0.58%"
