"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","555","525","555","525","0.70K","5.71%"
"06/04/2025","525","515","525","515","6.48K","1.94%"
"06/03/2025","515","505","515","505","4.15K","1.98%"
"06/02/2025","505","515","515","505","5.98K","-1.94%"
"05/30/2025","515","525","525","515","4.58K","-1.90%"
"05/28/2025","525","510","525","510","2.94K","2.94%"
"05/27/2025","510","475","510","475","1.49K","7.37%"
"05/26/2025","475","510","510","475","2.88K","-6.86%"
"05/23/2025","510","515","515","510","16.07K","-0.97%"
"05/22/2025","515","505","515","505","4.93K","1.98%"
"05/21/2025","505","535","535","505","10.11K","-5.61%"
"05/20/2025","535","575","575","535","3.70K","-6.96%"
"05/19/2025","575","620","620","575","4.05K","-7.26%"
"05/16/2025","620","665","665","620","3.67K","-6.77%"
"05/15/2025","665","715","715","665","5.38K","-6.99%"
"05/14/2025","715","705","715","705","13.45K","1.42%"
"05/13/2025","705","660","705","660","26.21K","6.82%"
"05/12/2025","660","615","660","615","12.16K","7.32%"
"05/09/2025","615","575","615","575","2.51K","6.96%"
"05/08/2025","575","535","575","535","10.32K","7.48%"
"05/07/2025","535","515","535","515","9.96K","3.88%"
"05/06/2025","515","480","515","480","11.32K","7.29%"
"05/05/2025","480","450","480","450","5.72K","6.67%"
"05/02/2025","450","420","450","420","19.13K","7.14%"
"04/30/2025","420","395","420","395","11.46K","6.33%"
"04/29/2025","395","395","395","395","0.99K","0.00%"
"04/28/2025","395","395","395","395","3.96K","0.00%"
"04/25/2025","395","405","405","395","4.43K","-2.47%"
"04/24/2025","405","395","405","395","1.34K","2.53%"
"04/23/2025","395","395","395","395","5.04K","0.00%"
"04/22/2025","395","400","400","395","0.95K","-1.25%"
"04/18/2025","400","395","400","395","0.56K","1.27%"
"04/17/2025","395","390","395","390","2.25K","1.28%"
"04/16/2025","390","390","390","390","0.20K","0.00%"
"04/15/2025","390","390","390","390","0.62K","0.00%"
"04/14/2025","390","385","390","385","0.93K","1.30%"
"04/11/2025","385","385","385","385","7.21K","0.00%"
