Ticker,Stock Description,Price J-1,Price J,Date
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,817645.0,11.0,2025-04-16
BICC,BICI COTE D'IVOIRE,1091700.0,15.0,2025-04-16
BNBC,BERNABE COTE D'IVOIRE,475025.0,6.0,2025-04-16
BOAB,BANK OF AFRICA BENIN,16570720.0,226.0,2025-04-16
BOABF,BANK OF AFRICA BURKINA FASO,71314100.0,975.0,2025-04-16
BOAC,BANK OF AFRICA COTE D'IVOIRE,19656515.0,269.0,2025-04-16
BOAM,BANK OF AFRICA MALI,9354240.0,128.0,2025-04-16
BOAN,BANK OF AFRICA NIGER,5239735.0,72.0,2025-04-16
BOAS,BANK OF AFRICA SENEGAL,14656230.0,200.0,2025-04-16
CABC,SICABLE COTE D'IVOIRE,5792050.0,79.0,2025-04-16
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,3784420.0,52.0,2025-04-16
CFAC,CFAO MOTORS COTE D'IVOIRE,2295250.0,31.0,2025-04-16
CIEC,CIE COTE D'IVOIRE,4241985.0,58.0,2025-04-16
ECOC,ECOBANK COTE D'IVOIRE,16699880.0,228.0,2025-04-16
ETIT,Ecobank Transnational Incorporated TOGO,723082.0,10.0,2025-04-16
FTSC,FILTISAC COTE D'IVOIRE,54801685.0,749.0,2025-04-16
LNBB,LOTERIE NATIONALE DU BENIN,133800000.0,1829.0,2025-04-16
NEIC,NEI-CEDA COTE D'IVOIRE,1200105.0,16.0,2025-04-16
NSBC,NSIA BANQUE COTE D'IVOIRE,4031150.0,55.0,2025-04-16
NTLC,NESTLE COTE D'IVOIRE,8201290.0,112.0,2025-04-16
ONTBF,ONATEL BURKINA FASO,5839715.0,80.0,2025-04-16
ORAC,ORANGE COTE D'IVOIRE,110696925.0,1513.0,2025-04-16
ORGT,ORAGROUP TOGO,309075.0,4.0,2025-04-16
PALC,PALM COTE D'IVOIRE,11835610.0,162.0,2025-04-16
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,55970.0,1.0,2025-04-16
SAFC,SAFCA COTE D'IVOIRE,23800.0,0.0,2025-04-16
SCRC,SUCRIVOIRE COTE D'IVOIRE,2288470.0,31.0,2025-04-16
SDCC,SODE COTE D'IVOIRE,6182400.0,84.0,2025-04-16
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,9311315.0,127.0,2025-04-16
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0.0,0.0,2025-04-16
SGBC,SOCIETE GENERALE COTE D'IVOIRE,49929970.0,682.0,2025-04-16
SHEC,VIVO ENERGY COTE D'IVOIRE,425820.0,6.0,2025-04-16
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,9917320.0,136.0,2025-04-16
SICC,SICOR COTE D'IVOIRE,639265.0,9.0,2025-04-16
SIVC,AIR LIQUIDE COTE D'IVOIRE,11910030.0,163.0,2025-04-16
SLBC,SOLIBRA COTE D'IVOIRE,3297120.0,45.0,2025-04-16
SMBC,SMB COTE D'IVOIRE,6671155.0,91.0,2025-04-16
SNTS,SONATEL SENEGAL,56659360.0,774.0,2025-04-16
SOGC,SOGB COTE D'IVOIRE,2965440.0,41.0,2025-04-16
SPHC,SAPH COTE D'IVOIRE,2994555.0,41.0,2025-04-16
STAC,SETAO COTE D'IVOIRE,73295.0,1.0,2025-04-16
STBC,SITAB COTE D'IVOIRE,18109745.0,247.0,2025-04-16
SVOC,MOVIS COTE D'IVOIRE,0.0,0.0,2025-04-16
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,41470240.0,567.0,2025-04-16
TTLS,TOTALENERGIES MARKETING SENEGAL,5224555.0,71.0,2025-04-16
TTRC,TRITURAF Ste en Liquid,0.0,0.0,2025-04-16
UNLC,UNILEVER COTE D'IVOIRE,91300.0,1.0,2025-04-16
UNXC,UNIWAX COTE D'IVOIRE,77895.0,1.0,2025-04-16
